concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng
Abadín;1;95669;69124;ES1120015.0016;UA530;15.3579083558;UA500;1642.41621653;95737;ES1120015.0016;1;S;7140;7140;;Turbeiras de transición e inllós;1642.41621653
Abadín;1;95670;69124;ES1120015.0016;UA530;15.3579083558;UA500;1642.41621653;95738;ES1120015.0016;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1642.41621653
Abadín;1;95671;69124;ES1120015.0016;UA530;15.3579083558;UA500;1642.41621653;95739;ES1120015.0016;1;S;6410;6410;;Prados con Molinia;1642.41621653
Abadín;1;95696;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95765;ES1120015.0022;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2736.44627985
Abadín;1;95697;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95771;ES1120015.0022;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2736.44627985
Abadín;1;95698;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95770;ES1120015.0022;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2736.44627985
Abadín;1;95699;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95769;ES1120015.0022;1;V;4030;4030;;Queirogais secos europeos;2736.44627985
Abadín;1;95700;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95768;ES1120015.0022;1;V;4030;4030;;Queirogais secos europeos;2736.44627985
Abadín;1;95701;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95766;ES1120015.0022;1;V;8310;8310;;Covas non explotadas polo turismo;2736.44627985
Abadín;1;95702;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95764;ES1120015.0022;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2736.44627985
Abadín;1;95703;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95767;ES1120015.0022;2;V;4030;4030;;Queirogais secos europeos;2736.44627985
Abadín;2;95739;66912;ES1120015.0039;UA630;10.3531683048;UA600;2510.19831983;95807;ES1120015.0039;1;S;7110*;7110;X;Turbeiras altas activas;2510.19831983
Abadín;2;95740;66912;ES1120015.0039;UA630;10.3531683048;UA600;2510.19831983;95808;ES1120015.0039;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2510.19831983
Abadín;1;95826;66926;ES1120015.0060;UA320;0.0230827202314;UA300;74.9771172664;95894;ES1120015.0060;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;74.9771172664
Abadín;1;95827;66926;ES1120015.0060;UA320;0.0230827202314;UA300;74.9771172664;95895;ES1120015.0060;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;74.9771172664
Abadín;1;95828;66926;ES1120015.0060;UA320;0.0230827202314;UA300;74.9771172664;95896;ES1120015.0060;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;74.9771172664
Abadín;1;95835;70156;ES1120015.0064;UA630;174.290497272;UA600;18312.3502179;95904;ES1120015.0064;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;18312.3502179
Abadín;1;95836;70156;ES1120015.0064;UA630;174.290497272;UA600;18312.3502179;95903;ES1120015.0064;1;S;7110*;7110;X;Turbeiras altas activas;18312.3502179
Abadín;1;95872;66931;ES1120015.0069;UA320;0.768716620454;UA300;548.178113647;95940;ES1120015.0069;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;548.178113647
Abadín;1;95873;66931;ES1120015.0069;UA320;0.768716620454;UA300;548.178113647;95941;ES1120015.0069;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;548.178113647
