concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng;
Abadín;102652;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102728;ES1120015.2348;1;V;7140;7140;;Turbeiras de transición e inllós;15363.18832;
Abadín;102653;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102725;ES1120015.2348;1;V;7110*;7110;X;Turbeiras altas activas;15363.18832;
Abadín;102654;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102733;ES1120015.2348;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;15363.18832;
Abadín;102655;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102732;ES1120015.2348;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;15363.18832;
Abadín;102656;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102731;ES1120015.2348;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;15363.18832;
Abadín;102657;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102730;ES1120015.2348;1;S;4030;4030;;Queirogais secos europeos;15363.18832;
Abadín;102658;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102729;ES1120015.2348;1;V;3160;3160;;Lagos e charcas distróficos naturais;15363.18832;
Abadín;102659;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102726;ES1120015.2348;1;V;7110*;7110;X;Turbeiras altas activas;15363.18832;
Abadín;102660;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102720;ES1120015.2348;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;15363.18832;
Abadín;102661;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102724;ES1120015.2348;1;V;6230*;6230;X;Formacións herbáceas con Nardus;15363.18832;
Abadín;102662;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102723;ES1120015.2348;1;V;7110*;7110;X;Turbeiras altas activas;15363.18832;
Abadín;102663;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102722;ES1120015.2348;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;15363.18832;
Abadín;102664;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102721;ES1120015.2348;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;15363.18832;
Abadín;102665;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102727;ES1120015.2348;1;V;7110*;7110;X;Turbeiras altas activas;15363.18832;
Abadín;102923;69919;ES1120015.2446;UA230;2232.594149;UA200;178365.2656;102991;ES1120015.2446;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);178365.2656;
Abadín;102924;69919;ES1120015.2446;UA230;2232.594149;UA200;178365.2656;102992;ES1120015.2446;1;V;3160;3160;;Lagos e charcas distróficos naturais;178365.2656;
Abadín;103060;67920;ES1120015.2495;UA220;2.22144642;UA200;31731.86748;103128;ES1120015.2495;5;P;3260;3260;;Ríos dos pisos basal a montano;31731.86748;
Abadín;103061;67920;ES1120015.2495;UA220;2.22144642;UA200;31731.86748;103129;ES1120015.2495;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;31731.86748;
Abadín;103062;67920;ES1120015.2495;UA220;2.22144642;UA200;31731.86748;103130;ES1120015.2495;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;31731.86748;
Abegondo;33463;31416;ES1110016.0032;UA220;14.22769527;UA200;47254.51636;33531;ES1110016.0032;5;P;3260;3260;;Ríos dos pisos basal a montano;47254.51636;
Abegondo;33464;31416;ES1110016.0032;UA220;14.22769527;UA200;47254.51636;33532;ES1110016.0032;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;47254.51636;
Abegondo;33465;31416;ES1110016.0032;UA220;14.22769527;UA200;47254.51636;33533;ES1110016.0032;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;47254.51636;
Alfoz;92972;62962;ES1120013.0269;UA630;0.887083041;UA600;788.0199744;93041;ES1120013.0269;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;788.0199744;
Alfoz;92973;62962;ES1120013.0269;UA630;0.887083041;UA600;788.0199744;93042;ES1120013.0269;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;788.0199744;
Alfoz;92974;62962;ES1120013.0269;UA630;0.887083041;UA600;788.0199744;93040;ES1120013.0269;1;S;4030;4030;;Queirogais secos europeos;788.0199744;
Alfoz;92977;62969;ES1120013.0272;UA531;47.6872825;UA500;6040.297458;93046;ES1120013.0272;1;S;3260;3260;;Ríos dos pisos basal a montano;6040.297458;
Alfoz;92978;62969;ES1120013.0272;UA531;47.6872825;UA500;6040.297458;93051;ES1120013.0272;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;6040.297458;
Alfoz;92979;62969;ES1120013.0272;UA531;47.6872825;UA500;6040.297458;93050;ES1120013.0272;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;6040.297458;
Alfoz;92980;62969;ES1120013.0272;UA531;47.6872825;UA500;6040.297458;93049;ES1120013.0272;1;S;4030;4030;;Queirogais secos europeos;6040.297458;
Alfoz;92981;62969;ES1120013.0272;UA531;47.6872825;UA500;6040.297458;93047;ES1120013.0272;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6040.297458;
Alfoz;92982;62969;ES1120013.0272;UA531;47.6872825;UA500;6040.297458;93045;ES1120013.0272;1;V;6510;6510;;Prados de sega de baixa altitude;6040.297458;
Alfoz;92983;62969;ES1120013.0272;UA531;47.6872825;UA500;6040.297458;93048;ES1120013.0272;1;S;6410;6410;;Prados con Molinia;6040.297458;
Alfoz;93001;62974;ES1120013.0276;UA530;29.44005894;UA500;3631.445465;93073;ES1120013.0276;1;S;4030;4030;;Queirogais secos europeos;3631.445465;
Alfoz;93002;62974;ES1120013.0276;UA530;29.44005894;UA500;3631.445465;93069;ES1120013.0276;1;V;6510;6510;;Prados de sega de baixa altitude;3631.445465;
Alfoz;93003;62974;ES1120013.0276;UA530;29.44005894;UA500;3631.445465;93075;ES1120013.0276;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3631.445465;
Alfoz;93004;62974;ES1120013.0276;UA530;29.44005894;UA500;3631.445465;93074;ES1120013.0276;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;3631.445465;
Alfoz;93005;62974;ES1120013.0276;UA530;29.44005894;UA500;3631.445465;93072;ES1120013.0276;1;S;6410;6410;;Prados con Molinia;3631.445465;
Alfoz;93006;62974;ES1120013.0276;UA530;29.44005894;UA500;3631.445465;93070;ES1120013.0276;1;S;3260;3260;;Ríos dos pisos basal a montano;3631.445465;
Alfoz;93007;62974;ES1120013.0276;UA530;29.44005894;UA500;3631.445465;93071;ES1120013.0276;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3631.445465;
Alfoz;93302;63020;ES1120013.0375;UA220;0.722177256;UA200;2173.441934;93370;ES1120013.0375;5;P;3260;3260;;Ríos dos pisos basal a montano;2173.441934;
Alfoz;93303;63020;ES1120013.0375;UA220;0.722177256;UA200;2173.441934;93371;ES1120013.0375;1;V;3270;3270;;Ríos de ribeiras lamacentas (Chenopodion rubri p.p. e de Bidention p.p.);2173.441934;
Alfoz;93304;63020;ES1120013.0375;UA220;0.722177256;UA200;2173.441934;93372;ES1120013.0375;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2173.441934;
Alfoz;93305;63020;ES1120013.0375;UA220;0.722177256;UA200;2173.441934;93373;ES1120013.0375;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2173.441934;
Ames;181049;105133;ES1140001.1327;UA220;26.4157673;UA200;84548.59965;181126;ES1140001.1327;5;P;3260;3260;;Ríos dos pisos basal a montano;84548.59965;
Ames;181050;105133;ES1140001.1327;UA220;26.4157673;UA200;84548.59965;181127;ES1140001.1327;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;84548.59965;
Ames;181714;105119;ES1140001.1588;UA220;6.431106548;UA200;21452.33798;181791;ES1140001.1588;5;P;3260;3260;;Ríos dos pisos basal a montano;21452.33798;
Ames;181715;105119;ES1140001.1588;UA220;6.431106548;UA200;21452.33798;181792;ES1140001.1588;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;21452.33798;
Ames;181716;105119;ES1140001.1588;UA220;6.431106548;UA200;21452.33798;181793;ES1140001.1588;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;21452.33798;
Aranga;21998;18552;ES1110007.1117;UA531;0.692731697;UA500;364.3734786;22066;ES1110007.1117;3;V;6510;6510;;Prados de sega de baixa altitude;364.3734786;
Aranga;21999;18552;ES1110007.1117;UA531;0.692731697;UA500;364.3734786;22067;ES1110007.1117;1;S;6410;6410;;Prados con Molinia;364.3734786;
Aranga;22086;20053;ES1110007.1215;UA220;17.64360103;UA200;44188.97059;22154;ES1110007.1215;5;P;3260;3260;;Ríos dos pisos basal a montano;44188.97059;
Aranga;22087;20053;ES1110007.1215;UA220;17.64360103;UA200;44188.97059;22155;ES1110007.1215;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;44188.97059;
Aranga;22220;18975;ES1110007.1367;UA420;26.77994383;UA400;6281.55052;22288;ES1110007.1367;5;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;6281.55052;
Aranga;22243;18856;ES1110007.1389;UA260;1.939764943;UA200;3367.519173;22311;ES1110007.1389;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3367.519173;
Aranga;22244;18856;ES1110007.1389;UA260;1.939764943;UA200;3367.519173;22312;ES1110007.1389;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3367.519173;
Aranga;22245;18854;ES1110007.1390;UA531;13.30679299;UA500;2219.544444;22313;ES1110007.1390;3;V;6510;6510;;Prados de sega de baixa altitude;2219.544444;
Aranga;22246;18854;ES1110007.1390;UA531;13.30679299;UA500;2219.544444;22314;ES1110007.1390;1;S;6410;6410;;Prados con Molinia;2219.544444;
Aranga;22450;18850;ES1110007.1568;UA260;0.764728472;UA200;939.6569597;22518;ES1110007.1568;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;939.6569597;
Aranga;22451;18850;ES1110007.1568;UA260;0.764728472;UA200;939.6569597;22519;ES1110007.1568;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;939.6569597;
Aranga;22463;18671;ES1110007.1575;UA220;1.035542751;UA200;3153.221493;22531;ES1110007.1575;5;P;3260;3260;;Ríos dos pisos basal a montano;3153.221493;
Aranga;22464;18671;ES1110007.1575;UA220;1.035542751;UA200;3153.221493;22532;ES1110007.1575;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3153.221493;
Aranga;22465;18671;ES1110007.1575;UA220;1.035542751;UA200;3153.221493;22533;ES1110007.1575;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3153.221493;
Aranga;22694;18852;ES1110007.1704;UA531;2.488255877;UA500;1054.472787;22763;ES1110007.1704;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1054.472787;
Aranga;22695;18852;ES1110007.1704;UA531;2.488255877;UA500;1054.472787;22764;ES1110007.1704;1;S;6410;6410;;Prados con Molinia;1054.472787;
Aranga;22696;18852;ES1110007.1704;UA531;2.488255877;UA500;1054.472787;22762;ES1110007.1704;3;V;6510;6510;;Prados de sega de baixa altitude;1054.472787;
Aranga;22703;18866;ES1110007.1708;UA260;2.14343812;UA200;4749.87481;22771;ES1110007.1708;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4749.87481;
Aranga;22704;18866;ES1110007.1708;UA260;2.14343812;UA200;4749.87481;22772;ES1110007.1708;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4749.87481;
Aranga;22705;18863;ES1110007.1709;UA260;2.442857641;UA200;4656.723587;22774;ES1110007.1709;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4656.723587;
Aranga;22706;18863;ES1110007.1709;UA260;2.442857641;UA200;4656.723587;22773;ES1110007.1709;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4656.723587;
Arteixo;10039;11318;ES1110005.0044;UA111;1256.403325;UA100;85631.8373;10107;ES1110005.0044;;A;1110;1110;;Bancos de area cubertos permanentemente por auga mariña;85631.8373;
