concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Cabanas;1;8239;9131;ES1110003.1825;UA411;148.520925903;UA400;17830.8987151;8308;ES1110003.1825;1;V;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;17830.8987151
Cabanas;1;8240;9131;ES1110003.1825;UA411;148.520925903;UA400;17830.8987151;8311;ES1110003.1825;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;17830.8987151
Cabanas;1;8241;9131;ES1110003.1825;UA411;148.520925903;UA400;17830.8987151;8309;ES1110003.1825;1;V;9180*;9180;X;Bosques de encostas, desprendementos e barrancos do Tilio-Acerion;17830.8987151
Cabanas;1;8242;9131;ES1110003.1825;UA411;148.520925903;UA400;17830.8987151;8307;ES1110003.1825;5;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;17830.8987151
Cabanas;1;8243;9131;ES1110003.1825;UA411;148.520925903;UA400;17830.8987151;8310;ES1110003.1825;1;S;3260;3260;;Ríos dos pisos basal a montano;17830.8987151
Cabanas;2;9152;10213;ES1110003.2916;UA411;186.980976107;UA400;12729.6195912;9224;ES1110003.2916;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;12729.6195912
Cabanas;2;9153;10213;ES1110003.2916;UA411;186.980976107;UA400;12729.6195912;9223;ES1110003.2916;1;S;3260;3260;;Ríos dos pisos basal a montano;12729.6195912
Cabanas;2;9154;10213;ES1110003.2916;UA411;186.980976107;UA400;12729.6195912;9222;ES1110003.2916;1;V;9180*;9180;X;Bosques de encostas, desprendementos e barrancos do Tilio-Acerion;12729.6195912
Cabanas;2;9155;10213;ES1110003.2916;UA411;186.980976107;UA400;12729.6195912;9220;ES1110003.2916;5;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;12729.6195912
Cabanas;2;9156;10213;ES1110003.2916;UA411;186.980976107;UA400;12729.6195912;9221;ES1110003.2916;1;V;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;12729.6195912
