concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Cerdedo-Cotobade;2;204572;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204590;ES1140014.0562;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;4995.63286276
Cerdedo-Cotobade;2;204573;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204591;ES1140014.0562;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4995.63286276
Cerdedo-Cotobade;2;204574;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204589;ES1140014.0562;1;V;3130;3130;;Augas oligotróficas ou mesotróficas;4995.63286276
Cerdedo-Cotobade;2;204575;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204588;ES1140014.0562;1;V;7140;7140;;Turbeiras de transición e inllós;4995.63286276
Cerdedo-Cotobade;2;204576;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204587;ES1140014.0562;1;V;7110*;7110;X;Turbeiras altas activas;4995.63286276
Cerdedo-Cotobade;2;204577;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204585;ES1140014.0562;1;V;6410;6410;;Prados con Molinia;4995.63286276
Cerdedo-Cotobade;2;204578;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204584;ES1140014.0562;1;V;7110*;7110;X;Turbeiras altas activas;4995.63286276
Cerdedo-Cotobade;2;204579;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204583;ES1140014.0562;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;4995.63286276
Cerdedo-Cotobade;2;204580;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204582;ES1140014.0562;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;4995.63286276
Cerdedo-Cotobade;2;204581;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204581;ES1140014.0562;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4995.63286276
Cerdedo-Cotobade;2;204582;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204586;ES1140014.0562;2;V;7110*;7110;X;Turbeiras altas activas;4995.63286276
Cerdedo-Cotobade;7;204592;120049;ES1140014.0564;UA270;106.516435261;UA200;22117.617181;204605;ES1140014.0564;1;V;6410;6410;;Prados con Molinia;22117.617181
Cerdedo-Cotobade;7;204593;120049;ES1140014.0564;UA270;106.516435261;UA200;22117.617181;204610;ES1140014.0564;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;22117.617181
Cerdedo-Cotobade;7;204594;120049;ES1140014.0564;UA270;106.516435261;UA200;22117.617181;204609;ES1140014.0564;1;V;3130;3130;;Augas oligotróficas ou mesotróficas;22117.617181
Cerdedo-Cotobade;7;204595;120049;ES1140014.0564;UA270;106.516435261;UA200;22117.617181;204608;ES1140014.0564;1;V;7140;7140;;Turbeiras de transición e inllós;22117.617181
Cerdedo-Cotobade;7;204596;120049;ES1140014.0564;UA270;106.516435261;UA200;22117.617181;204611;ES1140014.0564;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;22117.617181
Cerdedo-Cotobade;7;204597;120049;ES1140014.0564;UA270;106.516435261;UA200;22117.617181;204604;ES1140014.0564;1;V;7110*;7110;X;Turbeiras altas activas;22117.617181
Cerdedo-Cotobade;7;204598;120049;ES1140014.0564;UA270;106.516435261;UA200;22117.617181;204603;ES1140014.0564;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;22117.617181
Cerdedo-Cotobade;7;204599;120049;ES1140014.0564;UA270;106.516435261;UA200;22117.617181;204602;ES1140014.0564;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;22117.617181
Cerdedo-Cotobade;7;204600;120049;ES1140014.0564;UA270;106.516435261;UA200;22117.617181;204601;ES1140014.0564;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;22117.617181
Cerdedo-Cotobade;7;204601;120049;ES1140014.0564;UA270;106.516435261;UA200;22117.617181;204607;ES1140014.0564;1;V;7110*;7110;X;Turbeiras altas activas;22117.617181
Cerdedo-Cotobade;7;204602;120049;ES1140014.0564;UA270;106.516435261;UA200;22117.617181;204606;ES1140014.0564;2;V;7110*;7110;X;Turbeiras altas activas;22117.617181
Cerdedo-Cotobade;2;204831;120277;ES1140014.0714;UA320;145.945934605;UA300;19318.5426856;204845;ES1140014.0714;2;V;4030;4030;;Queirogais secos europeos;19318.5426856
Cerdedo-Cotobade;2;204832;120277;ES1140014.0714;UA320;145.945934605;UA300;19318.5426856;204848;ES1140014.0714;1;S;3260;3260;;Ríos dos pisos basal a montano;19318.5426856
Cerdedo-Cotobade;2;204833;120277;ES1140014.0714;UA320;145.945934605;UA300;19318.5426856;204846;ES1140014.0714;2;V;4030;4030;;Queirogais secos europeos;19318.5426856
Cerdedo-Cotobade;2;204834;120277;ES1140014.0714;UA320;145.945934605;UA300;19318.5426856;204844;ES1140014.0714;3;V;4030;4030;;Queirogais secos europeos;19318.5426856
Cerdedo-Cotobade;2;204835;120277;ES1140014.0714;UA320;145.945934605;UA300;19318.5426856;204842;ES1140014.0714;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;19318.5426856
Cerdedo-Cotobade;2;204836;120277;ES1140014.0714;UA320;145.945934605;UA300;19318.5426856;204841;ES1140014.0714;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;19318.5426856
