concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Dumbría;1;22850;20661;ES1110008.0002;UA320;29.1671636142;UA300;3014.73763451;22918;ES1110008.0002;5;V;4030;4030;;Queirogais secos europeos;3014.73763451
Dumbría;14;22891;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22964;ES1110008.0034;1;S;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;38597.4804219
Dumbría;14;22892;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22966;ES1110008.0034;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;38597.4804219
Dumbría;14;22893;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22960;ES1110008.0034;5;V;4030;4030;;Queirogais secos europeos;38597.4804219
Dumbría;14;22894;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22965;ES1110008.0034;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;38597.4804219
Dumbría;14;22895;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22967;ES1110008.0034;1;S;6510;6510;;Prados de sega de baixa altitude;38597.4804219
Dumbría;14;22896;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22963;ES1110008.0034;1;S;7140;7140;;Turbeiras de transición e inllós;38597.4804219
Dumbría;14;22897;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22961;ES1110008.0034;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;38597.4804219
Dumbría;14;22898;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22959;ES1110008.0034;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;38597.4804219
Dumbría;14;22899;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22962;ES1110008.0034;1;S;7110*;7110;X;Turbeiras altas activas;38597.4804219
Dumbría;32;24108;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24176;ES1110008.0834;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;79853.499526
Dumbría;32;24109;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24177;ES1110008.0834;5;V;4030;4030;;Queirogais secos europeos;79853.499526
Dumbría;32;24110;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24178;ES1110008.0834;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;79853.499526
Dumbría;32;24111;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24179;ES1110008.0834;1;S;7110*;7110;X;Turbeiras altas activas;79853.499526
Dumbría;32;24112;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24180;ES1110008.0834;1;S;7140;7140;;Turbeiras de transición e inllós;79853.499526
Dumbría;32;24113;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24181;ES1110008.0834;1;S;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;79853.499526
Dumbría;32;24114;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24182;ES1110008.0834;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;79853.499526
Dumbría;32;24115;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24183;ES1110008.0834;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;79853.499526
Dumbría;32;24116;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24184;ES1110008.0834;1;S;6510;6510;;Prados de sega de baixa altitude;79853.499526
Dumbría;5;24227;20274;ES1110008.0872;UA320;18.1091112775;UA300;6431.71686506;24295;ES1110008.0872;5;V;4030;4030;;Queirogais secos europeos;6431.71686506
Dumbría;5;24228;20274;ES1110008.0872;UA320;18.1091112775;UA300;6431.71686506;24296;ES1110008.0872;1;S;7110*;7110;X;Turbeiras altas activas;6431.71686506
Dumbría;5;24229;20274;ES1110008.0872;UA320;18.1091112775;UA300;6431.71686506;24297;ES1110008.0872;1;S;7140;7140;;Turbeiras de transición e inllós;6431.71686506
Dumbría;5;24230;20274;ES1110008.0872;UA320;18.1091112775;UA300;6431.71686506;24298;ES1110008.0872;1;S;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;6431.71686506
Dumbría;5;24231;20274;ES1110008.0872;UA320;18.1091112775;UA300;6431.71686506;24299;ES1110008.0872;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;6431.71686506
Dumbría;2;24240;20279;ES1110008.0879;UA320;4.20287468501;UA300;1474.82573881;24308;ES1110008.0879;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1474.82573881
Dumbría;2;24241;20279;ES1110008.0879;UA320;4.20287468501;UA300;1474.82573881;24309;ES1110008.0879;5;V;4030;4030;;Queirogais secos europeos;1474.82573881
Dumbría;2;24242;20279;ES1110008.0879;UA320;4.20287468501;UA300;1474.82573881;24310;ES1110008.0879;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1474.82573881
Dumbría;2;24243;20279;ES1110008.0879;UA320;4.20287468501;UA300;1474.82573881;24311;ES1110008.0879;1;S;7110*;7110;X;Turbeiras altas activas;1474.82573881
Dumbría;2;24244;20279;ES1110008.0879;UA320;4.20287468501;UA300;1474.82573881;24312;ES1110008.0879;1;S;7140;7140;;Turbeiras de transición e inllós;1474.82573881
Dumbría;2;24245;20279;ES1110008.0879;UA320;4.20287468501;UA300;1474.82573881;24313;ES1110008.0879;1;S;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1474.82573881
Dumbría;2;24246;20279;ES1110008.0879;UA320;4.20287468501;UA300;1474.82573881;24314;ES1110008.0879;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1474.82573881
Dumbría;1;24247;20281;ES1110008.0882;UA320;0.5860904625;UA300;346.604731775;24320;ES1110008.0882;1;S;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;346.604731775
Dumbría;1;24248;20281;ES1110008.0882;UA320;0.5860904625;UA300;346.604731775;24321;ES1110008.0882;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;346.604731775
Dumbría;1;24249;20281;ES1110008.0882;UA320;0.5860904625;UA300;346.604731775;24319;ES1110008.0882;1;S;7140;7140;;Turbeiras de transición e inllós;346.604731775
