concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Fonsagrada, A;2;84322;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84394;ES1120006.0035;1;S;3260;3260;;Ríos dos pisos basal a montano;24350.4627615
Fonsagrada, A;2;84323;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84390;ES1120006.0035;5;P;4030;4030;;Queirogais secos europeos;24350.4627615
Fonsagrada, A;2;84324;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84396;ES1120006.0035;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;24350.4627615
Fonsagrada, A;2;84325;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84395;ES1120006.0035;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;24350.4627615
Fonsagrada, A;2;84326;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84393;ES1120006.0035;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;24350.4627615
Fonsagrada, A;2;84327;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84391;ES1120006.0035;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;24350.4627615
Fonsagrada, A;2;84328;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84392;ES1120006.0035;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;24350.4627615
Fonsagrada, A;1;84776;56732;ES1120006.0757;UA310;116.691656791;UA300;19751.6667627;84846;ES1120006.0757;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;19751.6667627
Fonsagrada, A;1;84777;56732;ES1120006.0757;UA310;116.691656791;UA300;19751.6667627;84850;ES1120006.0757;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;19751.6667627
Fonsagrada, A;1;84778;56732;ES1120006.0757;UA310;116.691656791;UA300;19751.6667627;84849;ES1120006.0757;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;19751.6667627
Fonsagrada, A;1;84779;56732;ES1120006.0757;UA310;116.691656791;UA300;19751.6667627;84847;ES1120006.0757;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;19751.6667627
Fonsagrada, A;1;84780;56732;ES1120006.0757;UA310;116.691656791;UA300;19751.6667627;84845;ES1120006.0757;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;19751.6667627
Fonsagrada, A;1;84781;56732;ES1120006.0757;UA310;116.691656791;UA300;19751.6667627;84844;ES1120006.0757;5;P;4030;4030;;Queirogais secos europeos;19751.6667627
Fonsagrada, A;1;84782;56732;ES1120006.0757;UA310;116.691656791;UA300;19751.6667627;84848;ES1120006.0757;1;S;3260;3260;;Ríos dos pisos basal a montano;19751.6667627
Fonsagrada, A;1;84886;55792;ES1120006.0866;UA310;7.98208906254;UA300;1972.07231846;84954;ES1120006.0866;5;P;4030;4030;;Queirogais secos europeos;1972.07231846
Fonsagrada, A;2;84933;55888;ES1120006.0962;UA532;32.3213656251;UA500;7072.05402749;85001;ES1120006.0962;2;V;6510;6510;;Prados de sega de baixa altitude;7072.05402749
Fonsagrada, A;2;84934;55888;ES1120006.0962;UA532;32.3213656251;UA500;7072.05402749;85002;ES1120006.0962;1;V;6510;6510;;Prados de sega de baixa altitude;7072.05402749
Fonsagrada, A;2;84935;55888;ES1120006.0962;UA532;32.3213656251;UA500;7072.05402749;85003;ES1120006.0962;1;S;6410;6410;;Prados con Molinia;7072.05402749
Fonsagrada, A;1;84971;55942;ES1120006.1018;UA310;4.41910781251;UA300;1297.37762879;85039;ES1120006.1018;5;P;4030;4030;;Queirogais secos europeos;1297.37762879
Fonsagrada, A;1;85127;56904;ES1120006.1257;UA310;50.3456353714;UA300;6238.84665653;85195;ES1120006.1257;5;P;4030;4030;;Queirogais secos europeos;6238.84665653
Fonsagrada, A;1;85128;56904;ES1120006.1257;UA310;50.3456353714;UA300;6238.84665653;85196;ES1120006.1257;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;6238.84665653
Fonsagrada, A;1;85129;56904;ES1120006.1257;UA310;50.3456353714;UA300;6238.84665653;85197;ES1120006.1257;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;6238.84665653
Fonsagrada, A;1;85130;56904;ES1120006.1257;UA310;50.3456353714;UA300;6238.84665653;85198;ES1120006.1257;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;6238.84665653
