concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Forcarei;2;195705;116832;ES1140008.0531;UA531;12.6314381758;UA500;3875.38093433;195714;ES1140008.0531;1;V;6510;6510;;Prados de sega de baixa altitude;3875.38093433
Forcarei;2;195706;116832;ES1140008.0531;UA531;12.6314381758;UA500;3875.38093433;195717;ES1140008.0531;1;S;4030;4030;;Queirogais secos europeos;3875.38093433
Forcarei;2;195707;116832;ES1140008.0531;UA531;12.6314381758;UA500;3875.38093433;195715;ES1140008.0531;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3875.38093433
Forcarei;2;195708;116832;ES1140008.0531;UA531;12.6314381758;UA500;3875.38093433;195716;ES1140008.0531;1;S;6410;6410;;Prados con Molinia;3875.38093433
Forcarei;3;197099;117198;ES1140008.0973;UA270;75.9648373841;UA200;9008.27074929;197108;ES1140008.0973;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;9008.27074929
Forcarei;3;197100;117198;ES1140008.0973;UA270;75.9648373841;UA200;9008.27074929;197116;ES1140008.0973;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;9008.27074929
Forcarei;3;197101;117198;ES1140008.0973;UA270;75.9648373841;UA200;9008.27074929;197115;ES1140008.0973;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;9008.27074929
Forcarei;3;197102;117198;ES1140008.0973;UA270;75.9648373841;UA200;9008.27074929;197114;ES1140008.0973;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;9008.27074929
Forcarei;3;197103;117198;ES1140008.0973;UA270;75.9648373841;UA200;9008.27074929;197113;ES1140008.0973;1;S;4030;4030;;Queirogais secos europeos;9008.27074929
Forcarei;3;197104;117198;ES1140008.0973;UA270;75.9648373841;UA200;9008.27074929;197112;ES1140008.0973;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;9008.27074929
Forcarei;3;197105;117198;ES1140008.0973;UA270;75.9648373841;UA200;9008.27074929;197111;ES1140008.0973;1;S;3260;3260;;Ríos dos pisos basal a montano;9008.27074929
