concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Irixoa;5;7504;8630;ES1110003.1301;UA320;295.204669058;UA300;20852.9088856;7578;ES1110003.1301;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;20852.9088856
Irixoa;5;7505;8630;ES1110003.1301;UA320;295.204669058;UA300;20852.9088856;7581;ES1110003.1301;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;20852.9088856
Irixoa;5;7506;8630;ES1110003.1301;UA320;295.204669058;UA300;20852.9088856;7580;ES1110003.1301;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;20852.9088856
Irixoa;5;7507;8630;ES1110003.1301;UA320;295.204669058;UA300;20852.9088856;7579;ES1110003.1301;1;S;3260;3260;;Ríos dos pisos basal a montano;20852.9088856
Irixoa;5;7508;8630;ES1110003.1301;UA320;295.204669058;UA300;20852.9088856;7573;ES1110003.1301;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;20852.9088856
Irixoa;5;7509;8630;ES1110003.1301;UA320;295.204669058;UA300;20852.9088856;7577;ES1110003.1301;1;V;4030;4030;;Queirogais secos europeos;20852.9088856
Irixoa;5;7510;8630;ES1110003.1301;UA320;295.204669058;UA300;20852.9088856;7576;ES1110003.1301;5;V;4030;4030;;Queirogais secos europeos;20852.9088856
Irixoa;5;7511;8630;ES1110003.1301;UA320;295.204669058;UA300;20852.9088856;7574;ES1110003.1301;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;20852.9088856
Irixoa;5;7512;8630;ES1110003.1301;UA320;295.204669058;UA300;20852.9088856;7572;ES1110003.1301;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;20852.9088856
Irixoa;5;7513;8630;ES1110003.1301;UA320;295.204669058;UA300;20852.9088856;7575;ES1110003.1301;1;V;8310;8310;;Covas non explotadas polo turismo;20852.9088856
