concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Lalín;1;200814;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200830;ES1140013.0317;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;13669.9604429
Lalín;1;200815;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200823;ES1140013.0317;1;V;6510;6510;;Prados de sega de baixa altitude;13669.9604429
Lalín;1;200816;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200824;ES1140013.0317;1;S;3260;3260;;Ríos dos pisos basal a montano;13669.9604429
Lalín;1;200817;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200825;ES1140013.0317;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;13669.9604429
Lalín;1;200818;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200826;ES1140013.0317;1;S;6410;6410;;Prados con Molinia;13669.9604429
Lalín;1;200819;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200827;ES1140013.0317;1;S;4030;4030;;Queirogais secos europeos;13669.9604429
Lalín;1;200820;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200828;ES1140013.0317;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;13669.9604429
Lalín;1;200821;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200829;ES1140013.0317;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;13669.9604429
Lalín;1;200874;118997;ES1140013.0344;UA630;16.3084391781;UA600;2990.6966133;200883;ES1140013.0344;1;S;3260;3260;;Ríos dos pisos basal a montano;2990.6966133
Lalín;1;200875;118997;ES1140013.0344;UA630;16.3084391781;UA600;2990.6966133;200884;ES1140013.0344;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2990.6966133
Lalín;56;201107;119660;ES1140013.0470;UA320;2398.12114124;UA300;183811.515035;201121;ES1140013.0470;4;V;4030;4030;;Queirogais secos europeos;183811.515035
Lalín;56;201108;119660;ES1140013.0470;UA320;2398.12114124;UA300;183811.515035;201117;ES1140013.0470;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;183811.515035
Lalín;56;201109;119660;ES1140013.0470;UA320;2398.12114124;UA300;183811.515035;201123;ES1140013.0470;1;S;3260;3260;;Ríos dos pisos basal a montano;183811.515035
Lalín;56;201110;119660;ES1140013.0470;UA320;2398.12114124;UA300;183811.515035;201122;ES1140013.0470;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;183811.515035
Lalín;56;201111;119660;ES1140013.0470;UA320;2398.12114124;UA300;183811.515035;201116;ES1140013.0470;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;183811.515035
Lalín;56;201112;119660;ES1140013.0470;UA320;2398.12114124;UA300;183811.515035;201118;ES1140013.0470;1;V;8310;8310;;Covas non explotadas polo turismo;183811.515035
Lalín;56;201113;119660;ES1140013.0470;UA320;2398.12114124;UA300;183811.515035;201119;ES1140013.0470;1;V;4030;4030;;Queirogais secos europeos;183811.515035
Lalín;56;201114;119660;ES1140013.0470;UA320;2398.12114124;UA300;183811.515035;201120;ES1140013.0470;1;V;4030;4030;;Queirogais secos europeos;183811.515035
Lalín;2;201541;119524;ES1140013.0670;UA320;370.349563938;UA300;29342.4954613;201554;ES1140013.0670;1;V;4030;4030;;Queirogais secos europeos;29342.4954613
Lalín;2;201542;119524;ES1140013.0670;UA320;370.349563938;UA300;29342.4954613;201556;ES1140013.0670;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;29342.4954613
Lalín;2;201543;119524;ES1140013.0670;UA320;370.349563938;UA300;29342.4954613;201557;ES1140013.0670;1;S;3260;3260;;Ríos dos pisos basal a montano;29342.4954613
Lalín;2;201544;119524;ES1140013.0670;UA320;370.349563938;UA300;29342.4954613;201555;ES1140013.0670;4;V;4030;4030;;Queirogais secos europeos;29342.4954613
Lalín;2;201545;119524;ES1140013.0670;UA320;370.349563938;UA300;29342.4954613;201552;ES1140013.0670;1;V;8310;8310;;Covas non explotadas polo turismo;29342.4954613
Lalín;2;201546;119524;ES1140013.0670;UA320;370.349563938;UA300;29342.4954613;201551;ES1140013.0670;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;29342.4954613
Lalín;2;201547;119524;ES1140013.0670;UA320;370.349563938;UA300;29342.4954613;201550;ES1140013.0670;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;29342.4954613
Lalín;2;201548;119524;ES1140013.0670;UA320;370.349563938;UA300;29342.4954613;201553;ES1140013.0670;1;V;4030;4030;;Queirogais secos europeos;29342.4954613
Lalín;19;201564;119523;ES1140013.0673;UA320;394.611790005;UA300;26820.421204;201578;ES1140013.0673;4;V;4030;4030;;Queirogais secos europeos;26820.421204
Lalín;19;201565;119523;ES1140013.0673;UA320;394.611790005;UA300;26820.421204;201573;ES1140013.0673;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;26820.421204
Lalín;19;201566;119523;ES1140013.0673;UA320;394.611790005;UA300;26820.421204;201579;ES1140013.0673;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;26820.421204
Lalín;19;201567;119523;ES1140013.0673;UA320;394.611790005;UA300;26820.421204;201577;ES1140013.0673;1;V;4030;4030;;Queirogais secos europeos;26820.421204
Lalín;19;201568;119523;ES1140013.0673;UA320;394.611790005;UA300;26820.421204;201576;ES1140013.0673;1;V;4030;4030;;Queirogais secos europeos;26820.421204
Lalín;19;201569;119523;ES1140013.0673;UA320;394.611790005;UA300;26820.421204;201575;ES1140013.0673;1;V;8310;8310;;Covas non explotadas polo turismo;26820.421204
Lalín;19;201570;119523;ES1140013.0673;UA320;394.611790005;UA300;26820.421204;201574;ES1140013.0673;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;26820.421204
Lalín;19;201571;119523;ES1140013.0673;UA320;394.611790005;UA300;26820.421204;201580;ES1140013.0673;1;S;3260;3260;;Ríos dos pisos basal a montano;26820.421204
Lalín;50;201593;119504;ES1140013.0677;UA320;1291.46888081;UA300;96319.8899917;201602;ES1140013.0677;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;96319.8899917
Lalín;50;201594;119504;ES1140013.0677;UA320;1291.46888081;UA300;96319.8899917;201608;ES1140013.0677;4;V;4030;4030;;Queirogais secos europeos;96319.8899917
Lalín;50;201595;119504;ES1140013.0677;UA320;1291.46888081;UA300;96319.8899917;201611;ES1140013.0677;1;S;3260;3260;;Ríos dos pisos basal a montano;96319.8899917
Lalín;50;201596;119504;ES1140013.0677;UA320;1291.46888081;UA300;96319.8899917;201610;ES1140013.0677;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;96319.8899917
