concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Laxe;1;12352;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12420;ES1110005.0914;5;P;4030;4030;;Queirogais secos europeos;11993.8588243
Laxe;1;12353;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12421;ES1110005.0914;5;V;8230;8230;;Rochedos silíceos con vexetación pioneira;11993.8588243
Laxe;1;12354;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12422;ES1110005.0914;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;11993.8588243
Laxe;1;12355;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12423;ES1110005.0914;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;11993.8588243
Laxe;1;12356;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12424;ES1110005.0914;1;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;11993.8588243
Laxe;1;12357;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12425;ES1110005.0914;1;V;4030;4030;;Queirogais secos europeos;11993.8588243
Laxe;1;12358;12135;ES1110005.0914;UA162;82.0289168164;UA100;11993.8588243;12426;ES1110005.0914;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;11993.8588243
Laxe;1;12464;12156;ES1110005.0935;UA162;3.18150055287;UA100;1191.45545933;12532;ES1110005.0935;5;P;4030;4030;;Queirogais secos europeos;1191.45545933
Laxe;1;12465;12156;ES1110005.0935;UA162;3.18150055287;UA100;1191.45545933;12533;ES1110005.0935;5;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1191.45545933
Laxe;1;12466;12156;ES1110005.0935;UA162;3.18150055287;UA100;1191.45545933;12534;ES1110005.0935;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;1191.45545933
Laxe;1;12467;12156;ES1110005.0935;UA162;3.18150055287;UA100;1191.45545933;12535;ES1110005.0935;1;V;4030;4030;;Queirogais secos europeos;1191.45545933
Laxe;1;12468;12156;ES1110005.0935;UA162;3.18150055287;UA100;1191.45545933;12536;ES1110005.0935;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1191.45545933
Laxe;15;15785;14080;ES1110005.2955;UA320;449.594105938;UA300;86123.6234006;15853;ES1110005.2955;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;86123.6234006
Laxe;15;15786;14080;ES1110005.2955;UA320;449.594105938;UA300;86123.6234006;15854;ES1110005.2955;4;V;4030;4030;;Queirogais secos europeos;86123.6234006
Laxe;15;15787;14080;ES1110005.2955;UA320;449.594105938;UA300;86123.6234006;15855;ES1110005.2955;2;V;4030;4030;;Queirogais secos europeos;86123.6234006
Laxe;15;15788;14080;ES1110005.2955;UA320;449.594105938;UA300;86123.6234006;15856;ES1110005.2955;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;86123.6234006
Laxe;15;15789;14080;ES1110005.2955;UA320;449.594105938;UA300;86123.6234006;15857;ES1110005.2955;1;S;3260;3260;;Ríos dos pisos basal a montano;86123.6234006
Laxe;15;15790;14080;ES1110005.2955;UA320;449.594105938;UA300;86123.6234006;15858;ES1110005.2955;1;S;7110*;7110;X;Turbeiras altas activas;86123.6234006
Laxe;15;15791;14080;ES1110005.2955;UA320;449.594105938;UA300;86123.6234006;15859;ES1110005.2955;3;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;86123.6234006
Laxe;1;15945;14159;ES1110005.3034;UA240;5.41203411148;UA200;1296.56146701;16018;ES1110005.3034;4;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1296.56146701
Laxe;1;15946;14159;ES1110005.3034;UA240;5.41203411148;UA200;1296.56146701;16019;ES1110005.3034;1;V;7140;7140;;Turbeiras de transición e inllós;1296.56146701
Laxe;1;15947;14159;ES1110005.3034;UA240;5.41203411148;UA200;1296.56146701;16017;ES1110005.3034;1;V;6410;6410;;Prados con Molinia;1296.56146701
Laxe;1;15948;14159;ES1110005.3034;UA240;5.41203411148;UA200;1296.56146701;16016;ES1110005.3034;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1296.56146701
Laxe;1;15949;14159;ES1110005.3034;UA240;5.41203411148;UA200;1296.56146701;16015;ES1110005.3034;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1296.56146701
Laxe;1;15950;14159;ES1110005.3034;UA240;5.41203411148;UA200;1296.56146701;16014;ES1110005.3034;2;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1296.56146701
Laxe;1;15951;14159;ES1110005.3034;UA240;5.41203411148;UA200;1296.56146701;16013;ES1110005.3034;5;P;7110*;7110;X;Turbeiras altas activas;1296.56146701
