concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Malpica de Bergantiños;1;12184;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12252;ES1110005.0877;5;V;8230;8230;;Rochedos silíceos con vexetación pioneira;983.785118262
Malpica de Bergantiños;1;12185;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12253;ES1110005.0877;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;983.785118262
Malpica de Bergantiños;1;12186;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12254;ES1110005.0877;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;983.785118262
Malpica de Bergantiños;1;12187;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12255;ES1110005.0877;1;V;8310;8310;;Covas non explotadas polo turismo;983.785118262
Malpica de Bergantiños;1;12188;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12256;ES1110005.0877;1;V;4030;4030;;Queirogais secos europeos;983.785118262
Malpica de Bergantiños;1;12189;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12257;ES1110005.0877;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;983.785118262
Malpica de Bergantiños;1;12794;12216;ES1110005.0995;UA320;2.20809218748;UA300;1466.78247489;12865;ES1110005.0995;1;V;8310;8310;;Covas non explotadas polo turismo;1466.78247489
Malpica de Bergantiños;1;12795;12216;ES1110005.0995;UA320;2.20809218748;UA300;1466.78247489;12867;ES1110005.0995;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1466.78247489
Malpica de Bergantiños;1;12796;12216;ES1110005.0995;UA320;2.20809218748;UA300;1466.78247489;12866;ES1110005.0995;1;V;4030;4030;;Queirogais secos europeos;1466.78247489
Malpica de Bergantiños;1;12797;12216;ES1110005.0995;UA320;2.20809218748;UA300;1466.78247489;12863;ES1110005.0995;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;1466.78247489
Malpica de Bergantiños;1;12798;12216;ES1110005.0995;UA320;2.20809218748;UA300;1466.78247489;12862;ES1110005.0995;5;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1466.78247489
Malpica de Bergantiños;1;12799;12216;ES1110005.0995;UA320;2.20809218748;UA300;1466.78247489;12864;ES1110005.0995;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1466.78247489
Malpica de Bergantiños;1;12800;12217;ES1110005.0996;UA320;3.32575312498;UA300;1652.04229804;12873;ES1110005.0996;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1652.04229804
Malpica de Bergantiños;1;12801;12217;ES1110005.0996;UA320;3.32575312498;UA300;1652.04229804;12868;ES1110005.0996;5;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1652.04229804
Malpica de Bergantiños;1;12802;12217;ES1110005.0996;UA320;3.32575312498;UA300;1652.04229804;12869;ES1110005.0996;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;1652.04229804
Malpica de Bergantiños;1;12803;12217;ES1110005.0996;UA320;3.32575312498;UA300;1652.04229804;12870;ES1110005.0996;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1652.04229804
Malpica de Bergantiños;1;12804;12217;ES1110005.0996;UA320;3.32575312498;UA300;1652.04229804;12871;ES1110005.0996;1;V;8310;8310;;Covas non explotadas polo turismo;1652.04229804
Malpica de Bergantiños;1;12805;12217;ES1110005.0996;UA320;3.32575312498;UA300;1652.04229804;12872;ES1110005.0996;1;V;4030;4030;;Queirogais secos europeos;1652.04229804
Malpica de Bergantiños;3;15773;14078;ES1110005.2953;UA320;308.700331608;UA300;43097.4412312;15841;ES1110005.2953;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;43097.4412312
Malpica de Bergantiños;3;15774;14078;ES1110005.2953;UA320;308.700331608;UA300;43097.4412312;15842;ES1110005.2953;5;V;4030;4030;;Queirogais secos europeos;43097.4412312
Malpica de Bergantiños;3;15775;14078;ES1110005.2953;UA320;308.700331608;UA300;43097.4412312;15843;ES1110005.2953;1;V;4030;4030;;Queirogais secos europeos;43097.4412312
Malpica de Bergantiños;3;15776;14078;ES1110005.2953;UA320;308.700331608;UA300;43097.4412312;15844;ES1110005.2953;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;43097.4412312
Malpica de Bergantiños;3;15777;14078;ES1110005.2953;UA320;308.700331608;UA300;43097.4412312;15845;ES1110005.2953;1;S;3260;3260;;Ríos dos pisos basal a montano;43097.4412312
Malpica de Bergantiños;3;15778;14078;ES1110005.2953;UA320;308.700331608;UA300;43097.4412312;15846;ES1110005.2953;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;43097.4412312
