concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Mazaricos;32;23100;22467;ES1110008.0181;UA320;514.495957038;UA300;52700.1994466;23168;ES1110008.0181;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;52700.1994466
Mazaricos;32;23101;22467;ES1110008.0181;UA320;514.495957038;UA300;52700.1994466;23172;ES1110008.0181;1;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;52700.1994466
Mazaricos;32;23102;22467;ES1110008.0181;UA320;514.495957038;UA300;52700.1994466;23171;ES1110008.0181;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;52700.1994466
Mazaricos;32;23103;22467;ES1110008.0181;UA320;514.495957038;UA300;52700.1994466;23170;ES1110008.0181;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;52700.1994466
Mazaricos;32;23104;22467;ES1110008.0181;UA320;514.495957038;UA300;52700.1994466;23169;ES1110008.0181;5;V;4030;4030;;Queirogais secos europeos;52700.1994466
Mazaricos;32;24108;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24176;ES1110008.0834;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;79853.499526
Mazaricos;32;24109;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24177;ES1110008.0834;5;V;4030;4030;;Queirogais secos europeos;79853.499526
Mazaricos;32;24110;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24178;ES1110008.0834;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;79853.499526
Mazaricos;32;24111;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24179;ES1110008.0834;1;S;7110*;7110;X;Turbeiras altas activas;79853.499526
Mazaricos;32;24112;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24180;ES1110008.0834;1;S;7140;7140;;Turbeiras de transición e inllós;79853.499526
Mazaricos;32;24113;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24181;ES1110008.0834;1;S;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;79853.499526
Mazaricos;32;24114;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24182;ES1110008.0834;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;79853.499526
Mazaricos;32;24115;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24183;ES1110008.0834;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;79853.499526
Mazaricos;32;24116;21810;ES1110008.0834;UA320;758.854783822;UA300;79853.499526;24184;ES1110008.0834;1;S;6510;6510;;Prados de sega de baixa altitude;79853.499526
