concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Mañón;4;25806;23002;ES1110010.0299;UA162;257.860445787;UA100;23621.6091729;25881;ES1110010.0299;4;V;4030;4030;;Queirogais secos europeos;23621.6091729
Mañón;4;25807;23002;ES1110010.0299;UA162;257.860445787;UA100;23621.6091729;25886;ES1110010.0299;1;S;8310;8310;;Covas non explotadas polo turismo;23621.6091729
Mañón;4;25808;23002;ES1110010.0299;UA162;257.860445787;UA100;23621.6091729;25885;ES1110010.0299;1;S;3260;3260;;Ríos dos pisos basal a montano;23621.6091729
Mañón;4;25809;23002;ES1110010.0299;UA162;257.860445787;UA100;23621.6091729;25884;ES1110010.0299;1;V;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;23621.6091729
Mañón;4;25810;23002;ES1110010.0299;UA162;257.860445787;UA100;23621.6091729;25883;ES1110010.0299;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;23621.6091729
Mañón;4;25811;23002;ES1110010.0299;UA162;257.860445787;UA100;23621.6091729;25882;ES1110010.0299;1;V;4030;4030;;Queirogais secos europeos;23621.6091729
Mañón;4;25812;23002;ES1110010.0299;UA162;257.860445787;UA100;23621.6091729;25880;ES1110010.0299;3;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;23621.6091729
Mañón;4;25813;23002;ES1110010.0299;UA162;257.860445787;UA100;23621.6091729;25879;ES1110010.0299;1;V;1230;1230;;Cantís con vexetación das costas atlánticas e bálticas;23621.6091729
Mañón;4;25814;23002;ES1110010.0299;UA162;257.860445787;UA100;23621.6091729;25878;ES1110010.0299;1;V;1230;1230;;Cantís con vexetación das costas atlánticas e bálticas;23621.6091729
Mañón;4;25815;23002;ES1110010.0299;UA162;257.860445787;UA100;23621.6091729;25877;ES1110010.0299;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;23621.6091729
Mañón;4;25816;23002;ES1110010.0299;UA162;257.860445787;UA100;23621.6091729;25876;ES1110010.0299;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;23621.6091729
Mañón;4;25817;23002;ES1110010.0299;UA162;257.860445787;UA100;23621.6091729;25874;ES1110010.0299;5;P;4030;4030;;Queirogais secos europeos;23621.6091729
Mañón;4;25818;23002;ES1110010.0299;UA162;257.860445787;UA100;23621.6091729;25875;ES1110010.0299;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;23621.6091729
