concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Monfero;2;7107;8353;ES1110003.1022;UA320;6.59866673947;UA300;1654.22478504;7176;ES1110003.1022;1;V;4030;4030;;Queirogais secos europeos;1654.22478504
Monfero;2;7108;8353;ES1110003.1022;UA320;6.59866673947;UA300;1654.22478504;7175;ES1110003.1022;5;V;4030;4030;;Queirogais secos europeos;1654.22478504
Monfero;3;7143;8382;ES1110003.1051;UA320;71.0079526109;UA300;6502.54106917;7212;ES1110003.1051;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;6502.54106917
Monfero;3;7144;8382;ES1110003.1051;UA320;71.0079526109;UA300;6502.54106917;7218;ES1110003.1051;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6502.54106917
Monfero;3;7145;8382;ES1110003.1051;UA320;71.0079526109;UA300;6502.54106917;7217;ES1110003.1051;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;6502.54106917
Monfero;3;7146;8382;ES1110003.1051;UA320;71.0079526109;UA300;6502.54106917;7216;ES1110003.1051;1;V;4030;4030;;Queirogais secos europeos;6502.54106917
Monfero;3;7147;8382;ES1110003.1051;UA320;71.0079526109;UA300;6502.54106917;7213;ES1110003.1051;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;6502.54106917
Monfero;3;7148;8382;ES1110003.1051;UA320;71.0079526109;UA300;6502.54106917;7214;ES1110003.1051;1;V;8310;8310;;Covas non explotadas polo turismo;6502.54106917
Monfero;3;7149;8382;ES1110003.1051;UA320;71.0079526109;UA300;6502.54106917;7211;ES1110003.1051;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;6502.54106917
Monfero;3;7150;8382;ES1110003.1051;UA320;71.0079526109;UA300;6502.54106917;7215;ES1110003.1051;5;V;4030;4030;;Queirogais secos europeos;6502.54106917
Monfero;1;7303;8466;ES1110003.1137;UA420;4.15267507615;UA400;1577.95590862;7371;ES1110003.1137;5;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1577.95590862
