concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Muxía;4;10586;11525;ES1110005.0262;UA162;168.483470044;UA100;16033.5763848;10658;ES1110005.0262;4;V;4030;4030;;Queirogais secos europeos;16033.5763848
Muxía;4;10587;11525;ES1110005.0262;UA162;168.483470044;UA100;16033.5763848;10659;ES1110005.0262;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;16033.5763848
Muxía;4;10588;11525;ES1110005.0262;UA162;168.483470044;UA100;16033.5763848;10660;ES1110005.0262;1;V;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;16033.5763848
Muxía;4;10589;11525;ES1110005.0262;UA162;168.483470044;UA100;16033.5763848;10656;ES1110005.0262;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;16033.5763848
Muxía;4;10590;11525;ES1110005.0262;UA162;168.483470044;UA100;16033.5763848;10654;ES1110005.0262;5;P;4030;4030;;Queirogais secos europeos;16033.5763848
Muxía;4;10591;11525;ES1110005.0262;UA162;168.483470044;UA100;16033.5763848;10655;ES1110005.0262;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;16033.5763848
Muxía;4;10592;11525;ES1110005.0262;UA162;168.483470044;UA100;16033.5763848;10657;ES1110005.0262;2;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;16033.5763848
Muxía;2;10600;11527;ES1110005.0265;UA162;49.4806273141;UA100;11839.7596022;10668;ES1110005.0265;5;P;4030;4030;;Queirogais secos europeos;11839.7596022
Muxía;2;10601;11527;ES1110005.0265;UA162;49.4806273141;UA100;11839.7596022;10669;ES1110005.0265;5;V;4030;4030;;Queirogais secos europeos;11839.7596022
Muxía;2;10602;11527;ES1110005.0265;UA162;49.4806273141;UA100;11839.7596022;10670;ES1110005.0265;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;11839.7596022
Muxía;1;13419;12343;ES1110005.1123;UA532;58.2309862276;UA500;12740.6320539;13487;ES1110005.1123;2;V;6510;6510;;Prados de sega de baixa altitude;12740.6320539
Muxía;1;13420;12343;ES1110005.1123;UA532;58.2309862276;UA500;12740.6320539;13488;ES1110005.1123;2;V;6510;6510;;Prados de sega de baixa altitude;12740.6320539
Muxía;1;13421;12343;ES1110005.1123;UA532;58.2309862276;UA500;12740.6320539;13489;ES1110005.1123;1;V;6410;6410;;Prados con Molinia;12740.6320539
Muxía;1;13422;12343;ES1110005.1123;UA532;58.2309862276;UA500;12740.6320539;13490;ES1110005.1123;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;12740.6320539
Muxía;1;13423;12343;ES1110005.1123;UA532;58.2309862276;UA500;12740.6320539;13491;ES1110005.1123;1;S;6410;6410;;Prados con Molinia;12740.6320539
Muxía;1;13424;12343;ES1110005.1123;UA532;58.2309862276;UA500;12740.6320539;13492;ES1110005.1123;1;S;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;12740.6320539
Muxía;2;15812;14084;ES1110005.2959;UA320;57.1834045816;UA300;4361.94821062;15880;ES1110005.2959;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;4361.94821062
Muxía;2;15813;14084;ES1110005.2959;UA320;57.1834045816;UA300;4361.94821062;15884;ES1110005.2959;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4361.94821062
Muxía;2;15814;14084;ES1110005.2959;UA320;57.1834045816;UA300;4361.94821062;15883;ES1110005.2959;1;S;3260;3260;;Ríos dos pisos basal a montano;4361.94821062
Muxía;2;15815;14084;ES1110005.2959;UA320;57.1834045816;UA300;4361.94821062;15882;ES1110005.2959;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4361.94821062
Muxía;2;15816;14084;ES1110005.2959;UA320;57.1834045816;UA300;4361.94821062;15881;ES1110005.2959;4;V;4030;4030;;Queirogais secos europeos;4361.94821062
Muxía;6;15817;14085;ES1110005.2960;UA320;207.632518043;UA300;16776.0997827;15885;ES1110005.2960;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;16776.0997827
Muxía;6;15818;14085;ES1110005.2960;UA320;207.632518043;UA300;16776.0997827;15886;ES1110005.2960;5;V;4030;4030;;Queirogais secos europeos;16776.0997827
Muxía;6;15819;14085;ES1110005.2960;UA320;207.632518043;UA300;16776.0997827;15887;ES1110005.2960;1;V;4030;4030;;Queirogais secos europeos;16776.0997827
Muxía;6;15820;14085;ES1110005.2960;UA320;207.632518043;UA300;16776.0997827;15888;ES1110005.2960;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;16776.0997827
Muxía;6;15821;14085;ES1110005.2960;UA320;207.632518043;UA300;16776.0997827;15889;ES1110005.2960;1;S;3260;3260;;Ríos dos pisos basal a montano;16776.0997827
Muxía;6;15822;14085;ES1110005.2960;UA320;207.632518043;UA300;16776.0997827;15890;ES1110005.2960;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;16776.0997827
Muxía;8;16201;14834;ES1110005.3794;UA154;216.714624531;UA100;29206.1731067;16270;ES1110005.3794;1;V;2260;2260;;Dunas con vexetación esclerófila do Cisto-Lavanduletalia;29206.1731067
Muxía;8;16202;14834;ES1110005.3794;UA154;216.714624531;UA100;29206.1731067;16271;ES1110005.3794;2;V;4030;4030;;Queirogais secos europeos;29206.1731067
Muxía;8;16203;14834;ES1110005.3794;UA154;216.714624531;UA100;29206.1731067;16272;ES1110005.3794;2;V;4030;4030;;Queirogais secos europeos;29206.1731067
Muxía;8;16204;14834;ES1110005.3794;UA154;216.714624531;UA100;29206.1731067;16273;ES1110005.3794;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;29206.1731067
Muxía;8;16205;14834;ES1110005.3794;UA154;216.714624531;UA100;29206.1731067;16274;ES1110005.3794;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;29206.1731067
Muxía;8;16206;14834;ES1110005.3794;UA154;216.714624531;UA100;29206.1731067;16275;ES1110005.3794;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;29206.1731067
Muxía;8;16207;14834;ES1110005.3794;UA154;216.714624531;UA100;29206.1731067;16269;ES1110005.3794;4;V;2150*;2150;X;Dunas fixas descalcificadas atlánticas (Calluno-Ulicetea);29206.1731067
