concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Negueira de Muñiz;12;89439;59041;ES1120010.0184;UA320;1942.6046923;UA300;140577.78008;89516;ES1120010.0184;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;140577.78008
Negueira de Muñiz;12;89440;59041;ES1120010.0184;UA320;1942.6046923;UA300;140577.78008;89513;ES1120010.0184;1;V;4030;4030;;Queirogais secos europeos;140577.78008
Negueira de Muñiz;12;89441;59041;ES1120010.0184;UA320;1942.6046923;UA300;140577.78008;89517;ES1120010.0184;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;140577.78008
Negueira de Muñiz;12;89442;59041;ES1120010.0184;UA320;1942.6046923;UA300;140577.78008;89515;ES1120010.0184;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;140577.78008
Negueira de Muñiz;12;89443;59041;ES1120010.0184;UA320;1942.6046923;UA300;140577.78008;89514;ES1120010.0184;1;V;4030;4030;;Queirogais secos europeos;140577.78008
Negueira de Muñiz;12;89444;59041;ES1120010.0184;UA320;1942.6046923;UA300;140577.78008;89511;ES1120010.0184;1;V;4030;4030;;Queirogais secos europeos;140577.78008
Negueira de Muñiz;12;89445;59041;ES1120010.0184;UA320;1942.6046923;UA300;140577.78008;89510;ES1120010.0184;1;V;8310;8310;;Covas non explotadas polo turismo;140577.78008
Negueira de Muñiz;12;89446;59041;ES1120010.0184;UA320;1942.6046923;UA300;140577.78008;89509;ES1120010.0184;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;140577.78008
Negueira de Muñiz;12;89447;59041;ES1120010.0184;UA320;1942.6046923;UA300;140577.78008;89508;ES1120010.0184;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;140577.78008
Negueira de Muñiz;12;89448;59041;ES1120010.0184;UA320;1942.6046923;UA300;140577.78008;89507;ES1120010.0184;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;140577.78008
Negueira de Muñiz;12;89449;59041;ES1120010.0184;UA320;1942.6046923;UA300;140577.78008;89512;ES1120010.0184;5;V;4030;4030;;Queirogais secos europeos;140577.78008
Negueira de Muñiz;2;89602;58755;ES1120010.0269;UA320;7.87082287014;UA300;2389.36444612;89670;ES1120010.0269;5;V;4030;4030;;Queirogais secos europeos;2389.36444612
Negueira de Muñiz;2;89603;58755;ES1120010.0269;UA320;7.87082287014;UA300;2389.36444612;89671;ES1120010.0269;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2389.36444612
Negueira de Muñiz;3;89682;59069;ES1120010.0299;UA630;81.3606449662;UA600;9341.09487202;89750;ES1120010.0299;2;S;8230;8230;;Rochedos silíceos con vexetación pioneira;9341.09487202
Negueira de Muñiz;3;89683;59069;ES1120010.0299;UA630;81.3606449662;UA600;9341.09487202;89751;ES1120010.0299;2;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;9341.09487202
Negueira de Muñiz;3;89705;58779;ES1120010.0307;UA320;28.2990786986;UA300;3218.05365749;89778;ES1120010.0307;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3218.05365749
Negueira de Muñiz;3;89706;58779;ES1120010.0307;UA320;28.2990786986;UA300;3218.05365749;89773;ES1120010.0307;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;3218.05365749
Negueira de Muñiz;3;89707;58779;ES1120010.0307;UA320;28.2990786986;UA300;3218.05365749;89774;ES1120010.0307;1;V;8310;8310;;Covas non explotadas polo turismo;3218.05365749
