concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Ponteceso;1;12184;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12252;ES1110005.0877;5;V;8230;8230;;Rochedos silíceos con vexetación pioneira;983.785118262
Ponteceso;1;12185;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12253;ES1110005.0877;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;983.785118262
Ponteceso;1;12186;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12254;ES1110005.0877;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;983.785118262
Ponteceso;1;12187;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12255;ES1110005.0877;1;V;8310;8310;;Covas non explotadas polo turismo;983.785118262
Ponteceso;1;12188;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12256;ES1110005.0877;1;V;4030;4030;;Queirogais secos europeos;983.785118262
Ponteceso;1;12189;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12257;ES1110005.0877;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;983.785118262
Ponteceso;5;12314;12127;ES1110005.0906;UA320;4.83603750001;UA300;1692.69682223;12387;ES1110005.0906;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1692.69682223
Ponteceso;5;12315;12127;ES1110005.0906;UA320;4.83603750001;UA300;1692.69682223;12382;ES1110005.0906;5;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1692.69682223
Ponteceso;5;12316;12127;ES1110005.0906;UA320;4.83603750001;UA300;1692.69682223;12383;ES1110005.0906;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;1692.69682223
Ponteceso;5;12317;12127;ES1110005.0906;UA320;4.83603750001;UA300;1692.69682223;12384;ES1110005.0906;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1692.69682223
Ponteceso;5;12318;12127;ES1110005.0906;UA320;4.83603750001;UA300;1692.69682223;12385;ES1110005.0906;1;V;8310;8310;;Covas non explotadas polo turismo;1692.69682223
Ponteceso;5;12319;12127;ES1110005.0906;UA320;4.83603750001;UA300;1692.69682223;12386;ES1110005.0906;1;V;4030;4030;;Queirogais secos europeos;1692.69682223
Ponteceso;2;12541;12171;ES1110005.0950;UA320;1.32205703123;UA300;791.140479391;12613;ES1110005.0950;1;V;4030;4030;;Queirogais secos europeos;791.140479391
Ponteceso;2;12542;12171;ES1110005.0950;UA320;1.32205703123;UA300;791.140479391;12614;ES1110005.0950;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;791.140479391
