concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Pontenova, A;2;84322;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84394;ES1120006.0035;1;S;3260;3260;;Ríos dos pisos basal a montano;24350.4627615
Pontenova, A;2;84323;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84390;ES1120006.0035;5;P;4030;4030;;Queirogais secos europeos;24350.4627615
Pontenova, A;2;84324;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84396;ES1120006.0035;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;24350.4627615
Pontenova, A;2;84325;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84395;ES1120006.0035;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;24350.4627615
Pontenova, A;2;84326;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84393;ES1120006.0035;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;24350.4627615
Pontenova, A;2;84327;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84391;ES1120006.0035;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;24350.4627615
Pontenova, A;2;84328;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84392;ES1120006.0035;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;24350.4627615
Pontenova, A;4;85265;56911;ES1120006.1398;UA532;683.068414818;UA500;87304.1825315;85335;ES1120006.1398;1;V;6510;6510;;Prados de sega de baixa altitude;87304.1825315
Pontenova, A;4;85266;56911;ES1120006.1398;UA532;683.068414818;UA500;87304.1825315;85336;ES1120006.1398;1;S;3260;3260;;Ríos dos pisos basal a montano;87304.1825315
Pontenova, A;4;85267;56911;ES1120006.1398;UA532;683.068414818;UA500;87304.1825315;85333;ES1120006.1398;2;V;6510;6510;;Prados de sega de baixa altitude;87304.1825315
Pontenova, A;4;85268;56911;ES1120006.1398;UA532;683.068414818;UA500;87304.1825315;85334;ES1120006.1398;1;V;6410;6410;;Prados con Molinia;87304.1825315
Pontenova, A;4;85269;56911;ES1120006.1398;UA532;683.068414818;UA500;87304.1825315;85337;ES1120006.1398;1;S;6410;6410;;Prados con Molinia;87304.1825315
