concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Pontes de García Rodríguez, As;30;2010;1370;ES1110001.1078;UA270;236.095450979;UA200;25089.5284186;2078;ES1110001.1078;4;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;25089.5284186
Pontes de García Rodríguez, As;30;2011;1370;ES1110001.1078;UA270;236.095450979;UA200;25089.5284186;2079;ES1110001.1078;1;V;3130;3130;;Augas oligotróficas ou mesotróficas;25089.5284186
Pontes de García Rodríguez, As;30;2012;1370;ES1110001.1078;UA270;236.095450979;UA200;25089.5284186;2080;ES1110001.1078;2;S;4030;4030;;Queirogais secos europeos;25089.5284186
Pontes de García Rodríguez, As;30;2013;1370;ES1110001.1078;UA270;236.095450979;UA200;25089.5284186;2081;ES1110001.1078;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;25089.5284186
Pontes de García Rodríguez, As;30;2014;1370;ES1110001.1078;UA270;236.095450979;UA200;25089.5284186;2083;ES1110001.1078;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;25089.5284186
Pontes de García Rodríguez, As;30;2015;1370;ES1110001.1078;UA270;236.095450979;UA200;25089.5284186;2082;ES1110001.1078;1;S;8310;8310;;Covas non explotadas polo turismo;25089.5284186
Pontes de García Rodríguez, As;6;2052;1375;ES1110001.1114;UA270;24.4623140067;UA200;5627.02408884;2120;ES1110001.1114;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;5627.02408884
Pontes de García Rodríguez, As;6;2053;1375;ES1110001.1114;UA270;24.4623140067;UA200;5627.02408884;2121;ES1110001.1114;1;S;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5627.02408884
Pontes de García Rodríguez, As;1;2059;1378;ES1110001.1118;UA531;43.4926050598;UA500;3783.58455436;2127;ES1110001.1118;3;V;6510;6510;;Prados de sega de baixa altitude;3783.58455436
Pontes de García Rodríguez, As;1;2060;1378;ES1110001.1118;UA531;43.4926050598;UA500;3783.58455436;2128;ES1110001.1118;1;V;6510;6510;;Prados de sega de baixa altitude;3783.58455436
Pontes de García Rodríguez, As;1;2061;1378;ES1110001.1118;UA531;43.4926050598;UA500;3783.58455436;2129;ES1110001.1118;1;S;3260;3260;;Ríos dos pisos basal a montano;3783.58455436
Pontes de García Rodríguez, As;1;2062;1378;ES1110001.1118;UA531;43.4926050598;UA500;3783.58455436;2130;ES1110001.1118;1;S;6410;6410;;Prados con Molinia;3783.58455436
Pontes de García Rodríguez, As;2;2113;1208;ES1110001.1156;UA630;9.80331799916;UA600;1785.3695145;2181;ES1110001.1156;3;S;4030;4030;;Queirogais secos europeos;1785.3695145
Pontes de García Rodríguez, As;3;9300;10461;ES1110003.3165;UA320;24.0392682925;UA300;7590.27533385;9368;ES1110003.3165;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;7590.27533385
Pontes de García Rodríguez, As;3;9301;10461;ES1110003.3165;UA320;24.0392682925;UA300;7590.27533385;9369;ES1110003.3165;5;V;4030;4030;;Queirogais secos europeos;7590.27533385
Pontes de García Rodríguez, As;3;9302;10461;ES1110003.3165;UA320;24.0392682925;UA300;7590.27533385;9370;ES1110003.3165;1;V;4030;4030;;Queirogais secos europeos;7590.27533385
Pontes de García Rodríguez, As;1;9443;10608;ES1110003.3322;UA320;156.94399122;UA300;20536.3749745;9514;ES1110003.3322;1;V;8310;8310;;Covas non explotadas polo turismo;20536.3749745
Pontes de García Rodríguez, As;1;9444;10608;ES1110003.3322;UA320;156.94399122;UA300;20536.3749745;9520;ES1110003.3322;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;20536.3749745
Pontes de García Rodríguez, As;1;9445;10608;ES1110003.3322;UA320;156.94399122;UA300;20536.3749745;9519;ES1110003.3322;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;20536.3749745
Pontes de García Rodríguez, As;1;9446;10608;ES1110003.3322;UA320;156.94399122;UA300;20536.3749745;9518;ES1110003.3322;1;S;3260;3260;;Ríos dos pisos basal a montano;20536.3749745
Pontes de García Rodríguez, As;1;9447;10608;ES1110003.3322;UA320;156.94399122;UA300;20536.3749745;9517;ES1110003.3322;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;20536.3749745
Pontes de García Rodríguez, As;1;9448;10608;ES1110003.3322;UA320;156.94399122;UA300;20536.3749745;9515;ES1110003.3322;5;V;4030;4030;;Queirogais secos europeos;20536.3749745
Pontes de García Rodríguez, As;1;9449;10608;ES1110003.3322;UA320;156.94399122;UA300;20536.3749745;9513;ES1110003.3322;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;20536.3749745
Pontes de García Rodríguez, As;1;9450;10608;ES1110003.3322;UA320;156.94399122;UA300;20536.3749745;9512;ES1110003.3322;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;20536.3749745
Pontes de García Rodríguez, As;1;9451;10608;ES1110003.3322;UA320;156.94399122;UA300;20536.3749745;9511;ES1110003.3322;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;20536.3749745
Pontes de García Rodríguez, As;1;9452;10608;ES1110003.3322;UA320;156.94399122;UA300;20536.3749745;9516;ES1110003.3322;1;V;4030;4030;;Queirogais secos europeos;20536.3749745
Pontes de García Rodríguez, As;2;28447;25802;ES1110013.0056;UA630;54.8971796794;UA600;10834.7171572;28515;ES1110013.0056;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;10834.7171572
Pontes de García Rodríguez, As;2;28448;25802;ES1110013.0056;UA630;54.8971796794;UA600;10834.7171572;28516;ES1110013.0056;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;10834.7171572
Pontes de García Rodríguez, As;2;28449;25802;ES1110013.0056;UA630;54.8971796794;UA600;10834.7171572;28517;ES1110013.0056;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;10834.7171572
Pontes de García Rodríguez, As;1;28772;25803;ES1110013.0168;UA270;61.5955320385;UA200;10808.5140745;28840;ES1110013.0168;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;10808.5140745
Pontes de García Rodríguez, As;1;28773;25803;ES1110013.0168;UA270;61.5955320385;UA200;10808.5140745;28848;ES1110013.0168;1;V;3160;3160;;Lagos e charcas distróficos naturais;10808.5140745
Pontes de García Rodríguez, As;1;28774;25803;ES1110013.0168;UA270;61.5955320385;UA200;10808.5140745;28853;ES1110013.0168;1;S;6510;6510;;Prados de sega de baixa altitude;10808.5140745
Pontes de García Rodríguez, As;1;28775;25803;ES1110013.0168;UA270;61.5955320385;UA200;10808.5140745;28852;ES1110013.0168;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;10808.5140745
Pontes de García Rodríguez, As;1;28776;25803;ES1110013.0168;UA270;61.5955320385;UA200;10808.5140745;28851;ES1110013.0168;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;10808.5140745
Pontes de García Rodríguez, As;1;28777;25803;ES1110013.0168;UA270;61.5955320385;UA200;10808.5140745;28850;ES1110013.0168;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;10808.5140745
Pontes de García Rodríguez, As;1;28778;25803;ES1110013.0168;UA270;61.5955320385;UA200;10808.5140745;28849;ES1110013.0168;1;S;3260;3260;;Ríos dos pisos basal a montano;10808.5140745
Pontes de García Rodríguez, As;1;28779;25803;ES1110013.0168;UA270;61.5955320385;UA200;10808.5140745;28847;ES1110013.0168;1;V;3130;3130;;Augas oligotróficas ou mesotróficas;10808.5140745
