concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Ribeira de Piquín;3;85250;56641;ES1120006.1390;UA532;24.6683284195;UA500;4292.3156055;85318;ES1120006.1390;2;V;6510;6510;;Prados de sega de baixa altitude;4292.3156055
Ribeira de Piquín;3;85251;56641;ES1120006.1390;UA532;24.6683284195;UA500;4292.3156055;85320;ES1120006.1390;1;S;6410;6410;;Prados con Molinia;4292.3156055
Ribeira de Piquín;3;85252;56641;ES1120006.1390;UA532;24.6683284195;UA500;4292.3156055;85319;ES1120006.1390;1;V;6510;6510;;Prados de sega de baixa altitude;4292.3156055
Ribeira de Piquín;7;85257;56298;ES1120006.1393;UA310;79.9158312501;UA300;12438.977083;85326;ES1120006.1393;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;12438.977083
Ribeira de Piquín;7;85258;56298;ES1120006.1393;UA310;79.9158312501;UA300;12438.977083;85327;ES1120006.1393;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;12438.977083
Ribeira de Piquín;7;85259;56298;ES1120006.1393;UA310;79.9158312501;UA300;12438.977083;85325;ES1120006.1393;5;P;4030;4030;;Queirogais secos europeos;12438.977083
Ribeira de Piquín;7;85260;56298;ES1120006.1393;UA310;79.9158312501;UA300;12438.977083;85328;ES1120006.1393;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;12438.977083
Ribeira de Piquín;16;85995;56895;ES1120006.1766;UA310;314.014777852;UA300;37956.10688;86063;ES1120006.1766;5;P;4030;4030;;Queirogais secos europeos;37956.10688
Ribeira de Piquín;16;85996;56895;ES1120006.1766;UA310;314.014777852;UA300;37956.10688;86064;ES1120006.1766;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;37956.10688
Ribeira de Piquín;16;85997;56895;ES1120006.1766;UA310;314.014777852;UA300;37956.10688;86065;ES1120006.1766;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;37956.10688
Ribeira de Piquín;16;85998;56895;ES1120006.1766;UA310;314.014777852;UA300;37956.10688;86066;ES1120006.1766;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;37956.10688
Ribeira de Piquín;16;85999;56895;ES1120006.1766;UA310;314.014777852;UA300;37956.10688;86067;ES1120006.1766;1;S;3260;3260;;Ríos dos pisos basal a montano;37956.10688
Ribeira de Piquín;16;86000;56895;ES1120006.1766;UA310;314.014777852;UA300;37956.10688;86068;ES1120006.1766;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;37956.10688
Ribeira de Piquín;16;86001;56895;ES1120006.1766;UA310;314.014777852;UA300;37956.10688;86069;ES1120006.1766;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;37956.10688
Ribeira de Piquín;3;86048;56638;ES1120006.1778;UA310;305.1545615;UA300;34555.5608476;86120;ES1120006.1778;1;S;3260;3260;;Ríos dos pisos basal a montano;34555.5608476
Ribeira de Piquín;3;86049;56638;ES1120006.1778;UA310;305.1545615;UA300;34555.5608476;86121;ES1120006.1778;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;34555.5608476
Ribeira de Piquín;3;86050;56638;ES1120006.1778;UA310;305.1545615;UA300;34555.5608476;86119;ES1120006.1778;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;34555.5608476
Ribeira de Piquín;3;86051;56638;ES1120006.1778;UA310;305.1545615;UA300;34555.5608476;86122;ES1120006.1778;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;34555.5608476
Ribeira de Piquín;3;86052;56638;ES1120006.1778;UA310;305.1545615;UA300;34555.5608476;86117;ES1120006.1778;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;34555.5608476
Ribeira de Piquín;3;86053;56638;ES1120006.1778;UA310;305.1545615;UA300;34555.5608476;86116;ES1120006.1778;5;P;4030;4030;;Queirogais secos europeos;34555.5608476
Ribeira de Piquín;3;86054;56638;ES1120006.1778;UA310;305.1545615;UA300;34555.5608476;86118;ES1120006.1778;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;34555.5608476
