concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Somozas, As;30;2010;1370;ES1110001.1078;UA270;236.095450979;UA200;25089.5284186;2078;ES1110001.1078;4;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;25089.5284186
Somozas, As;30;2011;1370;ES1110001.1078;UA270;236.095450979;UA200;25089.5284186;2079;ES1110001.1078;1;V;3130;3130;;Augas oligotróficas ou mesotróficas;25089.5284186
Somozas, As;30;2012;1370;ES1110001.1078;UA270;236.095450979;UA200;25089.5284186;2080;ES1110001.1078;2;S;4030;4030;;Queirogais secos europeos;25089.5284186
Somozas, As;30;2013;1370;ES1110001.1078;UA270;236.095450979;UA200;25089.5284186;2081;ES1110001.1078;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;25089.5284186
Somozas, As;30;2014;1370;ES1110001.1078;UA270;236.095450979;UA200;25089.5284186;2083;ES1110001.1078;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;25089.5284186
Somozas, As;30;2015;1370;ES1110001.1078;UA270;236.095450979;UA200;25089.5284186;2082;ES1110001.1078;1;S;8310;8310;;Covas non explotadas polo turismo;25089.5284186
Somozas, As;6;2052;1375;ES1110001.1114;UA270;24.4623140067;UA200;5627.02408884;2120;ES1110001.1114;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;5627.02408884
Somozas, As;6;2053;1375;ES1110001.1114;UA270;24.4623140067;UA200;5627.02408884;2121;ES1110001.1114;1;S;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5627.02408884
Somozas, As;1;2059;1378;ES1110001.1118;UA531;43.4926050598;UA500;3783.58455436;2127;ES1110001.1118;3;V;6510;6510;;Prados de sega de baixa altitude;3783.58455436
Somozas, As;1;2060;1378;ES1110001.1118;UA531;43.4926050598;UA500;3783.58455436;2128;ES1110001.1118;1;V;6510;6510;;Prados de sega de baixa altitude;3783.58455436
Somozas, As;1;2061;1378;ES1110001.1118;UA531;43.4926050598;UA500;3783.58455436;2129;ES1110001.1118;1;S;3260;3260;;Ríos dos pisos basal a montano;3783.58455436
Somozas, As;1;2062;1378;ES1110001.1118;UA531;43.4926050598;UA500;3783.58455436;2130;ES1110001.1118;1;S;6410;6410;;Prados con Molinia;3783.58455436
Somozas, As;2;2113;1208;ES1110001.1156;UA630;9.80331799916;UA600;1785.3695145;2181;ES1110001.1156;3;S;4030;4030;;Queirogais secos europeos;1785.3695145
Somozas, As;9;29309;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29385;ES1110013.0378;1;V;3160;3160;;Lagos e charcas distróficos naturais;32090.9650999
Somozas, As;9;29310;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29377;ES1110013.0378;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;32090.9650999
Somozas, As;9;29311;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29389;ES1110013.0378;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;32090.9650999
Somozas, As;9;29312;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29390;ES1110013.0378;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;32090.9650999
Somozas, As;9;29313;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29388;ES1110013.0378;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;32090.9650999
Somozas, As;9;29314;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29387;ES1110013.0378;1;S;3260;3260;;Ríos dos pisos basal a montano;32090.9650999
Somozas, As;9;29315;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29386;ES1110013.0378;1;V;7120;7120;;Turbeiras altas degradadas;32090.9650999
Somozas, As;9;29316;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29384;ES1110013.0378;1;V;3130;3130;;Augas oligotróficas ou mesotróficas;32090.9650999
Somozas, As;9;29317;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29383;ES1110013.0378;1;V;7140;7140;;Turbeiras de transición e inllós;32090.9650999
Somozas, As;9;29318;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29382;ES1110013.0378;1;V;7110*;7110;X;Turbeiras altas activas;32090.9650999
Somozas, As;9;29319;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29381;ES1110013.0378;1;V;6410;6410;;Prados con Molinia;32090.9650999
Somozas, As;9;29320;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29380;ES1110013.0378;1;V;6230*;6230;X;Formacións herbáceas con Nardus;32090.9650999
Somozas, As;9;29321;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29378;ES1110013.0378;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;32090.9650999
Somozas, As;9;29322;25810;ES1110013.0378;UA270;554.146066857;UA200;32090.9650999;29379;ES1110013.0378;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;32090.9650999
