concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Veiga, A;31;172467;102026;ES1130007.3899;UA320;2390.9560974;UA300;112333.190867;172544;ES1130007.3899;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;112333.190867
Veiga, A;31;172468;102026;ES1130007.3899;UA320;2390.9560974;UA300;112333.190867;172545;ES1130007.3899;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;112333.190867
Veiga, A;31;172469;102026;ES1130007.3899;UA320;2390.9560974;UA300;112333.190867;172546;ES1130007.3899;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;112333.190867
Veiga, A;31;172470;102026;ES1130007.3899;UA320;2390.9560974;UA300;112333.190867;172547;ES1130007.3899;1;V;8310;8310;;Covas non explotadas polo turismo;112333.190867
Veiga, A;31;172471;102026;ES1130007.3899;UA320;2390.9560974;UA300;112333.190867;172548;ES1130007.3899;4;V;4030;4030;;Queirogais secos europeos;112333.190867
Veiga, A;31;172472;102026;ES1130007.3899;UA320;2390.9560974;UA300;112333.190867;172549;ES1130007.3899;1;V;4030;4030;;Queirogais secos europeos;112333.190867
Veiga, A;31;172473;102026;ES1130007.3899;UA320;2390.9560974;UA300;112333.190867;172550;ES1130007.3899;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;112333.190867
Veiga, A;31;172474;102026;ES1130007.3899;UA320;2390.9560974;UA300;112333.190867;172551;ES1130007.3899;1;S;7110*;7110;X;Turbeiras altas activas;112333.190867
Veiga, A;31;172475;102026;ES1130007.3899;UA320;2390.9560974;UA300;112333.190867;172552;ES1130007.3899;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;112333.190867
Veiga, A;31;172476;102026;ES1130007.3899;UA320;2390.9560974;UA300;112333.190867;172553;ES1130007.3899;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;112333.190867
