concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Verea;1;123424;81019;ES1130001.1071;UA270;170.900292006;UA200;11342.5119275;123507;ES1130001.1071;1;V;7110*;7110;X;Turbeiras altas activas;11342.5119275
Verea;1;123425;81019;ES1130001.1071;UA270;170.900292006;UA200;11342.5119275;123512;ES1130001.1071;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;11342.5119275
Verea;1;123426;81019;ES1130001.1071;UA270;170.900292006;UA200;11342.5119275;123511;ES1130001.1071;3;S;4030;4030;;Queirogais secos europeos;11342.5119275
Verea;1;123427;81019;ES1130001.1071;UA270;170.900292006;UA200;11342.5119275;123510;ES1130001.1071;1;V;3160;3160;;Lagos e charcas distróficos naturais;11342.5119275
Verea;1;123428;81019;ES1130001.1071;UA270;170.900292006;UA200;11342.5119275;123513;ES1130001.1071;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;11342.5119275
Verea;1;123429;81019;ES1130001.1071;UA270;170.900292006;UA200;11342.5119275;123508;ES1130001.1071;1;V;7110*;7110;X;Turbeiras altas activas;11342.5119275
Verea;1;123430;81019;ES1130001.1071;UA270;170.900292006;UA200;11342.5119275;123505;ES1130001.1071;1;V;91D0*;91D0;X;Turbeiras boscosas;11342.5119275
Verea;1;123431;81019;ES1130001.1071;UA270;170.900292006;UA200;11342.5119275;123504;ES1130001.1071;1;V;7110*;7110;X;Turbeiras altas activas;11342.5119275
Verea;1;123432;81019;ES1130001.1071;UA270;170.900292006;UA200;11342.5119275;123503;ES1130001.1071;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;11342.5119275
Verea;1;123433;81019;ES1130001.1071;UA270;170.900292006;UA200;11342.5119275;123502;ES1130001.1071;1;V;6230*;6230;X;Formacións herbáceas con Nardus;11342.5119275
Verea;1;123434;81019;ES1130001.1071;UA270;170.900292006;UA200;11342.5119275;123501;ES1130001.1071;4;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;11342.5119275
Verea;1;123435;81019;ES1130001.1071;UA270;170.900292006;UA200;11342.5119275;123506;ES1130001.1071;1;V;7110*;7110;X;Turbeiras altas activas;11342.5119275
Verea;1;123436;81019;ES1130001.1071;UA270;170.900292006;UA200;11342.5119275;123509;ES1130001.1071;1;V;3130;3130;;Augas oligotróficas ou mesotróficas;11342.5119275
