concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Vilalba;1;95696;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95765;ES1120015.0022;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2736.44627985
Vilalba;1;95697;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95771;ES1120015.0022;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2736.44627985
Vilalba;1;95698;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95770;ES1120015.0022;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2736.44627985
Vilalba;1;95699;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95769;ES1120015.0022;1;V;4030;4030;;Queirogais secos europeos;2736.44627985
Vilalba;1;95700;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95768;ES1120015.0022;1;V;4030;4030;;Queirogais secos europeos;2736.44627985
Vilalba;1;95701;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95766;ES1120015.0022;1;V;8310;8310;;Covas non explotadas polo turismo;2736.44627985
Vilalba;1;95702;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95764;ES1120015.0022;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2736.44627985
Vilalba;1;95703;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95767;ES1120015.0022;2;V;4030;4030;;Queirogais secos europeos;2736.44627985
Vilalba;2;95739;66912;ES1120015.0039;UA630;10.3531683048;UA600;2510.19831983;95807;ES1120015.0039;1;S;7110*;7110;X;Turbeiras altas activas;2510.19831983
Vilalba;2;95740;66912;ES1120015.0039;UA630;10.3531683048;UA600;2510.19831983;95808;ES1120015.0039;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2510.19831983
Vilalba;1;95826;66926;ES1120015.0060;UA320;0.0230827202314;UA300;74.9771172664;95894;ES1120015.0060;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;74.9771172664
Vilalba;1;95827;66926;ES1120015.0060;UA320;0.0230827202314;UA300;74.9771172664;95895;ES1120015.0060;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;74.9771172664
Vilalba;1;95828;66926;ES1120015.0060;UA320;0.0230827202314;UA300;74.9771172664;95896;ES1120015.0060;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;74.9771172664
Vilalba;1;95835;70156;ES1120015.0064;UA630;174.290497272;UA600;18312.3502179;95904;ES1120015.0064;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;18312.3502179
Vilalba;1;95836;70156;ES1120015.0064;UA630;174.290497272;UA600;18312.3502179;95903;ES1120015.0064;1;S;7110*;7110;X;Turbeiras altas activas;18312.3502179
Vilalba;1;95872;66931;ES1120015.0069;UA320;0.768716620454;UA300;548.178113647;95940;ES1120015.0069;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;548.178113647
Vilalba;1;95873;66931;ES1120015.0069;UA320;0.768716620454;UA300;548.178113647;95941;ES1120015.0069;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;548.178113647
Vilalba;1;95874;66931;ES1120015.0069;UA320;0.768716620454;UA300;548.178113647;95942;ES1120015.0069;2;V;4030;4030;;Queirogais secos europeos;548.178113647
Vilalba;1;95875;66931;ES1120015.0069;UA320;0.768716620454;UA300;548.178113647;95943;ES1120015.0069;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;548.178113647
Vilalba;2;96124;69102;ES1120015.0115;UA630;76.7094819073;UA600;10736.8269224;96192;ES1120015.0115;1;S;7110*;7110;X;Turbeiras altas activas;10736.8269224
Vilalba;2;96125;69102;ES1120015.0115;UA630;76.7094819073;UA600;10736.8269224;96193;ES1120015.0115;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;10736.8269224
Vilalba;3;96407;66984;ES1120015.0207;UA630;27.610339817;UA600;2131.18049592;96466;ES1120015.0207;1;S;7110*;7110;X;Turbeiras altas activas;2131.18049592
Vilalba;3;96408;66984;ES1120015.0207;UA630;27.610339817;UA600;2131.18049592;96467;ES1120015.0207;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2131.18049592
Vilalba;1;96409;66985;ES1120015.0208;UA320;0.678591243655;UA300;332.260240603;96471;ES1120015.0208;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;332.260240603
Vilalba;1;96410;66985;ES1120015.0208;UA320;0.678591243655;UA300;332.260240603;96469;ES1120015.0208;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;332.260240603
Vilalba;1;96411;66985;ES1120015.0208;UA320;0.678591243655;UA300;332.260240603;96468;ES1120015.0208;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;332.260240603
Vilalba;1;96412;66985;ES1120015.0208;UA320;0.678591243655;UA300;332.260240603;96470;ES1120015.0208;2;V;4030;4030;;Queirogais secos europeos;332.260240603
Vilalba;43;96425;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96577;ES1120015.0215;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;112112.603515
Vilalba;43;96426;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96487;ES1120015.0215;1;V;7110*;7110;X;Turbeiras altas activas;112112.603515
Vilalba;43;96427;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96574;ES1120015.0215;1;V;3160;3160;;Lagos e charcas distróficos naturais;112112.603515
Vilalba;43;96428;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96576;ES1120015.0215;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;112112.603515
Vilalba;43;96429;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96578;ES1120015.0215;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;112112.603515
Vilalba;43;96430;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96575;ES1120015.0215;1;S;4030;4030;;Queirogais secos europeos;112112.603515
Vilalba;43;96431;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96491;ES1120015.0215;1;V;7110*;7110;X;Turbeiras altas activas;112112.603515
Vilalba;43;96432;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96490;ES1120015.0215;1;V;7110*;7110;X;Turbeiras altas activas;112112.603515
Vilalba;43;96433;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96492;ES1120015.0215;1;V;7140;7140;;Turbeiras de transición e inllós;112112.603515
Vilalba;43;96434;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96489;ES1120015.0215;1;V;7110*;7110;X;Turbeiras altas activas;112112.603515
Vilalba;43;96435;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96486;ES1120015.0215;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;112112.603515
Vilalba;43;96436;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96485;ES1120015.0215;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;112112.603515
Vilalba;43;96437;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96484;ES1120015.0215;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;112112.603515
Vilalba;43;96438;69115;ES1120015.0215;UA270;975.982175824;UA200;112112.603515;96488;ES1120015.0215;1;V;6230*;6230;X;Formacións herbáceas con Nardus;112112.603515
Vilalba;1;96439;66986;ES1120015.0216;UA532;0.570013151968;UA500;297.10807536;96579;ES1120015.0216;3;V;6510;6510;;Prados de sega de baixa altitude;297.10807536
Vilalba;1;96539;69825;ES1120015.0242;UA320;0.515151673729;UA300;336.843073066;96682;ES1120015.0242;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;336.843073066
Vilalba;1;96540;69825;ES1120015.0242;UA320;0.515151673729;UA300;336.843073066;96681;ES1120015.0242;2;V;4030;4030;;Queirogais secos europeos;336.843073066
Vilalba;1;96541;69825;ES1120015.0242;UA320;0.515151673729;UA300;336.843073066;96680;ES1120015.0242;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;336.843073066
Vilalba;1;96542;69825;ES1120015.0242;UA320;0.515151673729;UA300;336.843073066;96679;ES1120015.0242;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;336.843073066
Vilalba;1;96572;69824;ES1120015.0255;UA320;1.6995318509;UA300;785.131279129;96712;ES1120015.0255;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;785.131279129
Vilalba;1;96573;69824;ES1120015.0255;UA320;1.6995318509;UA300;785.131279129;96713;ES1120015.0255;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;785.131279129
Vilalba;1;96574;69824;ES1120015.0255;UA320;1.6995318509;UA300;785.131279129;96715;ES1120015.0255;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;785.131279129
Vilalba;1;96575;69824;ES1120015.0255;UA320;1.6995318509;UA300;785.131279129;96714;ES1120015.0255;2;V;4030;4030;;Queirogais secos europeos;785.131279129
Vilalba;1;96576;66988;ES1120015.0258;UA320;2.72233601739;UA300;787.407554189;96716;ES1120015.0258;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;787.407554189
Vilalba;1;96577;66988;ES1120015.0258;UA320;2.72233601739;UA300;787.407554189;96718;ES1120015.0258;1;V;8310;8310;;Covas non explotadas polo turismo;787.407554189
Vilalba;1;96578;66988;ES1120015.0258;UA320;2.72233601739;UA300;787.407554189;96719;ES1120015.0258;2;V;4030;4030;;Queirogais secos europeos;787.407554189
Vilalba;1;96579;66988;ES1120015.0258;UA320;2.72233601739;UA300;787.407554189;96720;ES1120015.0258;1;V;4030;4030;;Queirogais secos europeos;787.407554189
Vilalba;1;96580;66988;ES1120015.0258;UA320;2.72233601739;UA300;787.407554189;96721;ES1120015.0258;1;V;4030;4030;;Queirogais secos europeos;787.407554189
Vilalba;1;96581;66988;ES1120015.0258;UA320;2.72233601739;UA300;787.407554189;96722;ES1120015.0258;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;787.407554189
Vilalba;1;96582;66988;ES1120015.0258;UA320;2.72233601739;UA300;787.407554189;96723;ES1120015.0258;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;787.407554189
Vilalba;1;96583;66988;ES1120015.0258;UA320;2.72233601739;UA300;787.407554189;96717;ES1120015.0258;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;787.407554189
Vilalba;1;96616;70061;ES1120015.0268;UA630;54.542386936;UA600;6460.27047389;96527;ES1120015.0268;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;6460.27047389
Vilalba;1;96617;70061;ES1120015.0268;UA630;54.542386936;UA600;6460.27047389;96526;ES1120015.0268;1;S;7110*;7110;X;Turbeiras altas activas;6460.27047389
