concello;aeroxenadores;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Xermade;2;7830;8867;ES1110003.1539;UA420;11.0774343648;UA400;3432.42125857;7898;ES1110003.1539;5;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;3432.42125857
Xermade;2;7831;8867;ES1110003.1539;UA420;11.0774343648;UA400;3432.42125857;7899;ES1110003.1539;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3432.42125857
Xermade;1;7893;8909;ES1110003.1581;UA270;6.68872626431;UA200;1784.68177332;7961;ES1110003.1581;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1784.68177332
Xermade;1;7894;8909;ES1110003.1581;UA270;6.68872626431;UA200;1784.68177332;7962;ES1110003.1581;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1784.68177332
Xermade;3;9300;10461;ES1110003.3165;UA320;24.0392682925;UA300;7590.27533385;9368;ES1110003.3165;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;7590.27533385
Xermade;3;9301;10461;ES1110003.3165;UA320;24.0392682925;UA300;7590.27533385;9369;ES1110003.3165;5;V;4030;4030;;Queirogais secos europeos;7590.27533385
Xermade;3;9302;10461;ES1110003.3165;UA320;24.0392682925;UA300;7590.27533385;9370;ES1110003.3165;1;V;4030;4030;;Queirogais secos europeos;7590.27533385
Xermade;5;9303;10462;ES1110003.3166;UA270;36.9323872913;UA200;5107.75985975;9377;ES1110003.3166;1;V;7140;7140;;Turbeiras de transición e inllós;5107.75985975
Xermade;5;9304;10462;ES1110003.3166;UA270;36.9323872913;UA200;5107.75985975;9378;ES1110003.3166;1;V;3160;3160;;Lagos e charcas distróficos naturais;5107.75985975
Xermade;5;9305;10462;ES1110003.3166;UA270;36.9323872913;UA200;5107.75985975;9376;ES1110003.3166;1;V;7110*;7110;X;Turbeiras altas activas;5107.75985975
Xermade;5;9306;10462;ES1110003.3166;UA270;36.9323872913;UA200;5107.75985975;9375;ES1110003.3166;1;V;7110*;7110;X;Turbeiras altas activas;5107.75985975
Xermade;5;9307;10462;ES1110003.3166;UA270;36.9323872913;UA200;5107.75985975;9373;ES1110003.3166;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;5107.75985975
Xermade;5;9308;10462;ES1110003.3166;UA270;36.9323872913;UA200;5107.75985975;9372;ES1110003.3166;1;V;6230*;6230;X;Formacións herbáceas con Nardus;5107.75985975
Xermade;5;9309;10462;ES1110003.3166;UA270;36.9323872913;UA200;5107.75985975;9371;ES1110003.3166;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;5107.75985975
Xermade;5;9310;10462;ES1110003.3166;UA270;36.9323872913;UA200;5107.75985975;9374;ES1110003.3166;1;V;6410;6410;;Prados con Molinia;5107.75985975
Xermade;5;9311;10462;ES1110003.3166;UA270;36.9323872913;UA200;5107.75985975;9379;ES1110003.3166;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5107.75985975
Xermade;2;9313;10464;ES1110003.3168;UA530;6.46005415959;UA500;1280.2242118;9381;ES1110003.3168;5;V;6510;6510;;Prados de sega de baixa altitude;1280.2242118
Xermade;4;9322;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9395;ES1110003.3172;1;V;7110*;7110;X;Turbeiras altas activas;2440.50020258
Xermade;4;9323;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9398;ES1110003.3172;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2440.50020258
Xermade;4;9324;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9397;ES1110003.3172;1;V;3160;3160;;Lagos e charcas distróficos naturais;2440.50020258
Xermade;4;9325;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9394;ES1110003.3172;1;V;7110*;7110;X;Turbeiras altas activas;2440.50020258
Xermade;4;9326;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9393;ES1110003.3172;1;V;6410;6410;;Prados con Molinia;2440.50020258
Xermade;4;9327;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9392;ES1110003.3172;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;2440.50020258
Xermade;4;9328;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9391;ES1110003.3172;1;V;6230*;6230;X;Formacións herbáceas con Nardus;2440.50020258
Xermade;4;9329;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9390;ES1110003.3172;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2440.50020258
Xermade;4;9330;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9396;ES1110003.3172;1;V;7140;7140;;Turbeiras de transición e inllós;2440.50020258
Xermade;1;96539;69825;ES1120015.0242;UA320;0.515151673729;UA300;336.843073066;96682;ES1120015.0242;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;336.843073066
Xermade;1;96540;69825;ES1120015.0242;UA320;0.515151673729;UA300;336.843073066;96681;ES1120015.0242;2;V;4030;4030;;Queirogais secos europeos;336.843073066
Xermade;1;96541;69825;ES1120015.0242;UA320;0.515151673729;UA300;336.843073066;96680;ES1120015.0242;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;336.843073066
Xermade;1;96542;69825;ES1120015.0242;UA320;0.515151673729;UA300;336.843073066;96679;ES1120015.0242;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;336.843073066
Xermade;1;96572;69824;ES1120015.0255;UA320;1.6995318509;UA300;785.131279129;96712;ES1120015.0255;4;V;8230;8230;;Rochedos silíceos con vexetación pioneira;785.131279129
Xermade;1;96573;69824;ES1120015.0255;UA320;1.6995318509;UA300;785.131279129;96713;ES1120015.0255;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;785.131279129
