concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Abadín;102652;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102728.0;ES1120015.2348;1;V;7140;7140;;Turbeiras de transición e inllós;15363.18832;
Abadín;102653;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102725.0;ES1120015.2348;1;V;7110*;7110;X;Turbeiras altas activas;15363.18832;
Abadín;102654;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102733.0;ES1120015.2348;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;15363.18832;
Abadín;102655;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102732.0;ES1120015.2348;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;15363.18832;
Abadín;102656;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102731.0;ES1120015.2348;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;15363.18832;
Abadín;102657;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102730.0;ES1120015.2348;1;S;4030;4030;;Queirogais secos europeos;15363.18832;
Abadín;102658;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102729.0;ES1120015.2348;1;V;3160;3160;;Lagos e charcas distróficos naturais;15363.18832;
Abadín;102659;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102726.0;ES1120015.2348;1;V;7110*;7110;X;Turbeiras altas activas;15363.18832;
Abadín;102660;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102720.0;ES1120015.2348;5;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;15363.18832;
Abadín;102661;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102724.0;ES1120015.2348;1;V;6230*;6230;X;Formacións herbáceas con Nardus;15363.18832;
Abadín;102662;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102723.0;ES1120015.2348;1;V;7110*;7110;X;Turbeiras altas activas;15363.18832;
Abadín;102663;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102722.0;ES1120015.2348;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;15363.18832;
Abadín;102664;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102721.0;ES1120015.2348;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;15363.18832;
Abadín;102665;68712;ES1120015.2348;UA270;261.9693418;UA200;15363.18832;102727.0;ES1120015.2348;1;V;7110*;7110;X;Turbeiras altas activas;15363.18832;
Abadín;102923;69919;ES1120015.2446;UA230;2232.594149;UA200;178365.2656;102991.0;ES1120015.2446;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);178365.2656;
Abadín;102924;69919;ES1120015.2446;UA230;2232.594149;UA200;178365.2656;102992.0;ES1120015.2446;1;V;3160;3160;;Lagos e charcas distróficos naturais;178365.2656;
Abadín;103060;67920;ES1120015.2495;UA220;2.22144642;UA200;31731.86748;103128.0;ES1120015.2495;5;P;3260;3260;;Ríos dos pisos basal a montano;31731.86748;
Abadín;103061;67920;ES1120015.2495;UA220;2.22144642;UA200;31731.86748;103129.0;ES1120015.2495;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;31731.86748;
Abadín;103062;67920;ES1120015.2495;UA220;2.22144642;UA200;31731.86748;103130.0;ES1120015.2495;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;31731.86748;
