concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Alfoz;92972;62962;ES1120013.0269;UA630;0.887083041;UA600;788.0199744;93041.0;ES1120013.0269;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;788.0199744;
Alfoz;92973;62962;ES1120013.0269;UA630;0.887083041;UA600;788.0199744;93042.0;ES1120013.0269;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;788.0199744;
Alfoz;92974;62962;ES1120013.0269;UA630;0.887083041;UA600;788.0199744;93040.0;ES1120013.0269;1;S;4030;4030;;Queirogais secos europeos;788.0199744;
Alfoz;92977;62969;ES1120013.0272;UA531;47.6872825;UA500;6040.297458;93046.0;ES1120013.0272;1;S;3260;3260;;Ríos dos pisos basal a montano;6040.297458;
Alfoz;92978;62969;ES1120013.0272;UA531;47.6872825;UA500;6040.297458;93051.0;ES1120013.0272;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;6040.297458;
Alfoz;92979;62969;ES1120013.0272;UA531;47.6872825;UA500;6040.297458;93050.0;ES1120013.0272;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;6040.297458;
Alfoz;92980;62969;ES1120013.0272;UA531;47.6872825;UA500;6040.297458;93049.0;ES1120013.0272;1;S;4030;4030;;Queirogais secos europeos;6040.297458;
Alfoz;92981;62969;ES1120013.0272;UA531;47.6872825;UA500;6040.297458;93047.0;ES1120013.0272;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6040.297458;
Alfoz;92982;62969;ES1120013.0272;UA531;47.6872825;UA500;6040.297458;93045.0;ES1120013.0272;1;V;6510;6510;;Prados de sega de baixa altitude;6040.297458;
Alfoz;92983;62969;ES1120013.0272;UA531;47.6872825;UA500;6040.297458;93048.0;ES1120013.0272;1;S;6410;6410;;Prados con Molinia;6040.297458;
Alfoz;93001;62974;ES1120013.0276;UA530;29.44005894;UA500;3631.445465;93073.0;ES1120013.0276;1;S;4030;4030;;Queirogais secos europeos;3631.445465;
Alfoz;93002;62974;ES1120013.0276;UA530;29.44005894;UA500;3631.445465;93069.0;ES1120013.0276;1;V;6510;6510;;Prados de sega de baixa altitude;3631.445465;
Alfoz;93003;62974;ES1120013.0276;UA530;29.44005894;UA500;3631.445465;93075.0;ES1120013.0276;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3631.445465;
Alfoz;93004;62974;ES1120013.0276;UA530;29.44005894;UA500;3631.445465;93074.0;ES1120013.0276;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;3631.445465;
Alfoz;93005;62974;ES1120013.0276;UA530;29.44005894;UA500;3631.445465;93072.0;ES1120013.0276;1;S;6410;6410;;Prados con Molinia;3631.445465;
Alfoz;93006;62974;ES1120013.0276;UA530;29.44005894;UA500;3631.445465;93070.0;ES1120013.0276;1;S;3260;3260;;Ríos dos pisos basal a montano;3631.445465;
Alfoz;93007;62974;ES1120013.0276;UA530;29.44005894;UA500;3631.445465;93071.0;ES1120013.0276;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3631.445465;
Alfoz;93302;63020;ES1120013.0375;UA220;0.722177256;UA200;2173.441934;93370.0;ES1120013.0375;5;P;3260;3260;;Ríos dos pisos basal a montano;2173.441934;
Alfoz;93303;63020;ES1120013.0375;UA220;0.722177256;UA200;2173.441934;93371.0;ES1120013.0375;1;V;3270;3270;;Ríos de ribeiras lamacentas (Chenopodion rubri p.p. e de Bidention p.p.);2173.441934;
Alfoz;93304;63020;ES1120013.0375;UA220;0.722177256;UA200;2173.441934;93372.0;ES1120013.0375;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2173.441934;
Alfoz;93305;63020;ES1120013.0375;UA220;0.722177256;UA200;2173.441934;93373.0;ES1120013.0375;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2173.441934;
