concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Becerreá;86448;57321;ES1120007.0005;UA540;0.579476511;UA500;388.1116283;86516.0;ES1120007.0005;1;V;6510;6510;;Prados de sega de baixa altitude;388.1116283;
Becerreá;86449;57321;ES1120007.0005;UA540;0.579476511;UA500;388.1116283;86517.0;ES1120007.0005;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;388.1116283;
Becerreá;86498;57588;ES1120007.0045;UA540;4.565591881;UA500;1463.128361;86566.0;ES1120007.0045;5;V;6510;6510;;Prados de sega de baixa altitude;1463.128361;
Becerreá;86499;57590;ES1120007.0046;UA320;104.0188367;UA300;7122.28887;86570.0;ES1120007.0046;5;V;4030;4030;;Queirogais secos europeos;7122.28887;
Becerreá;86500;57590;ES1120007.0046;UA320;104.0188367;UA300;7122.28887;86573.0;ES1120007.0046;1;S;3260;3260;;Ríos dos pisos basal a montano;7122.28887;
Becerreá;86501;57590;ES1120007.0046;UA320;104.0188367;UA300;7122.28887;86571.0;ES1120007.0046;1;V;4030;4030;;Queirogais secos europeos;7122.28887;
Becerreá;86502;57590;ES1120007.0046;UA320;104.0188367;UA300;7122.28887;86569.0;ES1120007.0046;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;7122.28887;
Becerreá;86503;57590;ES1120007.0046;UA320;104.0188367;UA300;7122.28887;86568.0;ES1120007.0046;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;7122.28887;
Becerreá;86504;57590;ES1120007.0046;UA320;104.0188367;UA300;7122.28887;86567.0;ES1120007.0046;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;7122.28887;
Becerreá;86505;57590;ES1120007.0046;UA320;104.0188367;UA300;7122.28887;86572.0;ES1120007.0046;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7122.28887;
Becerreá;87231;57594;ES1120007.0464;UA320;25.14388109;UA300;4365.746774;87304.0;ES1120007.0464;1;V;4030;4030;;Queirogais secos europeos;4365.746774;
Becerreá;87232;57594;ES1120007.0464;UA320;25.14388109;UA300;4365.746774;87305.0;ES1120007.0464;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4365.746774;
Becerreá;87233;57594;ES1120007.0464;UA320;25.14388109;UA300;4365.746774;87303.0;ES1120007.0464;5;V;4030;4030;;Queirogais secos europeos;4365.746774;
Becerreá;87234;57594;ES1120007.0464;UA320;25.14388109;UA300;4365.746774;87301.0;ES1120007.0464;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;4365.746774;
Becerreá;87235;57594;ES1120007.0464;UA320;25.14388109;UA300;4365.746774;87300.0;ES1120007.0464;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;4365.746774;
Becerreá;87236;57594;ES1120007.0464;UA320;25.14388109;UA300;4365.746774;87299.0;ES1120007.0464;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;4365.746774;
Becerreá;87237;57594;ES1120007.0464;UA320;25.14388109;UA300;4365.746774;87302.0;ES1120007.0464;1;V;8310;8310;;Covas non explotadas polo turismo;4365.746774;
Becerreá;87238;57594;ES1120007.0464;UA320;25.14388109;UA300;4365.746774;87306.0;ES1120007.0464;1;S;3260;3260;;Ríos dos pisos basal a montano;4365.746774;
Becerreá;87239;57595;ES1120007.0465;UA320;33.04147795;UA300;4358.091154;87310.0;ES1120007.0465;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4358.091154;
Becerreá;87240;57595;ES1120007.0465;UA320;33.04147795;UA300;4358.091154;87311.0;ES1120007.0465;1;S;3260;3260;;Ríos dos pisos basal a montano;4358.091154;
Becerreá;87241;57595;ES1120007.0465;UA320;33.04147795;UA300;4358.091154;87309.0;ES1120007.0465;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;4358.091154;
Becerreá;87242;57595;ES1120007.0465;UA320;33.04147795;UA300;4358.091154;87308.0;ES1120007.0465;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;4358.091154;
Becerreá;87243;57595;ES1120007.0465;UA320;33.04147795;UA300;4358.091154;87307.0;ES1120007.0465;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;4358.091154;
Becerreá;87244;57595;ES1120007.0465;UA320;33.04147795;UA300;4358.091154;87312.0;ES1120007.0465;1;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;4358.091154;
