concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Brión;26757;23617;ES1110011.0388;UA411;35.72011273;UA400;5680.355011;26826.0;ES1110011.0388;1;V;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;5680.355011;
Brión;26758;23617;ES1110011.0388;UA411;35.72011273;UA400;5680.355011;26827.0;ES1110011.0388;1;V;9180*;9180;X;Bosques de encostas, desprendementos e barrancos do Tilio-Acerion;5680.355011;
Brión;26759;23617;ES1110011.0388;UA411;35.72011273;UA400;5680.355011;26825.0;ES1110011.0388;5;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;5680.355011;
Brión;26760;23617;ES1110011.0388;UA411;35.72011273;UA400;5680.355011;26828.0;ES1110011.0388;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5680.355011;
Brión;26780;23996;ES1110011.0395;UA630;4.641483271;UA600;876.4732514;26849.0;ES1110011.0395;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;876.4732514;
Brión;26781;23996;ES1110011.0395;UA630;4.641483271;UA600;876.4732514;26850.0;ES1110011.0395;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;876.4732514;
Brión;26782;23996;ES1110011.0395;UA630;4.641483271;UA600;876.4732514;26848.0;ES1110011.0395;1;S;4030;4030;;Queirogais secos europeos;876.4732514;
Brión;26794;23966;ES1110011.0399;UA320;23.24105252;UA300;3747.389582;26867.0;ES1110011.0399;1;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;3747.389582;
Brión;26795;23966;ES1110011.0399;UA320;23.24105252;UA300;3747.389582;26866.0;ES1110011.0399;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;3747.389582;
Brión;26796;23966;ES1110011.0399;UA320;23.24105252;UA300;3747.389582;26868.0;ES1110011.0399;1;S;9180*;9180;X;Bosques de encostas, desprendementos e barrancos do Tilio-Acerion;3747.389582;
Brión;26797;23966;ES1110011.0399;UA320;23.24105252;UA300;3747.389582;26864.0;ES1110011.0399;4;V;4030;4030;;Queirogais secos europeos;3747.389582;
Brión;26798;23966;ES1110011.0399;UA320;23.24105252;UA300;3747.389582;26865.0;ES1110011.0399;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3747.389582;
Brión;26799;23966;ES1110011.0399;UA320;23.24105252;UA300;3747.389582;26863.0;ES1110011.0399;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;3747.389582;
Brión;26800;23966;ES1110011.0399;UA320;23.24105252;UA300;3747.389582;26862.0;ES1110011.0399;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;3747.389582;
Brión;26828;23958;ES1110011.0418;UA220;28.90193989;UA200;17739.69071;26897.0;ES1110011.0418;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;17739.69071;
Brión;26829;23958;ES1110011.0418;UA220;28.90193989;UA200;17739.69071;26896.0;ES1110011.0418;5;P;3260;3260;;Ríos dos pisos basal a montano;17739.69071;
Brión;26837;23998;ES1110011.0422;UA531;10.93989725;UA500;2915.758031;26905.0;ES1110011.0422;2;V;6510;6510;;Prados de sega de baixa altitude;2915.758031;
Brión;26838;23998;ES1110011.0422;UA531;10.93989725;UA500;2915.758031;26906.0;ES1110011.0422;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2915.758031;
Brión;26913;23622;ES1110011.0471;UA220;2.236014116;UA200;11182.58703;26981.0;ES1110011.0471;5;P;3260;3260;;Ríos dos pisos basal a montano;11182.58703;
Brión;26914;23622;ES1110011.0471;UA220;2.236014116;UA200;11182.58703;26982.0;ES1110011.0471;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;11182.58703;
Brión;26915;23622;ES1110011.0471;UA220;2.236014116;UA200;11182.58703;26983.0;ES1110011.0471;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;11182.58703;
Brión;26968;23951;ES1110011.0502;UA261;7.267125799;UA200;4388.610438;27036.0;ES1110011.0502;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4388.610438;
Brión;27692;23997;ES1110011.0805;UA261;0.800199554;UA200;427.8173693;27760.0;ES1110011.0805;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;427.8173693;
Brión;181010;105045;ES1140001.1311;UA220;18.132456;UA200;60408.5263;181089.0;ES1140001.1311;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;60408.5263;
Brión;181011;105045;ES1140001.1311;UA220;18.132456;UA200;60408.5263;181087.0;ES1140001.1311;5;P;3260;3260;;Ríos dos pisos basal a montano;60408.5263;
Brión;181012;105045;ES1140001.1311;UA220;18.132456;UA200;60408.5263;181088.0;ES1140001.1311;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;60408.5263;
