concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Cerdedo-Cotobade;203024;120447;ES1140014.0027;UA630;32.64095068;UA600;3675.509566;203033.0;ES1140014.0027;1;S;3260;3260;;Ríos dos pisos basal a montano;3675.509566;
Cerdedo-Cotobade;203025;120447;ES1140014.0027;UA630;32.64095068;UA600;3675.509566;203034.0;ES1140014.0027;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3675.509566;
Cerdedo-Cotobade;203032;120191;ES1140014.0030;UA220;0.838024364;UA200;8379.253626;203041.0;ES1140014.0030;5;P;3260;3260;;Ríos dos pisos basal a montano;8379.253626;
Cerdedo-Cotobade;203033;120191;ES1140014.0030;UA220;0.838024364;UA200;8379.253626;203042.0;ES1140014.0030;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8379.253626;
Cerdedo-Cotobade;203034;120191;ES1140014.0030;UA220;0.838024364;UA200;8379.253626;203043.0;ES1140014.0030;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8379.253626;
Cerdedo-Cotobade;203041;120323;ES1140014.0033;UA220;1.651112233;UA200;6899.462325;203050.0;ES1140014.0033;5;P;3260;3260;;Ríos dos pisos basal a montano;6899.462325;
Cerdedo-Cotobade;203042;120323;ES1140014.0033;UA220;1.651112233;UA200;6899.462325;203051.0;ES1140014.0033;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6899.462325;
Cerdedo-Cotobade;203043;120323;ES1140014.0033;UA220;1.651112233;UA200;6899.462325;203052.0;ES1140014.0033;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6899.462325;
Cerdedo-Cotobade;203073;120181;ES1140014.0043;UA411;46.18575035;UA400;7948.691083;203085.0;ES1140014.0043;1;S;4030;4030;;Queirogais secos europeos;7948.691083;
Cerdedo-Cotobade;203074;120181;ES1140014.0043;UA411;46.18575035;UA400;7948.691083;203088.0;ES1140014.0043;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7948.691083;
Cerdedo-Cotobade;203075;120181;ES1140014.0043;UA411;46.18575035;UA400;7948.691083;203086.0;ES1140014.0043;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;7948.691083;
Cerdedo-Cotobade;203076;120181;ES1140014.0043;UA411;46.18575035;UA400;7948.691083;203084.0;ES1140014.0043;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7948.691083;
Cerdedo-Cotobade;203077;120181;ES1140014.0043;UA411;46.18575035;UA400;7948.691083;203083.0;ES1140014.0043;1;S;3260;3260;;Ríos dos pisos basal a montano;7948.691083;
Cerdedo-Cotobade;203078;120181;ES1140014.0043;UA411;46.18575035;UA400;7948.691083;203082.0;ES1140014.0043;5;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;7948.691083;
Cerdedo-Cotobade;203079;120181;ES1140014.0043;UA411;46.18575035;UA400;7948.691083;203087.0;ES1140014.0043;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;7948.691083;
Cerdedo-Cotobade;203777;120450;ES1140014.0254;UA630;19.6878918;UA600;3976.203312;203786.0;ES1140014.0254;1;S;3260;3260;;Ríos dos pisos basal a montano;3976.203312;
Cerdedo-Cotobade;203778;120450;ES1140014.0254;UA630;19.6878918;UA600;3976.203312;203787.0;ES1140014.0254;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3976.203312;
Cerdedo-Cotobade;203779;120443;ES1140014.0255;UA411;7.53134517;UA400;3022.114438;203789.0;ES1140014.0255;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3022.114438;
Cerdedo-Cotobade;203780;120443;ES1140014.0255;UA411;7.53134517;UA400;3022.114438;203793.0;ES1140014.0255;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3022.114438;
Cerdedo-Cotobade;203781;120443;ES1140014.0255;UA411;7.53134517;UA400;3022.114438;203792.0;ES1140014.0255;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;3022.114438;
Cerdedo-Cotobade;203782;120443;ES1140014.0255;UA411;7.53134517;UA400;3022.114438;203791.0;ES1140014.0255;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;3022.114438;
Cerdedo-Cotobade;203783;120443;ES1140014.0255;UA411;7.53134517;UA400;3022.114438;203788.0;ES1140014.0255;5;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;3022.114438;
Cerdedo-Cotobade;203784;120443;ES1140014.0255;UA411;7.53134517;UA400;3022.114438;203790.0;ES1140014.0255;1;S;4030;4030;;Queirogais secos europeos;3022.114438;
Cerdedo-Cotobade;203791;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203804.0;ES1140014.0258;1;S;4030;4030;;Queirogais secos europeos;4698.278452;
Cerdedo-Cotobade;203792;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203807.0;ES1140014.0258;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4698.278452;
Cerdedo-Cotobade;203793;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203805.0;ES1140014.0258;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;4698.278452;
Cerdedo-Cotobade;203794;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203800.0;ES1140014.0258;1;V;6510;6510;;Prados de sega de baixa altitude;4698.278452;
Cerdedo-Cotobade;203795;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203802.0;ES1140014.0258;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4698.278452;
Cerdedo-Cotobade;203796;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203801.0;ES1140014.0258;1;S;3260;3260;;Ríos dos pisos basal a montano;4698.278452;
Cerdedo-Cotobade;203797;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203803.0;ES1140014.0258;1;S;6410;6410;;Prados con Molinia;4698.278452;
Cerdedo-Cotobade;203798;120179;ES1140014.0258;UA532;19.11695354;UA500;4698.278452;203806.0;ES1140014.0258;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;4698.278452;
Cerdedo-Cotobade;204763;120172;ES1140014.0704;UA320;3.207523544;UA300;831.9740262;204776.0;ES1140014.0704;2;V;4030;4030;;Queirogais secos europeos;831.9740262;
Cerdedo-Cotobade;204764;120172;ES1140014.0704;UA320;3.207523544;UA300;831.9740262;204775.0;ES1140014.0704;2;V;4030;4030;;Queirogais secos europeos;831.9740262;
Cerdedo-Cotobade;204765;120172;ES1140014.0704;UA320;3.207523544;UA300;831.9740262;204774.0;ES1140014.0704;3;V;4030;4030;;Queirogais secos europeos;831.9740262;
Cerdedo-Cotobade;204766;120172;ES1140014.0704;UA320;3.207523544;UA300;831.9740262;204772.0;ES1140014.0704;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;831.9740262;
Cerdedo-Cotobade;204767;120172;ES1140014.0704;UA320;3.207523544;UA300;831.9740262;204777.0;ES1140014.0704;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;831.9740262;
Cerdedo-Cotobade;204768;120172;ES1140014.0704;UA320;3.207523544;UA300;831.9740262;204773.0;ES1140014.0704;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;831.9740262;
Cerdedo-Cotobade;204769;120445;ES1140014.0705;UA320;6.940311842;UA300;1516.797762;204781.0;ES1140014.0705;2;V;4030;4030;;Queirogais secos europeos;1516.797762;
Cerdedo-Cotobade;204770;120445;ES1140014.0705;UA320;6.940311842;UA300;1516.797762;204783.0;ES1140014.0705;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1516.797762;
Cerdedo-Cotobade;204771;120445;ES1140014.0705;UA320;6.940311842;UA300;1516.797762;204782.0;ES1140014.0705;2;V;4030;4030;;Queirogais secos europeos;1516.797762;
Cerdedo-Cotobade;204772;120445;ES1140014.0705;UA320;6.940311842;UA300;1516.797762;204780.0;ES1140014.0705;3;V;4030;4030;;Queirogais secos europeos;1516.797762;
Cerdedo-Cotobade;204773;120445;ES1140014.0705;UA320;6.940311842;UA300;1516.797762;204778.0;ES1140014.0705;2;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1516.797762;
Cerdedo-Cotobade;204774;120445;ES1140014.0705;UA320;6.940311842;UA300;1516.797762;204779.0;ES1140014.0705;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1516.797762;
Cerdedo-Cotobade;205590;120620;ES1140014.0911;UA220;1.113612921;UA200;11139.48959;205599.0;ES1140014.0911;5;P;3260;3260;;Ríos dos pisos basal a montano;11139.48959;
Cerdedo-Cotobade;205591;120620;ES1140014.0911;UA220;1.113612921;UA200;11139.48959;205600.0;ES1140014.0911;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;11139.48959;
Cerdedo-Cotobade;205592;120620;ES1140014.0911;UA220;1.113612921;UA200;11139.48959;205601.0;ES1140014.0911;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;11139.48959;
Cerdedo-Cotobade;205604;120320;ES1140014.0916;UA220;0.82543188;UA200;8255.425449;205613.0;ES1140014.0916;5;P;3260;3260;;Ríos dos pisos basal a montano;8255.425449;
Cerdedo-Cotobade;205605;120320;ES1140014.0916;UA220;0.82543188;UA200;8255.425449;205614.0;ES1140014.0916;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8255.425449;
Cerdedo-Cotobade;205606;120320;ES1140014.0916;UA220;0.82543188;UA200;8255.425449;205615.0;ES1140014.0916;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8255.425449;
Cerdedo-Cotobade;205719;120356;ES1140014.0961;UA220;3.909619933;UA200;7835.022791;205728.0;ES1140014.0961;5;P;3260;3260;;Ríos dos pisos basal a montano;7835.022791;
Cerdedo-Cotobade;205720;120356;ES1140014.0961;UA220;3.909619933;UA200;7835.022791;205729.0;ES1140014.0961;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7835.022791;
Cerdedo-Cotobade;205893;120448;ES1140014.1030;UA260;4.050952225;UA200;6734.778201;205902.0;ES1140014.1030;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6734.778201;
Cerdedo-Cotobade;205894;120448;ES1140014.1030;UA260;4.050952225;UA200;6734.778201;205903.0;ES1140014.1030;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6734.778201;
Cerdedo-Cotobade;205895;120444;ES1140014.1031;UA260;0.961129567;UA200;1229.82764;205904.0;ES1140014.1031;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1229.82764;
Cerdedo-Cotobade;205896;120444;ES1140014.1031;UA260;0.961129567;UA200;1229.82764;205905.0;ES1140014.1031;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1229.82764;
Cerdedo-Cotobade;205897;120449;ES1140014.1032;UA260;0.598241377;UA200;1586.382651;205906.0;ES1140014.1032;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1586.382651;
Cerdedo-Cotobade;205898;120449;ES1140014.1032;UA260;0.598241377;UA200;1586.382651;205907.0;ES1140014.1032;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1586.382651;
Cerdedo-Cotobade;205980;120525;ES1140014.1072;UA411;12.64989519;UA400;4319.033779;205991.0;ES1140014.1072;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4319.033779;
Cerdedo-Cotobade;205981;120525;ES1140014.1072;UA411;12.64989519;UA400;4319.033779;205995.0;ES1140014.1072;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4319.033779;
Cerdedo-Cotobade;205982;120525;ES1140014.1072;UA411;12.64989519;UA400;4319.033779;205994.0;ES1140014.1072;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;4319.033779;
