concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Cerdido;1578;1516;ES1110001.0723;UA220;8.716338776;UA200;15038.64972;1648.0;ES1110001.0723;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;15038.64972;
Cerdido;1579;1516;ES1110001.0723;UA220;8.716338776;UA200;15038.64972;1647.0;ES1110001.0723;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;15038.64972;
Cerdido;1580;1516;ES1110001.0723;UA220;8.716338776;UA200;15038.64972;1646.0;ES1110001.0723;5;P;3260;3260;;Ríos dos pisos basal a montano;15038.64972;
Cerdido;2225;1245;ES1110001.1262;UA260;0.629388789;UA200;2247.41625;2293.0;ES1110001.1262;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2247.41625;
Cerdido;2226;1245;ES1110001.1262;UA260;0.629388789;UA200;2247.41625;2294.0;ES1110001.1262;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2247.41625;
Cerdido;2227;1465;ES1110001.1263;UA260;1.688810345;UA200;2692.483676;2295.0;ES1110001.1263;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2692.483676;
Cerdido;2228;1465;ES1110001.1263;UA260;1.688810345;UA200;2692.483676;2296.0;ES1110001.1263;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2692.483676;
Cerdido;2441;1417;ES1110001.1410;UA220;6.973421977;UA200;13958.06367;2509.0;ES1110001.1410;5;P;3260;3260;;Ríos dos pisos basal a montano;13958.06367;
Cerdido;2442;1417;ES1110001.1410;UA220;6.973421977;UA200;13958.06367;2510.0;ES1110001.1410;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;13958.06367;
Cerdido;2443;1417;ES1110001.1410;UA220;6.973421977;UA200;13958.06367;2511.0;ES1110001.1410;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;13958.06367;
