concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Coirós;22086;20053;ES1110007.1215;UA220;17.64360103;UA200;44188.97059;22154.0;ES1110007.1215;5;P;3260;3260;;Ríos dos pisos basal a montano;44188.97059;
Coirós;22087;20053;ES1110007.1215;UA220;17.64360103;UA200;44188.97059;22155.0;ES1110007.1215;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;44188.97059;
Coirós;22095;18960;ES1110007.1225;UA531;47.26583104;UA500;8792.125237;22166.0;ES1110007.1225;1;S;6410;6410;;Prados con Molinia;8792.125237;
Coirós;22096;18960;ES1110007.1225;UA531;47.26583104;UA500;8792.125237;22165.0;ES1110007.1225;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8792.125237;
Coirós;22097;18960;ES1110007.1225;UA531;47.26583104;UA500;8792.125237;22164.0;ES1110007.1225;1;S;3260;3260;;Ríos dos pisos basal a montano;8792.125237;
Coirós;22098;18960;ES1110007.1225;UA531;47.26583104;UA500;8792.125237;22163.0;ES1110007.1225;3;V;6510;6510;;Prados de sega de baixa altitude;8792.125237;
Coirós;22669;18829;ES1110007.1690;UA220;2.135430419;UA200;7642.43078;22737.0;ES1110007.1690;5;P;3260;3260;;Ríos dos pisos basal a montano;7642.43078;
Coirós;22670;18829;ES1110007.1690;UA220;2.135430419;UA200;7642.43078;22738.0;ES1110007.1690;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;7642.43078;
Coirós;22671;18829;ES1110007.1690;UA220;2.135430419;UA200;7642.43078;22739.0;ES1110007.1690;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7642.43078;
Coirós;22771;18939;ES1110007.1743;UA260;2.298680262;UA200;4395.159199;22839.0;ES1110007.1743;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4395.159199;
Coirós;22772;18939;ES1110007.1743;UA260;2.298680262;UA200;4395.159199;22840.0;ES1110007.1743;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4395.159199;
Coirós;22777;18945;ES1110007.1747;UA220;3.387136223;UA200;6216.618062;22845.0;ES1110007.1747;5;P;3260;3260;;Ríos dos pisos basal a montano;6216.618062;
Coirós;22778;18945;ES1110007.1747;UA220;3.387136223;UA200;6216.618062;22846.0;ES1110007.1747;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6216.618062;
Coirós;22781;18950;ES1110007.1751;UA260;0.882697582;UA200;2496.804846;22849.0;ES1110007.1751;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2496.804846;
Coirós;22782;18950;ES1110007.1751;UA260;0.882697582;UA200;2496.804846;22850.0;ES1110007.1751;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2496.804846;
