concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Guitiriz;77743;48439;ES1120003.4882;UA260;1.547080794;UA200;2534.01814;77811.0;ES1120003.4882;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2534.01814;
Guitiriz;77744;48439;ES1120003.4882;UA260;1.547080794;UA200;2534.01814;77812.0;ES1120003.4882;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2534.01814;
Guitiriz;77745;48440;ES1120003.4883;UA260;1.059942892;UA200;2272.347673;77813.0;ES1120003.4883;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2272.347673;
Guitiriz;77746;48440;ES1120003.4883;UA260;1.059942892;UA200;2272.347673;77814.0;ES1120003.4883;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2272.347673;
Guitiriz;77753;50756;ES1120003.4887;UA220;0.5924879;UA200;2970.772558;77821.0;ES1120003.4887;5;P;3260;3260;;Ríos dos pisos basal a montano;2970.772558;
Guitiriz;77754;50756;ES1120003.4887;UA220;0.5924879;UA200;2970.772558;77822.0;ES1120003.4887;1;V;3270;3270;;Ríos de ribeiras lamacentas (Chenopodion rubri p.p. e de Bidention p.p.);2970.772558;
Guitiriz;77755;50756;ES1120003.4887;UA220;0.5924879;UA200;2970.772558;77823.0;ES1120003.4887;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2970.772558;
Guitiriz;77756;50756;ES1120003.4887;UA220;0.5924879;UA200;2970.772558;77824.0;ES1120003.4887;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2970.772558;
Guitiriz;77777;48658;ES1120003.4898;UA260;0.898015462;UA200;2204.307291;77845.0;ES1120003.4898;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2204.307291;
Guitiriz;77778;48658;ES1120003.4898;UA260;0.898015462;UA200;2204.307291;77846.0;ES1120003.4898;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2204.307291;
Guitiriz;77779;48504;ES1120003.4899;UA260;0.652334418;UA200;1843.266537;77847.0;ES1120003.4899;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1843.266537;
Guitiriz;77785;50867;ES1120003.4902;UA220;0.804250781;UA200;4882.808262;77853.0;ES1120003.4902;5;P;3260;3260;;Ríos dos pisos basal a montano;4882.808262;
Guitiriz;77786;50867;ES1120003.4902;UA220;0.804250781;UA200;4882.808262;77854.0;ES1120003.4902;1;V;3270;3270;;Ríos de ribeiras lamacentas (Chenopodion rubri p.p. e de Bidention p.p.);4882.808262;
Guitiriz;77787;50867;ES1120003.4902;UA220;0.804250781;UA200;4882.808262;77855.0;ES1120003.4902;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4882.808262;
Guitiriz;77788;50867;ES1120003.4902;UA220;0.804250781;UA200;4882.808262;77856.0;ES1120003.4902;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4882.808262;
Guitiriz;78535;52524;ES1120003.5463;UA281;25.18122107;UA200;6611.605206;78608.0;ES1120003.5463;2;V;6230*;6230;X;Formacións herbáceas con Nardus;6611.605206;
Guitiriz;78536;52524;ES1120003.5463;UA281;25.18122107;UA200;6611.605206;78609.0;ES1120003.5463;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6611.605206;
Guitiriz;78537;52524;ES1120003.5463;UA281;25.18122107;UA200;6611.605206;78607.0;ES1120003.5463;2;V;6410;6410;;Prados con Molinia;6611.605206;
Guitiriz;78538;52524;ES1120003.5463;UA281;25.18122107;UA200;6611.605206;78606.0;ES1120003.5463;3;V;6410;6410;;Prados con Molinia;6611.605206;
Guitiriz;78539;52524;ES1120003.5463;UA281;25.18122107;UA200;6611.605206;78605.0;ES1120003.5463;2;V;6410;6410;;Prados con Molinia;6611.605206;
Guitiriz;78540;52524;ES1120003.5463;UA281;25.18122107;UA200;6611.605206;78604.0;ES1120003.5463;2;V;6410;6410;;Prados con Molinia;6611.605206;
Guitiriz;78541;52524;ES1120003.5463;UA281;25.18122107;UA200;6611.605206;78603.0;ES1120003.5463;2;V;6410;6410;;Prados con Molinia;6611.605206;
Guitiriz;78622;52944;ES1120003.5525;UA532;6.377317947;UA500;1481.73003;78690.0;ES1120003.5525;1;V;6510;6510;;Prados de sega de baixa altitude;1481.73003;
Guitiriz;78671;52948;ES1120003.5562;UA532;10.93667289;UA500;2437.026618;78739.0;ES1120003.5562;1;V;6510;6510;;Prados de sega de baixa altitude;2437.026618;
Guitiriz;78672;52948;ES1120003.5562;UA532;10.93667289;UA500;2437.026618;78740.0;ES1120003.5562;1;V;6510;6510;;Prados de sega de baixa altitude;2437.026618;
Guitiriz;78673;52948;ES1120003.5562;UA532;10.93667289;UA500;2437.026618;78741.0;ES1120003.5562;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2437.026618;
Guitiriz;78674;52948;ES1120003.5562;UA532;10.93667289;UA500;2437.026618;78742.0;ES1120003.5562;1;S;6410;6410;;Prados con Molinia;2437.026618;
Guitiriz;78725;48509;ES1120003.5607;UA532;2.482920644;UA500;1010.986601;78795.0;ES1120003.5607;1;S;6410;6410;;Prados con Molinia;1010.986601;
