concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Mesía;33423;31545;ES1110016.0001;UA220;11.38151251;UA200;37819.57293;33493.0;ES1110016.0001;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;37819.57293;
Mesía;33424;31545;ES1110016.0001;UA220;11.38151251;UA200;37819.57293;33491.0;ES1110016.0001;5;P;3260;3260;;Ríos dos pisos basal a montano;37819.57293;
Mesía;33425;31545;ES1110016.0001;UA220;11.38151251;UA200;37819.57293;33492.0;ES1110016.0001;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;37819.57293;
Mesía;33427;28088;ES1110016.0004;UA420;4.944657254;UA400;3051.292592;33495.0;ES1110016.0004;5;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;3051.292592;
Mesía;33430;30309;ES1110016.0008;UA530;59.52369695;UA500;8529.028273;33498.0;ES1110016.0008;3;V;6510;6510;;Prados de sega de baixa altitude;8529.028273;
Mesía;33431;30309;ES1110016.0008;UA530;59.52369695;UA500;8529.028273;33499.0;ES1110016.0008;1;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;8529.028273;
Mesía;33432;30309;ES1110016.0008;UA530;59.52369695;UA500;8529.028273;33500.0;ES1110016.0008;1;S;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8529.028273;
Mesía;33442;31424;ES1110016.0017;UA220;0.750880949;UA200;2514.523102;33510.0;ES1110016.0017;5;P;3260;3260;;Ríos dos pisos basal a montano;2514.523102;
Mesía;33443;31424;ES1110016.0017;UA220;0.750880949;UA200;2514.523102;33511.0;ES1110016.0017;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2514.523102;
Mesía;33444;31424;ES1110016.0017;UA220;0.750880949;UA200;2514.523102;33512.0;ES1110016.0017;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2514.523102;
