concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Mondoñedo;90441;62067;ES1120011.0061;UA220;10.5975916;UA200;18311.87972;90509.0;ES1120011.0061;5;P;3260;3260;;Ríos dos pisos basal a montano;18311.87972;
Mondoñedo;90442;62067;ES1120011.0061;UA220;10.5975916;UA200;18311.87972;90510.0;ES1120011.0061;1;V;3270;3270;;Ríos de ribeiras lamacentas (Chenopodion rubri p.p. e de Bidention p.p.);18311.87972;
Mondoñedo;90443;62067;ES1120011.0061;UA220;10.5975916;UA200;18311.87972;90511.0;ES1120011.0061;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;18311.87972;
Mondoñedo;90610;61866;ES1120011.0191;UA530;28.69821854;UA500;5040.098684;90680.0;ES1120011.0191;1;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;5040.098684;
Mondoñedo;90611;61866;ES1120011.0191;UA530;28.69821854;UA500;5040.098684;90678.0;ES1120011.0191;1;V;6510;6510;;Prados de sega de baixa altitude;5040.098684;
Mondoñedo;90612;61866;ES1120011.0191;UA530;28.69821854;UA500;5040.098684;90679.0;ES1120011.0191;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5040.098684;
Mondoñedo;90613;61674;ES1120011.0192;UA420;5.856570522;UA400;1212.106208;90681.0;ES1120011.0192;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1212.106208;
Mondoñedo;90663;61802;ES1120011.0217;UA530;22.26283168;UA500;2633.840461;90731.0;ES1120011.0217;1;V;6510;6510;;Prados de sega de baixa altitude;2633.840461;
Mondoñedo;90664;61802;ES1120011.0217;UA530;22.26283168;UA500;2633.840461;90732.0;ES1120011.0217;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2633.840461;
Mondoñedo;90665;62013;ES1120011.0218;UA631;239.4144841;UA600;8593.300104;90734.0;ES1120011.0218;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;8593.300104;
Mondoñedo;90666;62013;ES1120011.0218;UA631;239.4144841;UA600;8593.300104;90735.0;ES1120011.0218;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;8593.300104;
Mondoñedo;90667;62013;ES1120011.0218;UA631;239.4144841;UA600;8593.300104;90733.0;ES1120011.0218;1;S;4030;4030;;Queirogais secos europeos;8593.300104;
Mondoñedo;90668;62017;ES1120011.0219;UA631;92.24409504;UA600;8135.002827;90736.0;ES1120011.0219;1;S;4030;4030;;Queirogais secos europeos;8135.002827;
Mondoñedo;90669;62017;ES1120011.0219;UA631;92.24409504;UA600;8135.002827;90737.0;ES1120011.0219;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;8135.002827;
Mondoñedo;90670;62017;ES1120011.0219;UA631;92.24409504;UA600;8135.002827;90738.0;ES1120011.0219;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;8135.002827;
Mondoñedo;90698;61644;ES1120011.0235;UA220;0.954129469;UA200;3824.434996;90766.0;ES1120011.0235;5;P;3260;3260;;Ríos dos pisos basal a montano;3824.434996;
Mondoñedo;90699;61644;ES1120011.0235;UA220;0.954129469;UA200;3824.434996;90767.0;ES1120011.0235;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3824.434996;
