concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Paderne;22086;20053;ES1110007.1215;UA220;17.64360103;UA200;44188.97059;22154.0;ES1110007.1215;5;P;3260;3260;;Ríos dos pisos basal a montano;44188.97059;
Paderne;22087;20053;ES1110007.1215;UA220;17.64360103;UA200;44188.97059;22155.0;ES1110007.1215;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;44188.97059;
Paderne;22253;18757;ES1110007.1401;UA420;5.721964759;UA400;1634.448206;22321.0;ES1110007.1401;5;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1634.448206;
Paderne;22254;18757;ES1110007.1401;UA420;5.721964759;UA400;1634.448206;22322.0;ES1110007.1401;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1634.448206;
Paderne;22255;18965;ES1110007.1402;UA420;9.522220458;UA400;2392.516413;22323.0;ES1110007.1402;5;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;2392.516413;
Paderne;22256;18965;ES1110007.1402;UA420;9.522220458;UA400;2392.516413;22324.0;ES1110007.1402;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2392.516413;
Paderne;22597;18762;ES1110007.1649;UA220;0.747797773;UA200;6977.66134;22667.0;ES1110007.1649;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6977.66134;
Paderne;22598;18762;ES1110007.1649;UA220;0.747797773;UA200;6977.66134;22665.0;ES1110007.1649;5;P;3260;3260;;Ríos dos pisos basal a montano;6977.66134;
Paderne;22599;18762;ES1110007.1649;UA220;0.747797773;UA200;6977.66134;22666.0;ES1110007.1649;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6977.66134;
Paderne;22600;18763;ES1110007.1650;UA220;0.620623836;UA200;2793.171843;22670.0;ES1110007.1650;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2793.171843;
Paderne;22601;18763;ES1110007.1650;UA220;0.620623836;UA200;2793.171843;22668.0;ES1110007.1650;5;P;3260;3260;;Ríos dos pisos basal a montano;2793.171843;
Paderne;22602;18763;ES1110007.1650;UA220;0.620623836;UA200;2793.171843;22669.0;ES1110007.1650;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2793.171843;
Paderne;22603;18764;ES1110007.1651;UA220;0.291134544;UA200;2897.742465;22671.0;ES1110007.1651;5;P;3260;3260;;Ríos dos pisos basal a montano;2897.742465;
Paderne;22604;18764;ES1110007.1651;UA220;0.291134544;UA200;2897.742465;22672.0;ES1110007.1651;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2897.742465;
Paderne;22605;18764;ES1110007.1651;UA220;0.291134544;UA200;2897.742465;22673.0;ES1110007.1651;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2897.742465;
Paderne;22771;18939;ES1110007.1743;UA260;2.298680262;UA200;4395.159199;22839.0;ES1110007.1743;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4395.159199;
Paderne;22772;18939;ES1110007.1743;UA260;2.298680262;UA200;4395.159199;22840.0;ES1110007.1743;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4395.159199;
Paderne;22777;18945;ES1110007.1747;UA220;3.387136223;UA200;6216.618062;22845.0;ES1110007.1747;5;P;3260;3260;;Ríos dos pisos basal a montano;6216.618062;
Paderne;22778;18945;ES1110007.1747;UA220;3.387136223;UA200;6216.618062;22846.0;ES1110007.1747;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6216.618062;
Paderne;22781;18950;ES1110007.1751;UA260;0.882697582;UA200;2496.804846;22849.0;ES1110007.1751;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2496.804846;
Paderne;22782;18950;ES1110007.1751;UA260;0.882697582;UA200;2496.804846;22850.0;ES1110007.1751;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2496.804846;
