concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Pedrafita do Cebreiro;38787;32967;Es1120001.0006;UA220;25.83565039;UA200;90972.44031;38857.0;Es1120001.0006;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;90972.44031;
Pedrafita do Cebreiro;38788;32967;Es1120001.0006;UA220;25.83565039;UA200;90972.44031;38855.0;Es1120001.0006;5;P;3260;3260;;Ríos dos pisos basal a montano;90972.44031;
Pedrafita do Cebreiro;38789;32967;Es1120001.0006;UA220;25.83565039;UA200;90972.44031;38856.0;Es1120001.0006;1;V;3270;3270;;Ríos de ribeiras lamacentas (Chenopodion rubri p.p. e de Bidention p.p.);90972.44031;
Pedrafita do Cebreiro;42536;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42605.0;Es1120001.1188;1;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;162005.1581;
Pedrafita do Cebreiro;42537;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42610.0;Es1120001.1188;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;162005.1581;
Pedrafita do Cebreiro;42538;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42611.0;Es1120001.1188;1;S;8310;8310;;Covas non explotadas polo turismo;162005.1581;
Pedrafita do Cebreiro;42539;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42609.0;Es1120001.1188;1;S;3260;3260;;Ríos dos pisos basal a montano;162005.1581;
Pedrafita do Cebreiro;42540;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42608.0;Es1120001.1188;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;162005.1581;
Pedrafita do Cebreiro;42541;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42606.0;Es1120001.1188;1;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;162005.1581;
Pedrafita do Cebreiro;42542;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42604.0;Es1120001.1188;5;P;4030;4030;;Queirogais secos europeos;162005.1581;
Pedrafita do Cebreiro;42543;34118;Es1120001.1188;UA310;1650.876879;UA300;162005.1581;42607.0;Es1120001.1188;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;162005.1581;
