concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Quiroga;38787;32967;Es1120001.0006;UA220;25.83565039;UA200;90972.44031;38857.0;Es1120001.0006;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;90972.44031;
Quiroga;38788;32967;Es1120001.0006;UA220;25.83565039;UA200;90972.44031;38855.0;Es1120001.0006;5;P;3260;3260;;Ríos dos pisos basal a montano;90972.44031;
Quiroga;38789;32967;Es1120001.0006;UA220;25.83565039;UA200;90972.44031;38856.0;Es1120001.0006;1;V;3270;3270;;Ríos de ribeiras lamacentas (Chenopodion rubri p.p. e de Bidention p.p.);90972.44031;
Quiroga;46343;35499;Es1120001.2596;UA260;0.527080296;UA200;916.2531057;46411.0;Es1120001.2596;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;916.2531057;
Quiroga;46344;35499;Es1120001.2596;UA260;0.527080296;UA200;916.2531057;46412.0;Es1120001.2596;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;916.2531057;
Quiroga;46359;35507;Es1120001.2604;UA260;4.382788596;UA200;5059.541216;46428.0;Es1120001.2604;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5059.541216;
Quiroga;46360;35507;Es1120001.2604;UA260;4.382788596;UA200;5059.541216;46427.0;Es1120001.2604;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5059.541216;
Quiroga;51795;36799;Es1120001.3916;UA425;1.119866513;UA400;1040.511773;51863.0;Es1120001.3916;5;P;9260;9260;;Soutos;1040.511773;
Quiroga;51796;36799;Es1120001.3916;UA425;1.119866513;UA400;1040.511773;51864.0;Es1120001.3916;1;S;3260;3260;;Ríos dos pisos basal a montano;1040.511773;
Quiroga;51797;36799;Es1120001.3916;UA425;1.119866513;UA400;1040.511773;51865.0;Es1120001.3916;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1040.511773;
Quiroga;51798;36799;Es1120001.3916;UA425;1.119866513;UA400;1040.511773;51866.0;Es1120001.3916;1;S;4030;4030;;Queirogais secos europeos;1040.511773;
Quiroga;51799;36799;Es1120001.3916;UA425;1.119866513;UA400;1040.511773;51867.0;Es1120001.3916;1;S;6510;6510;;Prados de sega de baixa altitude;1040.511773;
Quiroga;52844;37014;Es1120001.4131;UA421;14.62968327;UA400;3617.782071;52914.0;Es1120001.4131;1;S;4030;4030;;Queirogais secos europeos;3617.782071;
Quiroga;52845;37014;Es1120001.4131;UA421;14.62968327;UA400;3617.782071;52913.0;Es1120001.4131;1;S;4030;4030;;Queirogais secos europeos;3617.782071;
Quiroga;52846;37014;Es1120001.4131;UA421;14.62968327;UA400;3617.782071;52912.0;Es1120001.4131;5;P;9330;9330;;Sobreirais;3617.782071;
Quiroga;67689;39280;Es1120001.6419;UA533;5.16700912;UA500;1828.15625;67759.0;Es1120001.6419;1;S;6410;6410;;Prados con Molinia;1828.15625;
Quiroga;67690;39280;Es1120001.6419;UA533;5.16700912;UA500;1828.15625;67757.0;Es1120001.6419;3;V;6510;6510;;Prados de sega de baixa altitude;1828.15625;
Quiroga;67691;39280;Es1120001.6419;UA533;5.16700912;UA500;1828.15625;67758.0;Es1120001.6419;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1828.15625;
Quiroga;67692;39281;Es1120001.6420;UA533;3.078535061;UA500;988.0160019;67760.0;Es1120001.6420;3;V;6510;6510;;Prados de sega de baixa altitude;988.0160019;
Quiroga;67693;39281;Es1120001.6420;UA533;3.078535061;UA500;988.0160019;67761.0;Es1120001.6420;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;988.0160019;
Quiroga;67694;39281;Es1120001.6420;UA533;3.078535061;UA500;988.0160019;67762.0;Es1120001.6420;1;S;6410;6410;;Prados con Molinia;988.0160019;
