concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Viveiro;91971;62450;ES1120012.0438;UA631;113.8208815;UA600;9922.555162;92042.0;ES1120012.0438;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;9922.555162;
Viveiro;91972;62450;ES1120012.0438;UA631;113.8208815;UA600;9922.555162;92039.0;ES1120012.0438;1;S;4030;4030;;Queirogais secos europeos;9922.555162;
Viveiro;91973;62450;ES1120012.0438;UA631;113.8208815;UA600;9922.555162;92040.0;ES1120012.0438;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;9922.555162;
Viveiro;91974;62450;ES1120012.0438;UA631;113.8208815;UA600;9922.555162;92041.0;ES1120012.0438;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;9922.555162;
Viveiro;91993;62314;ES1120012.0444;UA320;2.928778828;UA300;777.0300096;92061.0;ES1120012.0444;1;V;8230;8230;;Rochedos silíceos con vexetación pioneira;777.0300096;
Viveiro;91994;62314;ES1120012.0444;UA320;2.928778828;UA300;777.0300096;92062.0;ES1120012.0444;5;V;4030;4030;;Queirogais secos europeos;777.0300096;
Viveiro;91995;62314;ES1120012.0444;UA320;2.928778828;UA300;777.0300096;92063.0;ES1120012.0444;1;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;777.0300096;
Viveiro;91996;62316;ES1120012.0445;UA631;19.21164352;UA600;4922.730811;92064.0;ES1120012.0445;1;S;4030;4030;;Queirogais secos europeos;4922.730811;
Viveiro;91997;62316;ES1120012.0445;UA631;19.21164352;UA600;4922.730811;92065.0;ES1120012.0445;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;4922.730811;
Viveiro;91998;62316;ES1120012.0445;UA631;19.21164352;UA600;4922.730811;92066.0;ES1120012.0445;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;4922.730811;
Viveiro;91999;62316;ES1120012.0445;UA631;19.21164352;UA600;4922.730811;92067.0;ES1120012.0445;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4922.730811;
Viveiro;92062;62415;ES1120012.0475;UA631;13.82069556;UA600;2396.238989;92130.0;ES1120012.0475;1;S;4030;4030;;Queirogais secos europeos;2396.238989;
Viveiro;92063;62415;ES1120012.0475;UA631;13.82069556;UA600;2396.238989;92131.0;ES1120012.0475;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2396.238989;
Viveiro;92064;62415;ES1120012.0475;UA631;13.82069556;UA600;2396.238989;92132.0;ES1120012.0475;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2396.238989;
Viveiro;92065;62415;ES1120012.0475;UA631;13.82069556;UA600;2396.238989;92133.0;ES1120012.0475;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2396.238989;
Viveiro;92066;62287;ES1120012.0478;UA631;81.81834362;UA600;11073.86195;92137.0;ES1120012.0478;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;11073.86195;
Viveiro;92067;62287;ES1120012.0478;UA631;81.81834362;UA600;11073.86195;92136.0;ES1120012.0478;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;11073.86195;
Viveiro;92068;62287;ES1120012.0478;UA631;81.81834362;UA600;11073.86195;92135.0;ES1120012.0478;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;11073.86195;
Viveiro;92069;62287;ES1120012.0478;UA631;81.81834362;UA600;11073.86195;92134.0;ES1120012.0478;1;S;4030;4030;;Queirogais secos europeos;11073.86195;
Viveiro;92086;62317;ES1120012.0487;UA260;0.859037146;UA200;2624.337407;92154.0;ES1120012.0487;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2624.337407;
Viveiro;92087;62317;ES1120012.0487;UA260;0.859037146;UA200;2624.337407;92155.0;ES1120012.0487;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2624.337407;
Viveiro;92088;62321;ES1120012.0488;UA260;2.189292826;UA200;6457.598658;92156.0;ES1120012.0488;5;P;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6457.598658;
Viveiro;92089;62321;ES1120012.0488;UA260;2.189292826;UA200;6457.598658;92157.0;ES1120012.0488;1;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6457.598658;
Viveiro;92147;62410;ES1120012.0526;UA631;9.147815353;UA600;2528.728885;92218.0;ES1120012.0526;1;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2528.728885;
Viveiro;92148;62410;ES1120012.0526;UA631;9.147815353;UA600;2528.728885;92217.0;ES1120012.0526;1;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2528.728885;
Viveiro;92149;62410;ES1120012.0526;UA631;9.147815353;UA600;2528.728885;92215.0;ES1120012.0526;1;S;4030;4030;;Queirogais secos europeos;2528.728885;
Viveiro;92150;62410;ES1120012.0526;UA631;9.147815353;UA600;2528.728885;92216.0;ES1120012.0526;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2528.728885;
Viveiro;92182;62462;ES1120012.0543;UA220;14.05883924;UA200;55906.66659;92250.0;ES1120012.0543;5;P;3260;3260;;Ríos dos pisos basal a montano;55906.66659;
Viveiro;92183;62462;ES1120012.0543;UA220;14.05883924;UA200;55906.66659;92251.0;ES1120012.0543;2;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;55906.66659;
Viveiro;92184;62462;ES1120012.0543;UA220;14.05883924;UA200;55906.66659;92252.0;ES1120012.0543;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;55906.66659;
Viveiro;92192;62446;ES1120012.0547;UA220;14.34056679;UA200;25844.58919;92263.0;ES1120012.0547;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;25844.58919;
Viveiro;92193;62446;ES1120012.0547;UA220;14.34056679;UA200;25844.58919;92260.0;ES1120012.0547;5;P;3260;3260;;Ríos dos pisos basal a montano;25844.58919;
Viveiro;92194;62446;ES1120012.0547;UA220;14.34056679;UA200;25844.58919;92261.0;ES1120012.0547;1;V;3270;3270;;Ríos de ribeiras lamacentas (Chenopodion rubri p.p. e de Bidention p.p.);25844.58919;
Viveiro;92195;62446;ES1120012.0547;UA220;14.34056679;UA200;25844.58919;92262.0;ES1120012.0547;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;25844.58919;
Viveiro;101995;67752;ES1120015.2115;UA631;24.11183837;UA600;4947.859291;102063.0;ES1120015.2115;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4947.859291;
