concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Xermade;6743;8068;ES1110003.0718;UA220;0.943261151;UA200;4722.758029;6811.0;ES1110003.0718;5;P;3260;3260;;Ríos dos pisos basal a montano;4722.758029;
Xermade;6744;8068;ES1110003.0718;UA220;0.943261151;UA200;4722.758029;6812.0;ES1110003.0718;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4722.758029;
Xermade;6747;8070;ES1110003.0720;UA220;0.816615517;UA200;4087.645722;6816.0;ES1110003.0720;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4087.645722;
Xermade;6748;8070;ES1110003.0720;UA220;0.816615517;UA200;4087.645722;6815.0;ES1110003.0720;5;P;3260;3260;;Ríos dos pisos basal a montano;4087.645722;
Xermade;6987;8267;ES1110003.0936;UA220;9.834103726;UA200;14095.92274;7055.0;ES1110003.0936;5;P;3260;3260;;Ríos dos pisos basal a montano;14095.92274;
Xermade;7810;8848;ES1110003.1519;UA220;1.689704496;UA200;8451.888239;7878.0;ES1110003.1519;5;P;3260;3260;;Ríos dos pisos basal a montano;8451.888239;
Xermade;7811;8848;ES1110003.1519;UA220;1.689704496;UA200;8451.888239;7879.0;ES1110003.1519;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8451.888239;
Xermade;7818;8857;ES1110003.1528;UA220;0.990787368;UA200;4958.861009;7886.0;ES1110003.1528;5;P;3260;3260;;Ríos dos pisos basal a montano;4958.861009;
Xermade;7819;8857;ES1110003.1528;UA220;0.990787368;UA200;4958.861009;7887.0;ES1110003.1528;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4958.861009;
Xermade;7822;8861;ES1110003.1533;UA220;0.917236173;UA200;4591.790449;7891.0;ES1110003.1533;1;V;91E0*;9.10E+01;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4591.790449;
Xermade;7823;8861;ES1110003.1533;UA220;0.917236173;UA200;4591.790449;7890.0;ES1110003.1533;5;P;3260;3260;;Ríos dos pisos basal a montano;4591.790449;
Xermade;7828;8865;ES1110003.1537;UA220;0.322677359;UA200;819.4488872;7896.0;ES1110003.1537;5;P;3260;3260;;Ríos dos pisos basal a montano;819.4488872;
Xermade;7904;8915;ES1110003.1587;UA550;0.89054587;UA500;447.8198243;7972.0;ES1110003.1587;5;V;6510;6510;;Prados de sega de baixa altitude;447.8198243;
Xermade;7905;8915;ES1110003.1587;UA550;0.89054587;UA500;447.8198243;7973.0;ES1110003.1587;1;V;6410;6410;;Prados con Molinia;447.8198243;
Xermade;100781;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100855.0;ES1120015.1584;1;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;87671.77496;
Xermade;100782;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100856.0;ES1120015.1584;3;S;4030;4030;;Queirogais secos europeos;87671.77496;
Xermade;100783;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100854.0;ES1120015.1584;1;V;3160;3160;;Lagos e charcas distróficos naturais;87671.77496;
Xermade;100784;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100853.0;ES1120015.1584;1;V;7140;7140;;Turbeiras de transición e inllós;87671.77496;
Xermade;100785;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100851.0;ES1120015.1584;1;V;7110*;7110;X;Turbeiras altas activas;87671.77496;
Xermade;100786;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100850.0;ES1120015.1584;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;87671.77496;
Xermade;100787;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100849.0;ES1120015.1584;4;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;87671.77496;
Xermade;100788;68655;ES1120015.1584;UA270;1070.86661;UA200;87671.77496;100852.0;ES1120015.1584;2;V;7110*;7110;X;Turbeiras altas activas;87671.77496;
