concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Xove;101995;67752;ES1120015.2115;UA631;24.11183837;UA600;4947.859291;102063.0;ES1120015.2115;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4947.859291;
Xove;102003;68953;ES1120015.2123;UA230;197.6995491;UA200;21330.5123;102071.0;ES1120015.2123;5;P;7130;7130;;Turbeiras de cobertor (* para turbeiras activas);21330.5123;
Xove;102004;68953;ES1120015.2123;UA230;197.6995491;UA200;21330.5123;102072.0;ES1120015.2123;5;V;7140;7140;;Turbeiras de transición e inllós;21330.5123;
Xove;102220;68925;ES1120015.2212;UA240;50.54971405;UA200;3829.587344;102288.0;ES1120015.2212;5;P;7120;7120;;Turbeiras altas degradadas;3829.587344;
Xove;102221;68925;ES1120015.2212;UA240;50.54971405;UA200;3829.587344;102289.0;ES1120015.2212;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;3829.587344;
Xove;102915;68951;ES1120015.2442;UA630;304.1990454;UA600;22785.0688;102983.0;ES1120015.2442;1;S;7110*;7110;X;Turbeiras altas activas;22785.0688;
Xove;102916;68951;ES1120015.2442;UA630;304.1990454;UA600;22785.0688;102984.0;ES1120015.2442;1;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;22785.0688;
Xove;105979;68930;ES1120015.3451;UA230;188.0226933;UA200;29843.41449;106048.0;ES1120015.3451;1;V;3160;3160;;Lagos e charcas distróficos naturais;29843.41449;
Xove;105980;68930;ES1120015.3451;UA230;188.0226933;UA200;29843.41449;106047.0;ES1120015.3451;5;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);29843.41449;
Xove;105991;68923;ES1120015.3454;UA320;3.526077925;UA300;783.0289579;106060.0;ES1120015.3454;2;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;783.0289579;
Xove;105992;68923;ES1120015.3454;UA320;3.526077925;UA300;783.0289579;106059.0;ES1120015.3454;5;V;4030;4030;;Queirogais secos europeos;783.0289579;
