concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Abadín;Ampliación Parque Eólico Álabe-Soán,Parque Eólico Álabe-Lomba,Parque Eólico Álabe-Ventoada,Parque Eólico Álabe-Leste,Parque Eólico Álabe-Mareiro,Parque Eólico Álabe-Mareiro,Ampliación Parque Eólico Álabe-Soán,Parque Eólico Álabe-Leste,Parque Eólico Silán,P.E. de Leboreido,Pedra Chantada y Pena Luisa,Pena Grande copia;102923;69919;ES1120015.2446;UA230;2232.59414907;UA200;178365.265625;102991;ES1120015.2446;5.0;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);178365.265625
Abadín;P.E. de Leboreido,Parque Eólico Álabe-Lomba;98447;69560;ES1120015.0676;UA270;19.8995360103;UA200;6304.87155594;98518;ES1120015.0676;1.0;V;7110*;7110;X;Turbeiras altas activas;6304.87155594
Abadín;P.E. de Leboreido,Parque Eólico Álabe-Lomba;98449;69560;ES1120015.0676;UA270;19.8995360103;UA200;6304.87155594;98521;ES1120015.0676;1.0;V;7110*;7110;X;Turbeiras altas activas;6304.87155594
Abadín;P.E. de Leboreido,Parque Eólico Álabe-Lomba;98451;69560;ES1120015.0676;UA270;19.8995360103;UA200;6304.87155594;98517;ES1120015.0676;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;6304.87155594
Abadín;P.E. de Leboreido,Parque Eólico Álabe-Lomba;98453;69560;ES1120015.0676;UA270;19.8995360103;UA200;6304.87155594;98515;ES1120015.0676;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;6304.87155594
Abadín;P.E. de Leboreido,Pena Grande copia,Pedra Chantada y Pena Luisa,Parque Eólico Álabe-Leste,Parque Eólico Álabe-Lomba,Parque Eólico Álabe-Mareiro,Parque Eólico Álabe-Ventoada,Ampliación Parque Eólico Álabe-Soán,Parque Eólico Silán,Parque Eólico Álabe-Mareiro,Parque Eólico Álabe-Leste,Ampliación Parque Eólico Álabe-Soán;102924;69919;ES1120015.2446;UA230;2232.59414907;UA200;178365.265625;102992;ES1120015.2446;1.0;V;3160;3160;;Lagos e charcas distróficos naturais;178365.265625
Abadín;Parque Eólico A Celaia,Parque Eólico A Celaia;95696;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95765;ES1120015.0022;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2736.44627985
Abadín;Parque Eólico A Celaia,Parque Eólico A Celaia;95697;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95771;ES1120015.0022;2.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2736.44627985
Abadín;Parque Eólico A Celaia,Parque Eólico A Celaia;95698;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95770;ES1120015.0022;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2736.44627985
Abadín;Parque Eólico A Celaia,Parque Eólico A Celaia;95699;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95769;ES1120015.0022;1.0;V;4030;4030;;Queirogais secos europeos;2736.44627985
Abadín;Parque Eólico A Celaia,Parque Eólico A Celaia;95700;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95768;ES1120015.0022;1.0;V;4030;4030;;Queirogais secos europeos;2736.44627985
Abadín;Parque Eólico A Celaia,Parque Eólico A Celaia;95701;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95766;ES1120015.0022;1.0;V;8310;8310;;Covas non explotadas polo turismo;2736.44627985
Abadín;Parque Eólico A Celaia,Parque Eólico A Celaia;95702;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95764;ES1120015.0022;4.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2736.44627985
Abadín;Parque Eólico A Celaia,Parque Eólico A Celaia;95703;66898;ES1120015.0022;UA320;7.21982372293;UA300;2736.44627985;95767;ES1120015.0022;2.0;V;4030;4030;;Queirogais secos europeos;2736.44627985
Abadín;Parque Eólico A Celaia,Parque Eólico A Celaia;95737;69082;ES1120015.0038;UA210;0.117714969362;UA200;129.227226202;95805;ES1120015.0038;5.0;P;3160;3160;;Lagos e charcas distróficos naturais;129.227226202
Abadín;Parque Eólico A Celaia,Parque Eólico A Celaia;95738;69082;ES1120015.0038;UA210;0.117714969362;UA200;129.227226202;95806;ES1120015.0038;4.0;V;7110*;7110;X;Turbeiras altas activas;129.227226202
Abadín;Parque Eólico A Celaia,Parque Eólico A Celaia;95754;69083;ES1120015.0044;UA320;0.0506449876724;UA300;140.324168873;95824;ES1120015.0044;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;140.324168873
Abadín;Parque Eólico A Celaia,Parque Eólico A Celaia;95755;69083;ES1120015.0044;UA320;0.0506449876724;UA300;140.324168873;95823;ES1120015.0044;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;140.324168873
Abadín;Parque Eólico A Celaia,Parque Eólico A Celaia;95756;69083;ES1120015.0044;UA320;0.0506449876724;UA300;140.324168873;95822;ES1120015.0044;4.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;140.324168873
Abadín;Parque Eólico A Celaia,Parque Eólico A Celaia;95768;69084;ES1120015.0047;UA240;6.16445833891;UA200;2695.81729579;95837;ES1120015.0047;3.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;2695.81729579
Abadín;Parque Eólico A Celaia,Parque Eólico A Celaia;95769;69084;ES1120015.0047;UA240;6.16445833891;UA200;2695.81729579;95846;ES1120015.0047;1.0;V;3130;3130;;Augas oligotróficas ou mesotróficas;2695.81729579
