concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Agolada;Poligonal P.E A ESPADA;206026;120826;ES1140015.0008;UA220;1.97145751513;UA200;9858.05144857;206037;ES1140015.0008;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;9858.05144857
Agolada;Poligonal P.E A ESPADA;206027;120826;ES1140015.0008;UA220;1.97145751513;UA200;9858.05144857;206035;ES1140015.0008;5.0;P;3260;3260;;Ríos dos pisos basal a montano;9858.05144857
Agolada;Poligonal P.E A ESPADA;206028;120826;ES1140015.0008;UA220;1.97145751513;UA200;9858.05144857;206036;ES1140015.0008;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;9858.05144857
Agolada;Poligonal P.E A ESPADA;206053;120821;ES1140015.0019;UA220;4.3087536225;UA200;21544.041856;206064;ES1140015.0019;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;21544.041856
Agolada;Poligonal P.E A ESPADA;206054;120821;ES1140015.0019;UA220;4.3087536225;UA200;21544.041856;206062;ES1140015.0019;5.0;P;3260;3260;;Ríos dos pisos basal a montano;21544.041856
Agolada;Poligonal P.E A ESPADA;206055;120821;ES1140015.0019;UA220;4.3087536225;UA200;21544.041856;206063;ES1140015.0019;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;21544.041856
Agolada;Poligonal P.E A ESPADA;207304;120916;ES1140015.0405;UA220;2.78150171671;UA200;13917.5331071;207313;ES1140015.0405;5.0;P;3260;3260;;Ríos dos pisos basal a montano;13917.5331071
Agolada;Poligonal P.E A ESPADA;207305;120916;ES1140015.0405;UA220;2.78150171671;UA200;13917.5331071;207314;ES1140015.0405;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;13917.5331071
Agolada;Poligonal P.E A ESPADA;207306;120916;ES1140015.0405;UA220;2.78150171671;UA200;13917.5331071;207315;ES1140015.0405;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;13917.5331071
Agolada;Poligonal P.E A ESPADA;207332;120811;ES1140015.0418;UA220;1.24447097441;UA200;6227.46133079;207342;ES1140015.0418;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6227.46133079
Agolada;Poligonal P.E A ESPADA;207333;120811;ES1140015.0418;UA220;1.24447097441;UA200;6227.46133079;207343;ES1140015.0418;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6227.46133079
Agolada;Poligonal P.E A ESPADA;207334;120811;ES1140015.0418;UA220;1.24447097441;UA200;6227.46133079;207341;ES1140015.0418;5.0;P;3260;3260;;Ríos dos pisos basal a montano;6227.46133079
Agolada;Poligonal P.E ZAMORRA;206017;120819;ES1140015.0005;UA220;0.687112396857;UA200;3442.5639461;206026;ES1140015.0005;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3442.5639461
