concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Fiouco;102925;69585;ES1120015.2447;UA630;147.231734837;UA600;17437.0802127;102993;ES1120015.2447;1.0;S;7110*;7110;X;Turbeiras altas activas;17437.0802127
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Fiouco;102926;69585;ES1120015.2447;UA630;147.231734837;UA600;17437.0802127;102994;ES1120015.2447;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;17437.0802127
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Mondoñedo;105853;68934;ES1120015.3405;UA220;1.08671485848;UA200;15519.6184002;105921;ES1120015.3405;5.0;P;3260;3260;;Ríos dos pisos basal a montano;15519.6184002
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;100015;69788;ES1120015.1150;UA270;1191.95386319;UA200;117734.870033;100093;ES1120015.1150;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;117734.870033
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;100019;69788;ES1120015.1150;UA270;1191.95386319;UA200;117734.870033;100092;ES1120015.1150;1.0;V;3160;3160;;Lagos e charcas distróficos naturais;117734.870033
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;100020;69788;ES1120015.1150;UA270;1191.95386319;UA200;117734.870033;100091;ES1120015.1150;1.0;V;7140;7140;;Turbeiras de transición e inllós;117734.870033
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;100022;69788;ES1120015.1150;UA270;1191.95386319;UA200;117734.870033;100088;ES1120015.1150;1.0;V;7110*;7110;X;Turbeiras altas activas;117734.870033
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;100023;69788;ES1120015.1150;UA270;1191.95386319;UA200;117734.870033;100087;ES1120015.1150;1.0;V;6230*;6230;X;Formacións herbáceas con Nardus;117734.870033
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;100024;69788;ES1120015.1150;UA270;1191.95386319;UA200;117734.870033;100083;ES1120015.1150;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;117734.870033
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;100025;69788;ES1120015.1150;UA270;1191.95386319;UA200;117734.870033;100086;ES1120015.1150;1.0;V;7110*;7110;X;Turbeiras altas activas;117734.870033
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;100028;69788;ES1120015.1150;UA270;1191.95386319;UA200;117734.870033;100084;ES1120015.1150;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;117734.870033
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;102794;68822;ES1120015.2398;UA220;1.46151937865;UA200;20871.6712022;102862;ES1120015.2398;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;20871.6712022
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;103072;68863;ES1120015.2499;UA220;0.918921100362;UA200;13127.5816636;103142;ES1120015.2499;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;13127.5816636
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;103073;68863;ES1120015.2499;UA220;0.918921100362;UA200;13127.5816636;103140;ES1120015.2499;5.0;P;3260;3260;;Ríos dos pisos basal a montano;13127.5816636
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;104859;69624;ES1120015.3135;UA240;50.9255057115;UA200;7867.4179466;104936;ES1120015.3135;1.0;V;3130;3130;;Augas oligotróficas ou mesotróficas;7867.4179466
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;104862;69624;ES1120015.3135;UA240;50.9255057115;UA200;7867.4179466;104934;ES1120015.3135;1.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;7867.4179466
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;104864;69624;ES1120015.3135;UA240;50.9255057115;UA200;7867.4179466;104930;ES1120015.3135;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;7867.4179466
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;104867;69624;ES1120015.3135;UA240;50.9255057115;UA200;7867.4179466;104926;ES1120015.3135;5.0;P;7110*;7110;X;Turbeiras altas activas;7867.4179466
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;104868;69624;ES1120015.3135;UA240;50.9255057115;UA200;7867.4179466;104927;ES1120015.3135;3.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;7867.4179466
Alfoz;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Montemaior-Norte;104869;69624;ES1120015.3135;UA240;50.9255057115;UA200;7867.4179466;104931;ES1120015.3135;2.0;V;6230*;6230;X;Formacións herbáceas con Nardus;7867.4179466
