concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Beariz;PARAÑO OESTE,Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201692;119243;ES1140013.0690;UA320;188.740424868;UA300;15329.8328385;201705;ES1140013.0690;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;15329.8328385
Beariz;PARAÑO OESTE,Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201695;119243;ES1140013.0690;UA320;188.740424868;UA300;15329.8328385;201700;ES1140013.0690;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;15329.8328385
Beariz;Parque Eólico Ameixeira-Testeiros,PARAÑO OESTE,Parque Eólico Ameixeira-Testeiros;201690;119243;ES1140013.0690;UA320;188.740424868;UA300;15329.8328385;201702;ES1140013.0690;1.0;V;4030;4030;;Queirogais secos europeos;15329.8328385
Beariz;Parque Eólico Ameixeira-Testeiros,PARAÑO OESTE,Parque Eólico Ameixeira-Testeiros;201693;119243;ES1140013.0690;UA320;188.740424868;UA300;15329.8328385;201703;ES1140013.0690;1.0;V;4030;4030;;Queirogais secos europeos;15329.8328385
Beariz;Parque Eólico Ameixeira-Testeiros,PARAÑO OESTE,Parque Eólico Ameixeira-Testeiros;201696;119243;ES1140013.0690;UA320;188.740424868;UA300;15329.8328385;201699;ES1140013.0690;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;15329.8328385
Beariz;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200043;119352;ES1140013.0020;UA220;1.42981355386;UA200;14296.3169375;200052;ES1140013.0020;5.0;P;3260;3260;;Ríos dos pisos basal a montano;14296.3169375
Beariz;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200044;119352;ES1140013.0020;UA220;1.42981355386;UA200;14296.3169375;200053;ES1140013.0020;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;14296.3169375
Beariz;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200045;119352;ES1140013.0020;UA220;1.42981355386;UA200;14296.3169375;200054;ES1140013.0020;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;14296.3169375
Beariz;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201618;119084;ES1140013.0681;UA320;127.02056935;UA300;12108.9514685;201631;ES1140013.0681;1.0;V;4030;4030;;Queirogais secos europeos;12108.9514685
Beariz;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201619;119084;ES1140013.0681;UA320;127.02056935;UA300;12108.9514685;201635;ES1140013.0681;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;12108.9514685
Beariz;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201620;119084;ES1140013.0681;UA320;127.02056935;UA300;12108.9514685;201634;ES1140013.0681;2.0;V;4030;4030;;Queirogais secos europeos;12108.9514685
Beariz;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201621;119084;ES1140013.0681;UA320;127.02056935;UA300;12108.9514685;201636;ES1140013.0681;1.0;S;3260;3260;;Ríos dos pisos basal a montano;12108.9514685
Beariz;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201622;119084;ES1140013.0681;UA320;127.02056935;UA300;12108.9514685;201632;ES1140013.0681;1.0;V;4030;4030;;Queirogais secos europeos;12108.9514685
Beariz;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201623;119084;ES1140013.0681;UA320;127.02056935;UA300;12108.9514685;201629;ES1140013.0681;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;12108.9514685
Beariz;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201624;119084;ES1140013.0681;UA320;127.02056935;UA300;12108.9514685;201628;ES1140013.0681;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;12108.9514685
