concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Boborás;Marcofan;201447;119235;ES1140013.0629;UA220;0.123368961005;UA200;1236.72273871;201456;ES1140013.0629;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1236.72273871
Boborás;Marcofan;201448;119235;ES1140013.0629;UA220;0.123368961005;UA200;1236.72273871;201457;ES1140013.0629;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1236.72273871
Boborás;Marcofan;201449;119235;ES1140013.0629;UA220;0.123368961005;UA200;1236.72273871;201458;ES1140013.0629;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1236.72273871
Boborás;Marcofan;201450;119232;ES1140013.0630;UA532;0.700727808815;UA500;536.447381755;201460;ES1140013.0630;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;536.447381755
Boborás;Marcofan;201451;119232;ES1140013.0630;UA532;0.700727808815;UA500;536.447381755;201459;ES1140013.0630;1.0;V;6510;6510;;Prados de sega de baixa altitude;536.447381755
Boborás;Marcofan;201452;119233;ES1140013.0631;UA532;1.07756329129;UA500;606.812546475;201462;ES1140013.0631;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;606.812546475
Boborás;Marcofan;201453;119233;ES1140013.0631;UA532;1.07756329129;UA500;606.812546475;201461;ES1140013.0631;1.0;V;6510;6510;;Prados de sega de baixa altitude;606.812546475
Boborás;Marcofan,Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201702;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201710;ES1140013.0691;1.0;V;8310;8310;;Covas non explotadas polo turismo;17955.8654218
Boborás;Marcofan,Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201704;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201711;ES1140013.0691;1.0;V;4030;4030;;Queirogais secos europeos;17955.8654218
Boborás;Parque Eólico Ameixeira-Testeiros,Marcofan,Parque Eólico Ameixeira-Testeiros;201698;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201712;ES1140013.0691;1.0;V;4030;4030;;Queirogais secos europeos;17955.8654218
Boborás;Parque Eólico Ameixeira-Testeiros,Marcofan,Parque Eólico Ameixeira-Testeiros;201699;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201714;ES1140013.0691;2.0;V;4030;4030;;Queirogais secos europeos;17955.8654218
Boborás;Parque Eólico Ameixeira-Testeiros,Marcofan,Parque Eólico Ameixeira-Testeiros;201700;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201715;ES1140013.0691;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;17955.8654218
Boborás;Parque Eólico Ameixeira-Testeiros,Marcofan,Parque Eólico Ameixeira-Testeiros;201706;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201707;ES1140013.0691;2.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;17955.8654218
Boborás;Parque Eólico Ameixeira-Testeiros,Marcofan,Parque Eólico Ameixeira-Testeiros;201707;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201716;ES1140013.0691;1.0;S;3260;3260;;Ríos dos pisos basal a montano;17955.8654218
Boborás;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201980;119097;ES1140013.0742;UA532;1.11775458958;UA500;1166.64561497;201989;ES1140013.0742;2.0;V;6510;6510;;Prados de sega de baixa altitude;1166.64561497
Boborás;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201981;119097;ES1140013.0742;UA532;1.11775458958;UA500;1166.64561497;201990;ES1140013.0742;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1166.64561497
Boborás;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201982;119097;ES1140013.0742;UA532;1.11775458958;UA500;1166.64561497;201991;ES1140013.0742;1.0;S;6410;6410;;Prados con Molinia;1166.64561497
Boborás;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros,Marcofan;201701;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201713;ES1140013.0691;4.0;V;4030;4030;;Queirogais secos europeos;17955.8654218
Boborás;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros,Marcofan;201703;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201709;ES1140013.0691;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;17955.8654218
Boborás;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros,Marcofan;201705;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201708;ES1140013.0691;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;17955.8654218
