concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Cabanas;"POLIGONAL P.E Caaveiro
";6617;8005;ES1110003.0652;UA220;1.25115570565;UA200;6260.652062;6685;ES1110003.0652;5.0;P;3260;3260;;Ríos dos pisos basal a montano;6260.652062
Cabanas;"POLIGONAL P.E Caaveiro
";6618;8005;ES1110003.0652;UA220;1.25115570565;UA200;6260.652062;6686;ES1110003.0652;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6260.652062
Cabanas;"POLIGONAL P.E Caaveiro
";6853;8121;ES1110003.0776;UA220;0.393832942336;UA200;1977.6863121;6922;ES1110003.0776;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1977.6863121
Cabanas;"POLIGONAL P.E Caaveiro
";6854;8121;ES1110003.0776;UA220;0.393832942336;UA200;1977.6863121;6921;ES1110003.0776;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1977.6863121
Cabanas;"POLIGONAL P.E Caaveiro
";6855;8122;ES1110003.0777;UA220;0.203804323703;UA200;1027.21501785;6923;ES1110003.0777;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1027.21501785
Cabanas;"POLIGONAL P.E Caaveiro
";6856;8122;ES1110003.0777;UA220;0.203804323703;UA200;1027.21501785;6924;ES1110003.0777;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1027.21501785
Cabanas;"POLIGONAL P.E Caaveiro
";6857;8123;ES1110003.0778;UA220;0.516823187875;UA200;2590.95008326;6925;ES1110003.0778;5.0;P;3260;3260;;Ríos dos pisos basal a montano;2590.95008326
Cabanas;"POLIGONAL P.E Caaveiro
";6858;8123;ES1110003.0778;UA220;0.516823187875;UA200;2590.95008326;6926;ES1110003.0778;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2590.95008326
Cabanas;"POLIGONAL P.E Caaveiro
";6859;8124;ES1110003.0779;UA220;0.698972051387;UA200;3499.95678365;6927;ES1110003.0779;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3499.95678365
Cabanas;"POLIGONAL P.E Caaveiro
";6860;8124;ES1110003.0779;UA220;0.698972051387;UA200;3499.95678365;6928;ES1110003.0779;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3499.95678365
Cabanas;"POLIGONAL P.E Caaveiro
";6861;8125;ES1110003.0780;UA220;0.231111394924;UA200;1164.16557638;6929;ES1110003.0780;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1164.16557638
Cabanas;"POLIGONAL P.E Caaveiro
";6862;8125;ES1110003.0780;UA220;0.231111394924;UA200;1164.16557638;6930;ES1110003.0780;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1164.16557638
Cabanas;"POLIGONAL P.E Caaveiro
";6863;8126;ES1110003.0781;UA220;0.364364604011;UA200;1828.68880296;6931;ES1110003.0781;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1828.68880296
Cabanas;"POLIGONAL P.E Caaveiro
";6864;8126;ES1110003.0781;UA220;0.364364604011;UA200;1828.68880296;6932;ES1110003.0781;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1828.68880296
Cabanas;"POLIGONAL P.E Caaveiro
";6865;8127;ES1110003.0782;UA220;0.38247868892;UA200;1931.11882745;6933;ES1110003.0782;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1931.11882745
