concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10046;11323;ES1110005.0049;UA111;10.3175145874;UA100;2007.24067029;10114;ES1110005.0049;;A;1160;1160;;Grandes calas e baías pouco fondas;2007.24067029
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10066;11333;ES1110005.0059;UA161;1.29408268642;UA100;954.29532347;10135;ES1110005.0059;1.0;V;8330;8330;;Furnas mariñas;954.29532347
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10067;11333;ES1110005.0059;UA161;1.29408268642;UA100;954.29532347;10136;ES1110005.0059;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;954.29532347
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10068;11333;ES1110005.0059;UA161;1.29408268642;UA100;954.29532347;10134;ES1110005.0059;5.0;P;1230;1230;;Cantís con vexetación das costas atlánticas e bálticas;954.29532347
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10069;11334;ES1110005.0060;UA161;0.912542187507;UA100;446.819424593;10137;ES1110005.0060;5.0;P;1230;1230;;Cantís con vexetación das costas atlánticas e bálticas;446.819424593
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10070;11334;ES1110005.0060;UA161;0.912542187507;UA100;446.819424593;10138;ES1110005.0060;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;446.819424593
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10071;11335;ES1110005.0061;UA161;10.1278410164;UA100;5686.97448361;10143;ES1110005.0061;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;5686.97448361
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10072;11335;ES1110005.0061;UA161;10.1278410164;UA100;5686.97448361;10145;ES1110005.0061;1.0;V;1210;1210;;Vexetación anual sobre argazos;5686.97448361
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10073;11335;ES1110005.0061;UA161;10.1278410164;UA100;5686.97448361;10146;ES1110005.0061;1.0;S;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;5686.97448361
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10074;11335;ES1110005.0061;UA161;10.1278410164;UA100;5686.97448361;10144;ES1110005.0061;1.0;V;7220*;7220;X;Mananciais petrificantes con formación de “tuf” (Cratoneurion);5686.97448361
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10075;11335;ES1110005.0061;UA161;10.1278410164;UA100;5686.97448361;10142;ES1110005.0061;1.0;V;8330;8330;;Furnas mariñas;5686.97448361
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10076;11335;ES1110005.0061;UA161;10.1278410164;UA100;5686.97448361;10141;ES1110005.0061;1.0;V;1170;1170;;Arrecifes;5686.97448361
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10077;11335;ES1110005.0061;UA161;10.1278410164;UA100;5686.97448361;10139;ES1110005.0061;5.0;P;1230;1230;;Cantís con vexetación das costas atlánticas e bálticas;5686.97448361
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10078;11335;ES1110005.0061;UA161;10.1278410164;UA100;5686.97448361;10140;ES1110005.0061;1.0;V;1170;1170;;Arrecifes;5686.97448361
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10083;11338;ES1110005.0064;UA161;12.2661679687;UA100;7432.24576309;10156;ES1110005.0064;1.0;V;7220*;7220;X;Mananciais petrificantes con formación de “tuf” (Cratoneurion);7432.24576309
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10084;11338;ES1110005.0064;UA161;12.2661679687;UA100;7432.24576309;10153;ES1110005.0064;1.0;V;1170;1170;;Arrecifes;7432.24576309
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10085;11338;ES1110005.0064;UA161;12.2661679687;UA100;7432.24576309;10158;ES1110005.0064;1.0;S;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;7432.24576309
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10086;11338;ES1110005.0064;UA161;12.2661679687;UA100;7432.24576309;10157;ES1110005.0064;1.0;V;1210;1210;;Vexetación anual sobre argazos;7432.24576309
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10087;11338;ES1110005.0064;UA161;12.2661679687;UA100;7432.24576309;10154;ES1110005.0064;1.0;V;8330;8330;;Furnas mariñas;7432.24576309
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10088;11338;ES1110005.0064;UA161;12.2661679687;UA100;7432.24576309;10151;ES1110005.0064;5.0;P;1230;1230;;Cantís con vexetación das costas atlánticas e bálticas;7432.24576309
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10089;11338;ES1110005.0064;UA161;12.2661679687;UA100;7432.24576309;10152;ES1110005.0064;1.0;V;1170;1170;;Arrecifes;7432.24576309
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10090;11338;ES1110005.0064;UA161;12.2661679687;UA100;7432.24576309;10155;ES1110005.0064;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;7432.24576309
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10091;11339;ES1110005.0065;UA161;2.78308209124;UA100;2848.79884257;10159;ES1110005.0065;5.0;P;1230;1230;;Cantís con vexetación das costas atlánticas e bálticas;2848.79884257
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10092;11339;ES1110005.0065;UA161;2.78308209124;UA100;2848.79884257;10160;ES1110005.0065;1.0;V;8330;8330;;Furnas mariñas;2848.79884257
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10093;11339;ES1110005.0065;UA161;2.78308209124;UA100;2848.79884257;10161;ES1110005.0065;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2848.79884257
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10135;11350;ES1110005.0077;UA161;34.6827962889;UA100;15006.3713886;10207;ES1110005.0077;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;15006.3713886
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10136;11350;ES1110005.0077;UA161;34.6827962889;UA100;15006.3713886;10209;ES1110005.0077;1.0;V;1210;1210;;Vexetación anual sobre argazos;15006.3713886
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10137;11350;ES1110005.0077;UA161;34.6827962889;UA100;15006.3713886;10210;ES1110005.0077;1.0;S;5230*;5230;X;Matogueiras arborescentes de Laurus nobilis;15006.3713886
Camariñas;Parque Eólico Pena Forcada Modificado Num1;10138;11350;ES1110005.0077;UA161;34.6827962889;UA100;15006.3713886;10208;ES1110005.0077;1.0;V;7220*;7220;X;Mananciais petrificantes con formación de “tuf” (Cratoneurion);15006.3713886
