concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Carballo;Parque Eólico Monteagudo,Parque Eólico Monteagudo;14276;12561;ES1110005.1347;UA530;47.0381223343;UA500;8151.25681734;14345;ES1110005.1347;1.0;V;6410;6410;;Prados con Molinia;8151.25681734
Carballo;Parque Eólico Monteagudo,Parque Eólico Monteagudo;14277;12561;ES1110005.1347;UA530;47.0381223343;UA500;8151.25681734;14346;ES1110005.1347;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8151.25681734
Carballo;Parque Eólico Monteagudo,Parque Eólico Monteagudo;14278;12561;ES1110005.1347;UA530;47.0381223343;UA500;8151.25681734;14344;ES1110005.1347;2.0;V;6510;6510;;Prados de sega de baixa altitude;8151.25681734
Carballo;Parque Eólico Monteagudo,Parque Eólico Monteagudo;14279;12561;ES1110005.1347;UA530;47.0381223343;UA500;8151.25681734;14347;ES1110005.1347;1.0;S;6410;6410;;Prados con Molinia;8151.25681734
Carballo;Parque Eólico Monteagudo,Parque Eólico Monteagudo;16213;14836;ES1110005.3796;UA532;15.9361988348;UA500;3325.11115686;16284;ES1110005.3796;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3325.11115686
Carballo;Parque Eólico Monteagudo,Parque Eólico Monteagudo;16214;14836;ES1110005.3796;UA532;15.9361988348;UA500;3325.11115686;16285;ES1110005.3796;1.0;S;6410;6410;;Prados con Molinia;3325.11115686
Carballo;Parque Eólico Monteagudo,Parque Eólico Monteagudo;16215;14836;ES1110005.3796;UA532;15.9361988348;UA500;3325.11115686;16282;ES1110005.3796;2.0;V;6510;6510;;Prados de sega de baixa altitude;3325.11115686
Carballo;Parque Eólico Monteagudo,Parque Eólico Monteagudo;16216;14836;ES1110005.3796;UA532;15.9361988348;UA500;3325.11115686;16281;ES1110005.3796;2.0;V;6510;6510;;Prados de sega de baixa altitude;3325.11115686
Carballo;Parque Eólico Monteagudo,Parque Eólico Monteagudo;16217;14836;ES1110005.3796;UA532;15.9361988348;UA500;3325.11115686;16283;ES1110005.3796;1.0;V;6410;6410;;Prados con Molinia;3325.11115686
Carballo;Poligonal Pedrabante;32779;27253;ES1110015.0318;UA220;6.61934670543;UA200;22060.9361433;32847;ES1110015.0318;5.0;P;3260;3260;;Ríos dos pisos basal a montano;22060.9361433
Carballo;Poligonal Pedrabante;32780;27253;ES1110015.0318;UA220;6.61934670543;UA200;22060.9361433;32848;ES1110015.0318;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;22060.9361433
Carballo;Poligonal Pedrabante;32781;27253;ES1110015.0318;UA220;6.61934670543;UA200;22060.9361433;32849;ES1110015.0318;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;22060.9361433
