concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Cariño;Capelada I (zona I);3756;2233;ES1110002.0397;UA270;2.03000329701;UA200;754.756497248;3824;ES1110002.0397;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;754.756497248
Cariño;Capelada I (zona I);3758;2230;ES1110002.0399;UA270;4.68385688641;UA200;2105.74474437;3826;ES1110002.0399;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2105.74474437
Cariño;Capelada I (zona I);3759;2230;ES1110002.0399;UA270;4.68385688641;UA200;2105.74474437;3827;ES1110002.0399;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2105.74474437
Cariño;Capelada I (zona I);3806;2316;ES1110002.0433;UA270;74.5258495936;UA200;11231.5244762;3877;ES1110002.0433;1.0;V;7140;7140;;Turbeiras de transición e inllós;11231.5244762
Cariño;Capelada I (zona I);3807;2316;ES1110002.0433;UA270;74.5258495936;UA200;11231.5244762;3878;ES1110002.0433;1.0;S;4030;4030;;Queirogais secos europeos;11231.5244762
Cariño;Capelada I (zona I);3808;2316;ES1110002.0433;UA270;74.5258495936;UA200;11231.5244762;3876;ES1110002.0433;1.0;V;7110*;7110;X;Turbeiras altas activas;11231.5244762
Cariño;Capelada I (zona I);3809;2316;ES1110002.0433;UA270;74.5258495936;UA200;11231.5244762;3879;ES1110002.0433;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;11231.5244762
Cariño;Capelada I (zona I);3810;2316;ES1110002.0433;UA270;74.5258495936;UA200;11231.5244762;3874;ES1110002.0433;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;11231.5244762
Cariño;Capelada I (zona I);3811;2316;ES1110002.0433;UA270;74.5258495936;UA200;11231.5244762;3875;ES1110002.0433;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;11231.5244762
Cariño;Capelada I (zona I);4071;2317;ES1110002.0529;UA310;21.2557702662;UA300;4391.44605584;4140;ES1110002.0529;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4391.44605584
