concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Cedeira;Capelada I (zona I);3756;2233;ES1110002.0397;UA270;2.03000329701;UA200;754.756497248;3824;ES1110002.0397;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;754.756497248
Cedeira;Capelada I (zona I),Capelada II (zona I);5410;2413;ES1110002.1733;UA270;321.205134018;UA200;23551.4142895;5478;ES1110002.1733;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;23551.4142895
Cedeira;Capelada I (zona I),Capelada II (zona I);5411;2413;ES1110002.1733;UA270;321.205134018;UA200;23551.4142895;5483;ES1110002.1733;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;23551.4142895
Cedeira;Capelada I (zona I),Capelada II (zona I);5412;2413;ES1110002.1733;UA270;321.205134018;UA200;23551.4142895;5482;ES1110002.1733;1.0;S;4030;4030;;Queirogais secos europeos;23551.4142895
Cedeira;Capelada I (zona I),Capelada II (zona I);5414;2413;ES1110002.1733;UA270;321.205134018;UA200;23551.4142895;5480;ES1110002.1733;1.0;V;7110*;7110;X;Turbeiras altas activas;23551.4142895
Cedeira;Capelada I (zona I),Capelada II (zona I);5415;2413;ES1110002.1733;UA270;321.205134018;UA200;23551.4142895;5481;ES1110002.1733;1.0;V;7140;7140;;Turbeiras de transición e inllós;23551.4142895
Cedeira;Capelada I (zona II);3701;1895;ES1110002.0366;UA270;0.326316706913;UA200;248.379132806;3769;ES1110002.0366;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;248.379132806
Cedeira;Capelada I (zona II);3703;2217;ES1110002.0368;UA270;13.8150662515;UA200;4042.10566738;3772;ES1110002.0368;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;4042.10566738
Cedeira;Capelada I (zona II);3704;2217;ES1110002.0368;UA270;13.8150662515;UA200;4042.10566738;3773;ES1110002.0368;1.0;V;7110*;7110;X;Turbeiras altas activas;4042.10566738
Cedeira;Capelada I (zona II);3705;2217;ES1110002.0368;UA270;13.8150662515;UA200;4042.10566738;3774;ES1110002.0368;1.0;V;7140;7140;;Turbeiras de transición e inllós;4042.10566738
Cedeira;Capelada I (zona II);3706;2217;ES1110002.0368;UA270;13.8150662515;UA200;4042.10566738;3771;ES1110002.0368;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4042.10566738
Cedeira;Capelada I (zona II);3829;2213;ES1110002.0438;UA240;5.16188805568;UA200;2023.36857677;3902;ES1110002.0438;1.0;V;7140;7140;;Turbeiras de transición e inllós;2023.36857677
Cedeira;Capelada I (zona II);3830;2213;ES1110002.0438;UA240;5.16188805568;UA200;2023.36857677;3903;ES1110002.0438;1.0;S;6410;6410;;Prados con Molinia;2023.36857677
Cedeira;Capelada I (zona II);3831;2213;ES1110002.0438;UA240;5.16188805568;UA200;2023.36857677;3901;ES1110002.0438;1.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2023.36857677
Cedeira;Capelada I (zona II);3832;2213;ES1110002.0438;UA240;5.16188805568;UA200;2023.36857677;3900;ES1110002.0438;3.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2023.36857677
Cedeira;Capelada I (zona II);3833;2213;ES1110002.0438;UA240;5.16188805568;UA200;2023.36857677;3899;ES1110002.0438;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;2023.36857677
Cedeira;Capelada I (zona II);3834;2213;ES1110002.0438;UA240;5.16188805568;UA200;2023.36857677;3898;ES1110002.0438;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;2023.36857677
Cedeira;Capelada I (zona II);3835;2213;ES1110002.0438;UA240;5.16188805568;UA200;2023.36857677;3897;ES1110002.0438;5.0;P;7110*;7110;X;Turbeiras altas activas;2023.36857677
Cedeira;Capelada I (zona II);4009;1922;ES1110002.0508;UA310;1.66164735787;UA300;670.725851057;4077;ES1110002.0508;5.0;P;4030;4030;;Queirogais secos europeos;670.725851057
Cedeira;Capelada I (zona II);4010;1922;ES1110002.0508;UA310;1.66164735787;UA300;670.725851057;4078;ES1110002.0508;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;670.725851057
Cedeira;Capelada I (zona II);4048;1926;ES1110002.0520;UA310;1.47201684925;UA300;579.117101769;4116;ES1110002.0520;5.0;P;4030;4030;;Queirogais secos europeos;579.117101769
