concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Cerdedo-Cotobade;AS PENIZAS;203029;120329;ES1140014.0029;UA220;1.07201860746;UA200;10719.7439566;203040;ES1140014.0029;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;10719.7439566
Cerdedo-Cotobade;AS PENIZAS;203030;120329;ES1140014.0029;UA220;1.07201860746;UA200;10719.7439566;203039;ES1140014.0029;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;10719.7439566
Cerdedo-Cotobade;AS PENIZAS;203031;120329;ES1140014.0029;UA220;1.07201860746;UA200;10719.7439566;203038;ES1140014.0029;5.0;P;3260;3260;;Ríos dos pisos basal a montano;10719.7439566
Cerdedo-Cotobade;AS PENIZAS;203032;120191;ES1140014.0030;UA220;0.838024363728;UA200;8379.25362577;203041;ES1140014.0030;5.0;P;3260;3260;;Ríos dos pisos basal a montano;8379.25362577
Cerdedo-Cotobade;AS PENIZAS;203033;120191;ES1140014.0030;UA220;0.838024363728;UA200;8379.25362577;203042;ES1140014.0030;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8379.25362577
Cerdedo-Cotobade;AS PENIZAS;203034;120191;ES1140014.0030;UA220;0.838024363728;UA200;8379.25362577;203043;ES1140014.0030;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8379.25362577
Cerdedo-Cotobade;AS PENIZAS;203073;120181;ES1140014.0043;UA411;46.1857503513;UA400;7948.69108269;203085;ES1140014.0043;1.0;S;4030;4030;;Queirogais secos europeos;7948.69108269
Cerdedo-Cotobade;AS PENIZAS;203074;120181;ES1140014.0043;UA411;46.1857503513;UA400;7948.69108269;203088;ES1140014.0043;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7948.69108269
Cerdedo-Cotobade;AS PENIZAS;203075;120181;ES1140014.0043;UA411;46.1857503513;UA400;7948.69108269;203086;ES1140014.0043;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;7948.69108269
Cerdedo-Cotobade;AS PENIZAS;203076;120181;ES1140014.0043;UA411;46.1857503513;UA400;7948.69108269;203084;ES1140014.0043;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7948.69108269
Cerdedo-Cotobade;AS PENIZAS;203077;120181;ES1140014.0043;UA411;46.1857503513;UA400;7948.69108269;203083;ES1140014.0043;1.0;S;3260;3260;;Ríos dos pisos basal a montano;7948.69108269
Cerdedo-Cotobade;AS PENIZAS;203078;120181;ES1140014.0043;UA411;46.1857503513;UA400;7948.69108269;203082;ES1140014.0043;5.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;7948.69108269
Cerdedo-Cotobade;AS PENIZAS;203079;120181;ES1140014.0043;UA411;46.1857503513;UA400;7948.69108269;203087;ES1140014.0043;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;7948.69108269
Cerdedo-Cotobade;AS PENIZAS;203726;120141;ES1140014.0231;UA220;0.424512175299;UA200;4246.93311009;203735;ES1140014.0231;5.0;P;3260;3260;;Ríos dos pisos basal a montano;4246.93311009
Cerdedo-Cotobade;AS PENIZAS;203727;120141;ES1140014.0231;UA220;0.424512175299;UA200;4246.93311009;203736;ES1140014.0231;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4246.93311009
Cerdedo-Cotobade;AS PENIZAS;203728;120141;ES1140014.0231;UA220;0.424512175299;UA200;4246.93311009;203737;ES1140014.0231;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4246.93311009
Cerdedo-Cotobade;O CURRO;184818;109096;ES1140002.0508;UA220;0.477338534469;UA200;1603.22912317;184897;ES1140002.0508;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1603.22912317
Cerdedo-Cotobade;O CURRO;184819;109096;ES1140002.0508;UA220;0.477338534469;UA200;1603.22912317;184895;ES1140002.0508;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1603.22912317
Cerdedo-Cotobade;O CURRO;184820;109096;ES1140002.0508;UA220;0.477338534469;UA200;1603.22912317;184896;ES1140002.0508;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1603.22912317
