concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Cerdido;Poligonal P.E BADULAQUE;1707;1022;ES1110001.0783;UA531;34.9599861426;UA500;8803.24615857;1775;ES1110001.0783;3.0;V;6510;6510;;Prados de sega de baixa altitude;8803.24615857
Cerdido;Poligonal P.E BADULAQUE;1708;1022;ES1110001.0783;UA531;34.9599861426;UA500;8803.24615857;1776;ES1110001.0783;1.0;V;6510;6510;;Prados de sega de baixa altitude;8803.24615857
Cerdido;Poligonal P.E BADULAQUE;1709;1022;ES1110001.0783;UA531;34.9599861426;UA500;8803.24615857;1777;ES1110001.0783;1.0;S;3260;3260;;Ríos dos pisos basal a montano;8803.24615857
Cerdido;Poligonal P.E BADULAQUE;1749;1031;ES1110001.0821;UA531;8.54678906452;UA500;2922.0739648;1817;ES1110001.0821;3.0;V;6510;6510;;Prados de sega de baixa altitude;2922.0739648
Cerdido;Poligonal P.E BADULAQUE;2153;1032;ES1110001.1211;UA531;1.54169853291;UA500;873.12095816;2221;ES1110001.1211;3.0;V;6510;6510;;Prados de sega de baixa altitude;873.12095816
Cerdido;Poligonal P.E BADULAQUE;2432;1413;ES1110001.1407;UA220;2.91995806701;UA200;5857.62893527;2501;ES1110001.1407;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5857.62893527
Cerdido;Poligonal P.E BADULAQUE;2433;1413;ES1110001.1407;UA220;2.91995806701;UA200;5857.62893527;2502;ES1110001.1407;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5857.62893527
Cerdido;Poligonal P.E BADULAQUE;2434;1413;ES1110001.1407;UA220;2.91995806701;UA200;5857.62893527;2500;ES1110001.1407;5.0;P;3260;3260;;Ríos dos pisos basal a montano;5857.62893527
Cerdido;Poligonal P.E BADULAQUE;2435;1415;ES1110001.1408;UA220;2.60500212543;UA200;5226.28209986;2504;ES1110001.1408;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5226.28209986
Cerdido;Poligonal P.E BADULAQUE;2436;1415;ES1110001.1408;UA220;2.60500212543;UA200;5226.28209986;2505;ES1110001.1408;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5226.28209986
Cerdido;Poligonal P.E BADULAQUE;2437;1415;ES1110001.1408;UA220;2.60500212543;UA200;5226.28209986;2503;ES1110001.1408;5.0;P;3260;3260;;Ríos dos pisos basal a montano;5226.28209986
Cerdido;Poligonal P.E BADULAQUE;2441;1417;ES1110001.1410;UA220;6.97342197685;UA200;13958.0636689;2509;ES1110001.1410;5.0;P;3260;3260;;Ríos dos pisos basal a montano;13958.0636689
Cerdido;Poligonal P.E BADULAQUE;2442;1417;ES1110001.1410;UA220;6.97342197685;UA200;13958.0636689;2510;ES1110001.1410;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;13958.0636689
