concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Cervo;Parque Eólico Buio;101995;67752;ES1120015.2115;UA631;24.1118383716;UA600;4947.85929054;102063;ES1120015.2115;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4947.85929054
Cervo;Parque Eólico Buio;102211;68926;ES1120015.2203;UA631;12.0840601491;UA600;2783.8730707;102279;ES1120015.2203;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2783.8730707
Cervo;Parque Eólico Buio;102212;67803;ES1120015.2205;UA420;9.74403814768;UA400;2981.86292034;102281;ES1120015.2205;1.0;V;9380;9380;;Bosques de Ilex aquifolium;2981.86292034
Cervo;Parque Eólico Buio;102213;67803;ES1120015.2205;UA420;9.74403814768;UA400;2981.86292034;102280;ES1120015.2205;5.0;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;2981.86292034
Cervo;Parque Eólico Buio;102220;68925;ES1120015.2212;UA240;50.5497140478;UA200;3829.58734415;102288;ES1120015.2212;5.0;P;7120;7120;;Turbeiras altas degradadas;3829.58734415
Cervo;Parque Eólico Buio;102221;68925;ES1120015.2212;UA240;50.5497140478;UA200;3829.58734415;102289;ES1120015.2212;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;3829.58734415
Cervo;Parque Eólico Buio;102222;67805;ES1120015.2213;UA270;4.03547381151;UA200;1620.26974809;102290;ES1120015.2213;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1620.26974809
Cervo;Parque Eólico Buio;102223;67805;ES1120015.2213;UA270;4.03547381151;UA200;1620.26974809;102291;ES1120015.2213;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1620.26974809
Cervo;Parque Eólico Buio;102224;67805;ES1120015.2213;UA270;4.03547381151;UA200;1620.26974809;102292;ES1120015.2213;1.0;V;6230*;6230;X;Formacións herbáceas con Nardus;1620.26974809
Cervo;Parque Eólico Buio;102225;67805;ES1120015.2213;UA270;4.03547381151;UA200;1620.26974809;102293;ES1120015.2213;2.0;V;7110*;7110;X;Turbeiras altas activas;1620.26974809
Cervo;Parque Eólico Buio;102226;67806;ES1120015.2214;UA320;44.0985631727;UA300;5088.82292261;102295;ES1120015.2214;1.0;S;3260;3260;;Ríos dos pisos basal a montano;5088.82292261
Cervo;Parque Eólico Buio;102227;67806;ES1120015.2214;UA320;44.0985631727;UA300;5088.82292261;102296;ES1120015.2214;2.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;5088.82292261
Cervo;Parque Eólico Buio;102228;67806;ES1120015.2214;UA320;44.0985631727;UA300;5088.82292261;102297;ES1120015.2214;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;5088.82292261
Cervo;Parque Eólico Buio;102229;67806;ES1120015.2214;UA320;44.0985631727;UA300;5088.82292261;102294;ES1120015.2214;5.0;V;4030;4030;;Queirogais secos europeos;5088.82292261
Cervo;Parque Eólico Buio;102230;67807;ES1120015.2215;UA320;47.3826941696;UA300;6529.48744767;102298;ES1120015.2215;5.0;V;4030;4030;;Queirogais secos europeos;6529.48744767
Cervo;Parque Eólico Buio;102231;67807;ES1120015.2215;UA320;47.3826941696;UA300;6529.48744767;102299;ES1120015.2215;1.0;S;3260;3260;;Ríos dos pisos basal a montano;6529.48744767
Cervo;Parque Eólico Buio;102232;67807;ES1120015.2215;UA320;47.3826941696;UA300;6529.48744767;102300;ES1120015.2215;2.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;6529.48744767
Cervo;Parque Eólico Buio;102233;67807;ES1120015.2215;UA320;47.3826941696;UA300;6529.48744767;102301;ES1120015.2215;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;6529.48744767
Cervo;Parque Eólico Buio;105981;68932;ES1120015.3452;UA270;80.0563550801;UA200;6316.66792397;106054;ES1120015.3452;3.0;S;6410;6410;;Prados con Molinia;6316.66792397
Cervo;Parque Eólico Buio;105982;68932;ES1120015.3452;UA270;80.0563550801;UA200;6316.66792397;106053;ES1120015.3452;1.0;V;3160;3160;;Lagos e charcas distróficos naturais;6316.66792397
Cervo;Parque Eólico Buio;105983;68932;ES1120015.3452;UA270;80.0563550801;UA200;6316.66792397;106052;ES1120015.3452;1.0;V;7140;7140;;Turbeiras de transición e inllós;6316.66792397
Cervo;Parque Eólico Buio;105984;68932;ES1120015.3452;UA270;80.0563550801;UA200;6316.66792397;106051;ES1120015.3452;2.0;V;7110*;7110;X;Turbeiras altas activas;6316.66792397
Cervo;Parque Eólico Buio;105985;68932;ES1120015.3452;UA270;80.0563550801;UA200;6316.66792397;106049;ES1120015.3452;4.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;6316.66792397
Cervo;Parque Eólico Buio;105986;68932;ES1120015.3452;UA270;80.0563550801;UA200;6316.66792397;106050;ES1120015.3452;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;6316.66792397
Cervo;Parque Eólico Buio;105987;68924;ES1120015.3453;UA270;30.2085628688;UA200;3383.21910965;106057;ES1120015.3453;2.0;V;7110*;7110;X;Turbeiras altas activas;3383.21910965
Cervo;Parque Eólico Buio;105988;68924;ES1120015.3453;UA270;30.2085628688;UA200;3383.21910965;106058;ES1120015.3453;2.0;S;6410;6410;;Prados con Molinia;3383.21910965
Cervo;Parque Eólico Buio;105989;68924;ES1120015.3453;UA270;30.2085628688;UA200;3383.21910965;106055;ES1120015.3453;4.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;3383.21910965
Cervo;Parque Eólico Buio;105990;68924;ES1120015.3453;UA270;30.2085628688;UA200;3383.21910965;106056;ES1120015.3453;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;3383.21910965
Cervo;Parque Eólico Buio;106011;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106083;ES1120015.3458;1.0;V;6230*;6230;X;Formacións herbáceas con Nardus;23598.9078523
Cervo;Parque Eólico Buio;106012;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106091;ES1120015.3458;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;23598.9078523
Cervo;Parque Eólico Buio;106013;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106090;ES1120015.3458;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;23598.9078523
Cervo;Parque Eólico Buio;106014;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106089;ES1120015.3458;1.0;S;4030;4030;;Queirogais secos europeos;23598.9078523
Cervo;Parque Eólico Buio;106015;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106088;ES1120015.3458;1.0;V;3160;3160;;Lagos e charcas distróficos naturais;23598.9078523
Cervo;Parque Eólico Buio;106016;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106087;ES1120015.3458;1.0;V;7140;7140;;Turbeiras de transición e inllós;23598.9078523
Cervo;Parque Eólico Buio;106017;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106086;ES1120015.3458;1.0;V;7110*;7110;X;Turbeiras altas activas;23598.9078523
Cervo;Parque Eólico Buio;106018;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106079;ES1120015.3458;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;23598.9078523
Cervo;Parque Eólico Buio;106019;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106084;ES1120015.3458;1.0;V;7110*;7110;X;Turbeiras altas activas;23598.9078523
Cervo;Parque Eólico Buio;106020;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106092;ES1120015.3458;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;23598.9078523
Cervo;Parque Eólico Buio;106021;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106082;ES1120015.3458;1.0;V;7110*;7110;X;Turbeiras altas activas;23598.9078523
Cervo;Parque Eólico Buio;106022;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106081;ES1120015.3458;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;23598.9078523
Cervo;Parque Eólico Buio;106023;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106080;ES1120015.3458;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;23598.9078523
Cervo;Parque Eólico Buio;106024;68933;ES1120015.3458;UA270;224.378057416;UA200;23598.9078523;106085;ES1120015.3458;1.0;V;7110*;7110;X;Turbeiras altas activas;23598.9078523
Cervo;Parque Eólico Buio,Parque Eólico Gamoide;102205;68927;ES1120015.2201;UA411;203.731124003;UA400;14903.5961565;102274;ES1120015.2201;1.0;V;9380;9380;;Bosques de Ilex aquifolium;14903.5961565
Cervo;Parque Eólico Buio,Parque Eólico Gamoide;102207;68927;ES1120015.2201;UA411;203.731124003;UA400;14903.5961565;102276;ES1120015.2201;1.0;S;3260;3260;;Ríos dos pisos basal a montano;14903.5961565
Cervo;Parque Eólico Buio,Parque Eólico Gamoide;102209;68927;ES1120015.2201;UA411;203.731124003;UA400;14903.5961565;102278;ES1120015.2201;1.0;S;4030;4030;;Queirogais secos europeos;14903.5961565
Cervo;Parque Eólico Buio,Parque Eólico Rioboo;105979;68930;ES1120015.3451;UA230;188.022693333;UA200;29843.4144876;106048;ES1120015.3451;1.0;V;3160;3160;;Lagos e charcas distróficos naturais;29843.4144876
Cervo;"Parque Eólico Buio,Poligonal P.E PIAGO
,Parque Eólico Rioboo";102214;67869;ES1120015.2207;UA631;138.946919761;UA600;9855.52799341;102282;ES1120015.2207;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;9855.52799341
Cervo;Parque Eólico Gamoide,Parque Eólico Buio;102206;68927;ES1120015.2201;UA411;203.731124003;UA400;14903.5961565;102275;ES1120015.2201;1.0;V;9180*;9180;X;Bosques de encostas, desprendementos e barrancos do Tilio-Acerion;14903.5961565
Cervo;Parque Eólico Gamoide,Parque Eólico Buio;102208;68927;ES1120015.2201;UA411;203.731124003;UA400;14903.5961565;102277;ES1120015.2201;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;14903.5961565
Cervo;Parque Eólico Gamoide,Parque Eólico Buio;102210;68927;ES1120015.2201;UA411;203.731124003;UA400;14903.5961565;102273;ES1120015.2201;4.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;14903.5961565
Cervo;Parque Eólico Rioboo,Parque Eólico Buio;105980;68930;ES1120015.3451;UA230;188.022693333;UA200;29843.4144876;106047;ES1120015.3451;5.0;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);29843.4144876
