concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Covelo;Alto  da Telleira,Parque Eólico Alto da Telleira,CHAN DO EIXO,Parque Eólico Alto da Telleira;190368;112683;ES1140006.0091;UA220;1.15223043196;UA200;11484.2339548;190377;ES1140006.0091;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;11484.2339548
Covelo;Alto  da Telleira,Parque Eólico Alto da Telleira,Parque Eólico Alto da Telleira;190370;112684;ES1140006.0092;UA220;0.482174351743;UA200;4824.42792201;190379;ES1140006.0092;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4824.42792201
Covelo;CHAN DO EIXO;190163;113467;ES1140006.0017;UA220;3.21448747628;UA200;7007.99957633;190172;ES1140006.0017;5.0;P;3260;3260;;Ríos dos pisos basal a montano;7007.99957633
Covelo;CHAN DO EIXO;190164;113467;ES1140006.0017;UA220;3.21448747628;UA200;7007.99957633;190173;ES1140006.0017;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;7007.99957633
Covelo;CHAN DO EIXO;190165;113467;ES1140006.0017;UA220;3.21448747628;UA200;7007.99957633;190174;ES1140006.0017;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7007.99957633
Covelo;CHAN DO EIXO;190166;113188;ES1140006.0018;UA220;7.70438413222;UA200;14134.5676071;190175;ES1140006.0018;5.0;P;3260;3260;;Ríos dos pisos basal a montano;14134.5676071
Covelo;CHAN DO EIXO;190167;113188;ES1140006.0018;UA220;7.70438413222;UA200;14134.5676071;190176;ES1140006.0018;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;14134.5676071
Covelo;CHAN DO EIXO;190168;113188;ES1140006.0018;UA220;7.70438413222;UA200;14134.5676071;190177;ES1140006.0018;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;14134.5676071
Covelo;CHAN DO EIXO;190345;112662;ES1140006.0082;UA220;0.262791234955;UA200;2632.22002691;190354;ES1140006.0082;5.0;P;3260;3260;;Ríos dos pisos basal a montano;2632.22002691
Covelo;CHAN DO EIXO;190346;112662;ES1140006.0082;UA220;0.262791234955;UA200;2632.22002691;190355;ES1140006.0082;3.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2632.22002691
Covelo;CHAN DO EIXO;190347;112662;ES1140006.0082;UA220;0.262791234955;UA200;2632.22002691;190356;ES1140006.0082;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2632.22002691
Covelo;CHAN DO EIXO;190348;114204;ES1140006.0083;UA220;0.223324532263;UA200;2237.41295517;190359;ES1140006.0083;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2237.41295517
Covelo;CHAN DO EIXO;190349;114204;ES1140006.0083;UA220;0.223324532263;UA200;2237.41295517;190357;ES1140006.0083;5.0;P;3260;3260;;Ríos dos pisos basal a montano;2237.41295517
Covelo;CHAN DO EIXO;190350;114204;ES1140006.0083;UA220;0.223324532263;UA200;2237.41295517;190358;ES1140006.0083;3.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2237.41295517
