concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Ferrol;"Poligonal P.E Monteventoso
";3680;2833;ES1110002.0357;UA162;31.4230109375;UA100;4896.57885347;3748;ES1110002.0357;5.0;P;4030;4030;;Queirogais secos europeos;4896.57885347
Ferrol;"Poligonal P.E Monteventoso
";3681;2833;ES1110002.0357;UA162;31.4230109375;UA100;4896.57885347;3749;ES1110002.0357;5.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4896.57885347
Ferrol;"Poligonal P.E Monteventoso
";3682;2833;ES1110002.0357;UA162;31.4230109375;UA100;4896.57885347;3750;ES1110002.0357;2.0;V;4030;4030;;Queirogais secos europeos;4896.57885347
Ferrol;"Poligonal P.E Monteventoso
";3686;2834;ES1110002.0359;UA162;1.75691406249;UA100;793.002489933;3754;ES1110002.0359;5.0;P;4030;4030;;Queirogais secos europeos;793.002489933
Ferrol;"Poligonal P.E Monteventoso
";3687;2834;ES1110002.0359;UA162;1.75691406249;UA100;793.002489933;3756;ES1110002.0359;2.0;V;4030;4030;;Queirogais secos europeos;793.002489933
Ferrol;"Poligonal P.E Monteventoso
";3688;2834;ES1110002.0359;UA162;1.75691406249;UA100;793.002489933;3755;ES1110002.0359;5.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;793.002489933
Ferrol;"Poligonal P.E Monteventoso
";3689;2835;ES1110002.0360;UA162;0.929946875012;UA100;508.109990304;3759;ES1110002.0360;2.0;V;4030;4030;;Queirogais secos europeos;508.109990304
Ferrol;"Poligonal P.E Monteventoso
";3690;2835;ES1110002.0360;UA162;0.929946875012;UA100;508.109990304;3758;ES1110002.0360;5.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;508.109990304
Ferrol;"Poligonal P.E Monteventoso
";3691;2835;ES1110002.0360;UA162;0.929946875012;UA100;508.109990304;3757;ES1110002.0360;5.0;P;4030;4030;;Queirogais secos europeos;508.109990304
Ferrol;"Poligonal P.E Monteventoso
";3692;2836;ES1110002.0361;UA162;0.663679687501;UA100;333.001978095;3761;ES1110002.0361;5.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;333.001978095
Ferrol;"Poligonal P.E Monteventoso
";3693;2836;ES1110002.0361;UA162;0.663679687501;UA100;333.001978095;3760;ES1110002.0361;5.0;P;4030;4030;;Queirogais secos europeos;333.001978095
Ferrol;"Poligonal P.E Monteventoso
";3694;2836;ES1110002.0361;UA162;0.663679687501;UA100;333.001978095;3762;ES1110002.0361;2.0;V;4030;4030;;Queirogais secos europeos;333.001978095
Ferrol;"Poligonal P.E Monteventoso
";3695;2837;ES1110002.0362;UA162;1.26220625001;UA100;556.265508301;3763;ES1110002.0362;5.0;P;4030;4030;;Queirogais secos europeos;556.265508301
Ferrol;"Poligonal P.E Monteventoso
";3696;2837;ES1110002.0362;UA162;1.26220625001;UA100;556.265508301;3764;ES1110002.0362;5.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;556.265508301
Ferrol;"Poligonal P.E Monteventoso
";3697;2837;ES1110002.0362;UA162;1.26220625001;UA100;556.265508301;3765;ES1110002.0362;2.0;V;4030;4030;;Queirogais secos europeos;556.265508301
Ferrol;"Poligonal P.E Monteventoso
";4685;3824;ES1110002.0733;UA530;174.993671156;UA500;29373.1002194;4755;ES1110002.0733;1.0;S;6410;6410;;Prados con Molinia;29373.1002194
Ferrol;"Poligonal P.E Monteventoso
";4686;3824;ES1110002.0733;UA530;174.993671156;UA500;29373.1002194;4753;ES1110002.0733;2.0;V;6510;6510;;Prados de sega de baixa altitude;29373.1002194
Ferrol;"Poligonal P.E Monteventoso
";4687;3824;ES1110002.0733;UA530;174.993671156;UA500;29373.1002194;4754;ES1110002.0733;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;29373.1002194
Ferrol;"Poligonal P.E Monteventoso
";4759;2967;ES1110002.0758;UA530;374.226715325;UA500;24321.0888787;4832;ES1110002.0758;1.0;S;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;24321.0888787
