concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Fonsagrada, A;Área A Fonsagrada;85056;56095;ES1120006.1173;UA310;68.6202765625;UA300;12073.6005486;85127;ES1120006.1173;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;12073.6005486
Fonsagrada, A;Área A Fonsagrada;85057;56095;ES1120006.1173;UA310;68.6202765625;UA300;12073.6005486;85124;ES1120006.1173;5.0;P;4030;4030;;Queirogais secos europeos;12073.6005486
Fonsagrada, A;Área A Fonsagrada;85058;56095;ES1120006.1173;UA310;68.6202765625;UA300;12073.6005486;85125;ES1120006.1173;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;12073.6005486
Fonsagrada, A;Área A Fonsagrada;85059;56095;ES1120006.1173;UA310;68.6202765625;UA300;12073.6005486;85126;ES1120006.1173;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;12073.6005486
Fonsagrada, A;Área A Fonsagrada;85070;56113;ES1120006.1191;UA532;32.1391124999;UA500;3669.74567648;85138;ES1120006.1191;2.0;V;6510;6510;;Prados de sega de baixa altitude;3669.74567648
Fonsagrada, A;Área A Fonsagrada;85071;56113;ES1120006.1191;UA532;32.1391124999;UA500;3669.74567648;85139;ES1120006.1191;1.0;V;6510;6510;;Prados de sega de baixa altitude;3669.74567648
Fonsagrada, A;Área A Fonsagrada;85072;56113;ES1120006.1191;UA532;32.1391124999;UA500;3669.74567648;85140;ES1120006.1191;1.0;S;6410;6410;;Prados con Molinia;3669.74567648
Fonsagrada, A;Área A Fonsagrada;85093;56135;ES1120006.1215;UA422;5.02913281252;UA400;3406.68777491;85161;ES1120006.1215;1.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;3406.68777491
Fonsagrada, A;Área A Fonsagrada;85120;56170;ES1120006.1250;UA310;1.81131562501;UA300;595.07225629;85188;ES1120006.1250;5.0;P;4030;4030;;Queirogais secos europeos;595.07225629
Fonsagrada, A;Área A Fonsagrada;85122;56173;ES1120006.1253;UA532;4.24459687497;UA500;1356.9534298;85191;ES1120006.1253;1.0;V;6510;6510;;Prados de sega de baixa altitude;1356.9534298
Fonsagrada, A;Área A Fonsagrada;85123;56173;ES1120006.1253;UA532;4.24459687497;UA500;1356.9534298;85192;ES1120006.1253;1.0;S;6410;6410;;Prados con Molinia;1356.9534298
Fonsagrada, A;Área A Fonsagrada;85124;56173;ES1120006.1253;UA532;4.24459687497;UA500;1356.9534298;85190;ES1120006.1253;2.0;V;6510;6510;;Prados de sega de baixa altitude;1356.9534298
Fonsagrada, A;Área A Fonsagrada;85126;56687;ES1120006.1255;UA422;18.7577209044;UA400;6087.5796764;85194;ES1120006.1255;1.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;6087.5796764
Fonsagrada, A;Área A Fonsagrada;85132;56178;ES1120006.1261;UA310;8.88022343751;UA300;1745.36384469;85200;ES1120006.1261;5.0;P;4030;4030;;Queirogais secos europeos;1745.36384469
Fonsagrada, A;Área A Fonsagrada;85139;56185;ES1120006.1269;UA310;26.629015625;UA300;4786.45843778;85207;ES1120006.1269;5.0;P;4030;4030;;Queirogais secos europeos;4786.45843778
Fonsagrada, A;Área A Fonsagrada;85140;56185;ES1120006.1269;UA310;26.629015625;UA300;4786.45843778;85208;ES1120006.1269;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4786.45843778
Fonsagrada, A;Área A Fonsagrada;85141;56188;ES1120006.1272;UA310;1.27192500001;UA300;899.38912924;85209;ES1120006.1272;5.0;P;4030;4030;;Queirogais secos europeos;899.38912924
Fonsagrada, A;Área A Fonsagrada;85146;56191;ES1120006.1275;UA422;7.21883125006;UA400;2051.09138343;85215;ES1120006.1275;1.0;S;3260;3260;;Ríos dos pisos basal a montano;2051.09138343
Fonsagrada, A;Área A Fonsagrada;85147;56191;ES1120006.1275;UA422;7.21883125006;UA400;2051.09138343;85216;ES1120006.1275;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2051.09138343
Fonsagrada, A;Área A Fonsagrada;85148;56191;ES1120006.1275;UA422;7.21883125006;UA400;2051.09138343;85214;ES1120006.1275;1.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;2051.09138343
Fonsagrada, A;Área A Fonsagrada;85152;56673;ES1120006.1284;UA532;2.77547071739;UA500;2675.92169949;85220;ES1120006.1284;5.0;V;6510;6510;;Prados de sega de baixa altitude;2675.92169949
Fonsagrada, A;Área A Fonsagrada;85153;56673;ES1120006.1284;UA532;2.77547071739;UA500;2675.92169949;85221;ES1120006.1284;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2675.92169949
Fonsagrada, A;Área A Fonsagrada;85154;56673;ES1120006.1284;UA532;2.77547071739;UA500;2675.92169949;85222;ES1120006.1284;1.0;S;6410;6410;;Prados con Molinia;2675.92169949
Fonsagrada, A;Área A Fonsagrada;85162;56205;ES1120006.1290;UA310;19.3572203125;UA300;2819.23453472;85230;ES1120006.1290;5.0;P;4030;4030;;Queirogais secos europeos;2819.23453472
Fonsagrada, A;Área A Fonsagrada;85163;56205;ES1120006.1290;UA310;19.3572203125;UA300;2819.23453472;85231;ES1120006.1290;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2819.23453472
Fonsagrada, A;Área A Fonsagrada;85164;56206;ES1120006.1291;UA422;15.5251064084;UA400;6973.25698653;85232;ES1120006.1291;1.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;6973.25698653
Fonsagrada, A;Área A Fonsagrada;85165;56207;ES1120006.1292;UA310;0.610671875002;UA300;364.046473603;85233;ES1120006.1292;5.0;P;4030;4030;;Queirogais secos europeos;364.046473603
Fonsagrada, A;Área A Fonsagrada;85172;56220;ES1120006.1306;UA310;165.618485193;UA300;15960.9098056;85244;ES1120006.1306;1.0;S;3260;3260;;Ríos dos pisos basal a montano;15960.9098056
