concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Fornelos de Montes;CHAN DO EIXO;190386;113643;ES1140006.0100;UA220;0.905092603481;UA200;8832.00320228;190395;ES1140006.0100;5.0;P;3260;3260;;Ríos dos pisos basal a montano;8832.00320228
Fornelos de Montes;CHAN DO EIXO;190387;113643;ES1140006.0100;UA220;0.905092603481;UA200;8832.00320228;190396;ES1140006.0100;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8832.00320228
Fornelos de Montes;CHAN DO EIXO;190388;113643;ES1140006.0100;UA220;0.905092603481;UA200;8832.00320228;190397;ES1140006.0100;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8832.00320228
Fornelos de Montes;CHAN DO EIXO;191570;113118;ES1140006.0778;UA630;47.2366426601;UA600;3898.73325127;191579;ES1140006.0778;1.0;S;3260;3260;;Ríos dos pisos basal a montano;3898.73325127
Fornelos de Montes;CHAN DO EIXO;191571;113118;ES1140006.0778;UA630;47.2366426601;UA600;3898.73325127;191580;ES1140006.0778;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3898.73325127
Fornelos de Montes;CHAN DO EIXO;191993;113491;ES1140006.1012;UA220;0.0798906178464;UA200;803.101341359;192004;ES1140006.1012;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;803.101341359
Fornelos de Montes;CHAN DO EIXO;191994;113491;ES1140006.1012;UA220;0.0798906178464;UA200;803.101341359;192003;ES1140006.1012;3.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;803.101341359
Fornelos de Montes;CHAN DO EIXO;191995;113491;ES1140006.1012;UA220;0.0798906178464;UA200;803.101341359;192002;ES1140006.1012;5.0;P;3260;3260;;Ríos dos pisos basal a montano;803.101341359
Fornelos de Montes;CHAN DO EIXO,COTO DE EIRAS;190395;113254;ES1140006.0104;UA631;43.0096675221;UA600;6248.11448842;190404;ES1140006.0104;1.0;S;3260;3260;;Ríos dos pisos basal a montano;6248.11448842
Fornelos de Montes;CHAN DO EIXO,COTO DE EIRAS;190402;113255;ES1140006.0105;UA411;12.3556493263;UA400;5665.7157837;190411;ES1140006.0105;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;5665.7157837
Fornelos de Montes;CHAN DO EIXO,COTO DE EIRAS;190404;113255;ES1140006.0105;UA411;12.3556493263;UA400;5665.7157837;190413;ES1140006.0105;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;5665.7157837
Fornelos de Montes;CHAN DO EIXO,COTO DE EIRAS;190405;113255;ES1140006.0105;UA411;12.3556493263;UA400;5665.7157837;190414;ES1140006.0105;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;5665.7157837
Fornelos de Montes;CHAN DO EIXO,COTO DE EIRAS;190406;113256;ES1140006.0106;UA411;5.62279160763;UA400;2884.3413451;190422;ES1140006.0106;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2884.3413451
