concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Foz;Poligonal Borrasca;90592;61735;ES1120011.0180;UA530;28.800285422;UA500;5218.63170775;90661;ES1120011.0180;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5218.63170775
Foz;Poligonal Borrasca;90593;61735;ES1120011.0180;UA530;28.800285422;UA500;5218.63170775;90660;ES1120011.0180;1.0;V;6510;6510;;Prados de sega de baixa altitude;5218.63170775
Foz;Poligonal Borrasca;90800;61639;ES1120011.0287;UA220;3.58987155744;UA200;14357.5792203;90869;ES1120011.0287;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;14357.5792203
Foz;Poligonal Borrasca;90801;61639;ES1120011.0287;UA220;3.58987155744;UA200;14357.5792203;90868;ES1120011.0287;5.0;P;3260;3260;;Ríos dos pisos basal a montano;14357.5792203
Foz;Poligonal Borrasca;92438;63158;ES1120013.0095;UA631;120.665830421;UA600;7835.03512759;92506;ES1120013.0095;1.0;S;4030;4030;;Queirogais secos europeos;7835.03512759
Foz;Poligonal Borrasca;92439;63158;ES1120013.0095;UA631;120.665830421;UA600;7835.03512759;92507;ES1120013.0095;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;7835.03512759
Foz;Poligonal Borrasca;92440;63158;ES1120013.0095;UA631;120.665830421;UA600;7835.03512759;92508;ES1120013.0095;1.0;S;8310;8310;;Covas non explotadas polo turismo;7835.03512759
Foz;Poligonal Borrasca;92441;63158;ES1120013.0095;UA631;120.665830421;UA600;7835.03512759;92509;ES1120013.0095;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7835.03512759
Foz;Poligonal Borrasca;92442;63158;ES1120013.0095;UA631;120.665830421;UA600;7835.03512759;92510;ES1120013.0095;1.0;S;6510;6510;;Prados de sega de baixa altitude;7835.03512759
Foz;Poligonal Borrasca;92462;62853;ES1120013.0103;UA631;11.9234584518;UA600;2263.42392895;92530;ES1120013.0103;1.0;S;4030;4030;;Queirogais secos europeos;2263.42392895
Foz;Poligonal Borrasca;92463;62853;ES1120013.0103;UA631;11.9234584518;UA600;2263.42392895;92531;ES1120013.0103;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2263.42392895
Foz;Poligonal Borrasca;92464;62853;ES1120013.0103;UA631;11.9234584518;UA600;2263.42392895;92532;ES1120013.0103;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2263.42392895
Foz;Poligonal Borrasca;92640;63209;ES1120013.0167;UA631;17.9918023231;UA600;2546.66474993;92708;ES1120013.0167;2.0;S;4030;4030;;Queirogais secos europeos;2546.66474993
Foz;Poligonal Borrasca;92641;63209;ES1120013.0167;UA631;17.9918023231;UA600;2546.66474993;92709;ES1120013.0167;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2546.66474993
Foz;Poligonal Borrasca;92642;63209;ES1120013.0167;UA631;17.9918023231;UA600;2546.66474993;92710;ES1120013.0167;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2546.66474993
Foz;Poligonal Borrasca;93160;63166;ES1120013.0321;UA220;1.23577706041;UA200;3446.52716749;93229;ES1120013.0321;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3446.52716749
Foz;Poligonal Borrasca;93161;63166;ES1120013.0321;UA220;1.23577706041;UA200;3446.52716749;93230;ES1120013.0321;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3446.52716749
Foz;Poligonal Borrasca;93162;63166;ES1120013.0321;UA220;1.23577706041;UA200;3446.52716749;93228;ES1120013.0321;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3446.52716749
Foz;Poligonal Borrasca;93163;62846;ES1120013.0322;UA220;0.48839051607;UA200;1408.29775177;93231;ES1120013.0322;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1408.29775177
Foz;Poligonal Borrasca;93164;62846;ES1120013.0322;UA220;0.48839051607;UA200;1408.29775177;93232;ES1120013.0322;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1408.29775177
Foz;Poligonal Borrasca;93165;62846;ES1120013.0322;UA220;0.48839051607;UA200;1408.29775177;93233;ES1120013.0322;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1408.29775177
Foz;Poligonal Borrasca;93166;62847;ES1120013.0323;UA220;0.753224932192;UA200;2165.37568047;93234;ES1120013.0323;5.0;P;3260;3260;;Ríos dos pisos basal a montano;2165.37568047
Foz;Poligonal Borrasca;93167;62847;ES1120013.0323;UA220;0.753224932192;UA200;2165.37568047;93235;ES1120013.0323;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2165.37568047
Foz;Poligonal Borrasca;93168;62847;ES1120013.0323;UA220;0.753224932192;UA200;2165.37568047;93236;ES1120013.0323;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2165.37568047
