concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Friol;P.E. de Careón,Parque Eólico Peña Armada Modificado Num1;31488;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31556;ES1110014.0806;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;54528.4293608
Friol;P.E. de Careón,Parque Eólico Peña Armada Modificado Num1;31490;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31558;ES1110014.0806;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;54528.4293608
Friol;P.E. de Careón,Parque Eólico Peña Armada Modificado Num1;31492;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31560;ES1110014.0806;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;54528.4293608
Friol;Parque Eólico Peña Armada Modificado Num1;30875;26219;ES1110014.0173;UA220;0.195466423837;UA200;1981.47705078;30943;ES1110014.0173;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1981.47705078
Friol;Parque Eólico Peña Armada Modificado Num1;30876;26219;ES1110014.0173;UA220;0.195466423837;UA200;1981.47705078;30944;ES1110014.0173;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1981.47705078
Friol;Parque Eólico Peña Armada Modificado Num1;30877;26219;ES1110014.0173;UA220;0.195466423837;UA200;1981.47705078;30945;ES1110014.0173;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1981.47705078
Friol;Parque Eólico Peña Armada Modificado Num1;31967;26746;ES1110014.1098;UA630;53.2893482196;UA600;4221.54888405;32035;ES1110014.1098;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4221.54888405
Friol;Parque Eólico Peña Armada Modificado Num1;31968;26750;ES1110014.1102;UA550;31.7041300273;UA500;3348.3245353;32036;ES1110014.1102;5.0;V;6510;6510;;Prados de sega de baixa altitude;3348.3245353
Friol;Parque Eólico Peña Armada Modificado Num1;31969;26750;ES1110014.1102;UA550;31.7041300273;UA500;3348.3245353;32037;ES1110014.1102;1.0;V;6410;6410;;Prados con Molinia;3348.3245353
Friol;Parque Eólico Peña Armada Modificado Num1;31970;26750;ES1110014.1102;UA550;31.7041300273;UA500;3348.3245353;32038;ES1110014.1102;1.0;V;6410;6410;;Prados con Molinia;3348.3245353
Friol;Parque Eólico Peña Armada Modificado Num1;31971;26750;ES1110014.1102;UA550;31.7041300273;UA500;3348.3245353;32039;ES1110014.1102;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3348.3245353
Friol;Parque Eólico Peña Armada Modificado Num1;31972;26753;ES1110014.1103;UA550;2.56397341066;UA500;706.330410075;32040;ES1110014.1103;5.0;V;6510;6510;;Prados de sega de baixa altitude;706.330410075
Friol;Parque Eólico Peña Armada Modificado Num1;31973;26753;ES1110014.1103;UA550;2.56397341066;UA500;706.330410075;32041;ES1110014.1103;1.0;V;6410;6410;;Prados con Molinia;706.330410075
Friol;Parque Eólico Peña Armada Modificado Num1;31974;26752;ES1110014.1104;UA270;0.422395520262;UA200;327.901105219;32042;ES1110014.1104;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;327.901105219
Friol;Parque Eólico Peña Armada Modificado Num1,P.E. de Careón;31487;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31555;ES1110014.0806;5.0;P;4030;4030;;Queirogais secos europeos;54528.4293608
Friol;Parque Eólico Peña Armada Modificado Num1,P.E. de Careón;31489;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31557;ES1110014.0806;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;54528.4293608
Friol;Parque Eólico Peña Armada Modificado Num1,P.E. de Careón;31491;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31559;ES1110014.0806;1.0;S;7110*;7110;X;Turbeiras altas activas;54528.4293608
Friol;Poligonal PE ENTREMARCOS;82888;50793;ES1120003.8853;UA220;3.24359766901;UA200;23165.6212;82956;ES1120003.8853;5.0;P;3260;3260;;Ríos dos pisos basal a montano;23165.6212
Friol;Poligonal PE ENTREMARCOS;82889;50793;ES1120003.8853;UA220;3.24359766901;UA200;23165.6212;82957;ES1120003.8853;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;23165.6212
Friol;Poligonal PE ENTREMARCOS;82890;50793;ES1120003.8853;UA220;3.24359766901;UA200;23165.6212;82958;ES1120003.8853;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;23165.6212
