concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Incio, O;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;39235;33114;Es1120001.0156;UA220;1.26051012595;UA200;12780.9213841;39303;Es1120001.0156;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;12780.9213841
Incio, O;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I);39234;33114;Es1120001.0156;UA220;1.26051012595;UA200;12780.9213841;39302;Es1120001.0156;5.0;P;3260;3260;;Ríos dos pisos basal a montano;12780.9213841
Incio, O;Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I);39236;33114;Es1120001.0156;UA220;1.26051012595;UA200;12780.9213841;39304;Es1120001.0156;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;12780.9213841
Incio, O;"Poligonal Parque Boibela
";106346;70360;ES1120016.0072;UA532;20.2668875898;UA500;2066.60622615;106415;ES1120016.0072;4.0;V;6510;6510;;Prados de sega de baixa altitude;2066.60622615
Incio, O;"Poligonal Parque Boibela
";106347;70360;ES1120016.0072;UA532;20.2668875898;UA500;2066.60622615;106419;ES1120016.0072;1.0;S;4030;4030;;Queirogais secos europeos;2066.60622615
Incio, O;"Poligonal Parque Boibela
";106348;70360;ES1120016.0072;UA532;20.2668875898;UA500;2066.60622615;106422;ES1120016.0072;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;2066.60622615
Incio, O;"Poligonal Parque Boibela
";106349;70360;ES1120016.0072;UA532;20.2668875898;UA500;2066.60622615;106421;ES1120016.0072;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2066.60622615
Incio, O;"Poligonal Parque Boibela
";106350;70360;ES1120016.0072;UA532;20.2668875898;UA500;2066.60622615;106420;ES1120016.0072;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2066.60622615
Incio, O;"Poligonal Parque Boibela
";106351;70360;ES1120016.0072;UA532;20.2668875898;UA500;2066.60622615;106418;ES1120016.0072;1.0;S;6410;6410;;Prados con Molinia;2066.60622615
Incio, O;"Poligonal Parque Boibela
";106352;70360;ES1120016.0072;UA532;20.2668875898;UA500;2066.60622615;106416;ES1120016.0072;1.0;S;3260;3260;;Ríos dos pisos basal a montano;2066.60622615
