concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Irixo, O;Marcofan,Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201703;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201709;ES1140013.0691;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;17955.8654218
Irixo, O;PARAÑO OESTE,Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201692;119243;ES1140013.0690;UA320;188.740424868;UA300;15329.8328385;201705;ES1140013.0690;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;15329.8328385
Irixo, O;PARAÑO OESTE,Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;201695;119243;ES1140013.0690;UA320;188.740424868;UA300;15329.8328385;201700;ES1140013.0690;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;15329.8328385
Irixo, O;Parque Eólico Ameixeira-Testeiros,Marcofan,Parque Eólico Ameixeira-Testeiros;201699;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201714;ES1140013.0691;2.0;V;4030;4030;;Queirogais secos europeos;17955.8654218
Irixo, O;Parque Eólico Ameixeira-Testeiros,Marcofan,Parque Eólico Ameixeira-Testeiros;201701;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201713;ES1140013.0691;4.0;V;4030;4030;;Queirogais secos europeos;17955.8654218
Irixo, O;Parque Eólico Ameixeira-Testeiros,Marcofan,Parque Eólico Ameixeira-Testeiros;201702;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201710;ES1140013.0691;1.0;V;8310;8310;;Covas non explotadas polo turismo;17955.8654218
Irixo, O;Parque Eólico Ameixeira-Testeiros,Marcofan,Parque Eólico Ameixeira-Testeiros;201704;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201711;ES1140013.0691;1.0;V;4030;4030;;Queirogais secos europeos;17955.8654218
Irixo, O;Parque Eólico Ameixeira-Testeiros,Marcofan,Parque Eólico Ameixeira-Testeiros;201705;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201708;ES1140013.0691;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;17955.8654218
Irixo, O;Parque Eólico Ameixeira-Testeiros,Marcofan,Parque Eólico Ameixeira-Testeiros;201707;119234;ES1140013.0691;UA320;233.701281799;UA300;17955.8654218;201716;ES1140013.0691;1.0;S;3260;3260;;Ríos dos pisos basal a montano;17955.8654218
Irixo, O;Parque Eólico Ameixeira-Testeiros,PARAÑO OESTE,Parque Eólico Ameixeira-Testeiros;201690;119243;ES1140013.0690;UA320;188.740424868;UA300;15329.8328385;201702;ES1140013.0690;1.0;V;4030;4030;;Queirogais secos europeos;15329.8328385
Irixo, O;Parque Eólico Ameixeira-Testeiros,PARAÑO OESTE,Parque Eólico Ameixeira-Testeiros;201693;119243;ES1140013.0690;UA320;188.740424868;UA300;15329.8328385;201703;ES1140013.0690;1.0;V;4030;4030;;Queirogais secos europeos;15329.8328385
Irixo, O;Parque Eólico Ameixeira-Testeiros,PARAÑO OESTE,Parque Eólico Ameixeira-Testeiros;201696;119243;ES1140013.0690;UA320;188.740424868;UA300;15329.8328385;201699;ES1140013.0690;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;15329.8328385
Irixo, O;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200040;119370;ES1140013.0019;UA220;0.42833187961;UA200;4285.09800982;200049;ES1140013.0019;5.0;P;3260;3260;;Ríos dos pisos basal a montano;4285.09800982
Irixo, O;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200041;119370;ES1140013.0019;UA220;0.42833187961;UA200;4285.09800982;200050;ES1140013.0019;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4285.09800982
Irixo, O;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200042;119370;ES1140013.0019;UA220;0.42833187961;UA200;4285.09800982;200051;ES1140013.0019;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4285.09800982
Irixo, O;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200043;119352;ES1140013.0020;UA220;1.42981355386;UA200;14296.3169375;200052;ES1140013.0020;5.0;P;3260;3260;;Ríos dos pisos basal a montano;14296.3169375
Irixo, O;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200044;119352;ES1140013.0020;UA220;1.42981355386;UA200;14296.3169375;200053;ES1140013.0020;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;14296.3169375
Irixo, O;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200045;119352;ES1140013.0020;UA220;1.42981355386;UA200;14296.3169375;200054;ES1140013.0020;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;14296.3169375
