concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Lourenzá;Poligonal Borrasca;90596;61868;ES1120011.0182;UA630;200.926904781;UA600;15183.3798711;90664;ES1120011.0182;1.0;S;4030;4030;;Queirogais secos europeos;15183.3798711
Lourenzá;Poligonal Borrasca;90597;61868;ES1120011.0182;UA630;200.926904781;UA600;15183.3798711;90665;ES1120011.0182;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;15183.3798711
Lourenzá;Poligonal Borrasca;90598;61868;ES1120011.0182;UA630;200.926904781;UA600;15183.3798711;90666;ES1120011.0182;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;15183.3798711
Lourenzá;Poligonal Borrasca;90736;61873;ES1120011.0254;UA220;1.19390159608;UA200;4786.01306761;90805;ES1120011.0254;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4786.01306761
Lourenzá;Poligonal Borrasca;90737;61873;ES1120011.0254;UA220;1.19390159608;UA200;4786.01306761;90804;ES1120011.0254;5.0;P;3260;3260;;Ríos dos pisos basal a montano;4786.01306761
Lourenzá;Poligonal Borrasca;90738;61657;ES1120011.0255;UA220;0.492952436822;UA200;1983.77773535;90806;ES1120011.0255;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1983.77773535
Lourenzá;Poligonal Borrasca;90739;61657;ES1120011.0255;UA220;0.492952436822;UA200;1983.77773535;90807;ES1120011.0255;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1983.77773535
Lourenzá;Poligonal Borrasca;90772;61658;ES1120011.0272;UA220;0.21678099379;UA200;876.197656811;90840;ES1120011.0272;5.0;P;3260;3260;;Ríos dos pisos basal a montano;876.197656811
Lourenzá;Poligonal Borrasca;90773;61658;ES1120011.0272;UA220;0.21678099379;UA200;876.197656811;90841;ES1120011.0272;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;876.197656811
Lourenzá;Poligonal Borrasca;90802;61758;ES1120011.0288;UA220;2.38215444886;UA200;9530.19616019;90870;ES1120011.0288;5.0;P;3260;3260;;Ríos dos pisos basal a montano;9530.19616019
Lourenzá;Poligonal Borrasca;90803;61758;ES1120011.0288;UA220;2.38215444886;UA200;9530.19616019;90871;ES1120011.0288;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;9530.19616019
Lourenzá;Poligonal Borrasca;90890;61867;ES1120011.0342;UA631;4.5395844345;UA600;2283.36930104;90958;ES1120011.0342;1.0;S;4030;4030;;Queirogais secos europeos;2283.36930104
Lourenzá;Poligonal Borrasca;90891;61867;ES1120011.0342;UA631;4.5395844345;UA600;2283.36930104;90959;ES1120011.0342;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2283.36930104
Lourenzá;Poligonal Borrasca;90892;61867;ES1120011.0342;UA631;4.5395844345;UA600;2283.36930104;90960;ES1120011.0342;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2283.36930104
Lourenzá;Poligonal Borrasca;90893;61668;ES1120011.0343;UA631;1.22930241746;UA600;633.823108324;90961;ES1120011.0343;1.0;S;4030;4030;;Queirogais secos europeos;633.823108324
Lourenzá;Poligonal Borrasca;90894;61668;ES1120011.0343;UA631;1.22930241746;UA600;633.823108324;90962;ES1120011.0343;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;633.823108324
Lourenzá;Poligonal Borrasca;90895;61668;ES1120011.0343;UA631;1.22930241746;UA600;633.823108324;90963;ES1120011.0343;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;633.823108324
