concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Mañón;Modificación Parque Eólico Punta Maeda;25260;22731;ES1110010.0051;UA162;9.17106874997;UA100;2641.84680848;25331;ES1110010.0051;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2641.84680848
Mañón;Modificación Parque Eólico Punta Maeda;25261;22731;ES1110010.0051;UA162;9.17106874997;UA100;2641.84680848;25328;ES1110010.0051;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2641.84680848
Mañón;Modificación Parque Eólico Punta Maeda;25262;22731;ES1110010.0051;UA162;9.17106874997;UA100;2641.84680848;25329;ES1110010.0051;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2641.84680848
Mañón;Modificación Parque Eólico Punta Maeda;25263;22731;ES1110010.0051;UA162;9.17106874997;UA100;2641.84680848;25330;ES1110010.0051;1.0;V;4030;4030;;Queirogais secos europeos;2641.84680848
Mañón;Modificación Parque Eólico Punta Maeda;25300;22739;ES1110010.0060;UA162;0.119498437507;UA100;230.732390129;25372;ES1110010.0060;1.0;V;4030;4030;;Queirogais secos europeos;230.732390129
Mañón;Modificación Parque Eólico Punta Maeda;25301;22739;ES1110010.0060;UA162;0.119498437507;UA100;230.732390129;25373;ES1110010.0060;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;230.732390129
Mañón;Modificación Parque Eólico Punta Maeda;25302;22739;ES1110010.0060;UA162;0.119498437507;UA100;230.732390129;25371;ES1110010.0060;4.0;V;4030;4030;;Queirogais secos europeos;230.732390129
Mañón;Modificación Parque Eólico Punta Maeda;25303;22739;ES1110010.0060;UA162;0.119498437507;UA100;230.732390129;25370;ES1110010.0060;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;230.732390129
Mañón;Modificación Parque Eólico Punta Maeda;25304;22739;ES1110010.0060;UA162;0.119498437507;UA100;230.732390129;25369;ES1110010.0060;3.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;230.732390129
Mañón;Modificación Parque Eólico Punta Maeda;25305;22739;ES1110010.0060;UA162;0.119498437507;UA100;230.732390129;25368;ES1110010.0060;5.0;P;4030;4030;;Queirogais secos europeos;230.732390129
Mañón;Modificación Parque Eólico Punta Maeda;25306;22740;ES1110010.0061;UA162;0.407378124986;UA100;440.90111843;25375;ES1110010.0061;3.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;440.90111843
Mañón;Modificación Parque Eólico Punta Maeda;25307;22740;ES1110010.0061;UA162;0.407378124986;UA100;440.90111843;25376;ES1110010.0061;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;440.90111843
Mañón;Modificación Parque Eólico Punta Maeda;25308;22740;ES1110010.0061;UA162;0.407378124986;UA100;440.90111843;25377;ES1110010.0061;4.0;V;4030;4030;;Queirogais secos europeos;440.90111843
Mañón;Modificación Parque Eólico Punta Maeda;25309;22740;ES1110010.0061;UA162;0.407378124986;UA100;440.90111843;25378;ES1110010.0061;1.0;V;4030;4030;;Queirogais secos europeos;440.90111843
Mañón;Modificación Parque Eólico Punta Maeda;25310;22740;ES1110010.0061;UA162;0.407378124986;UA100;440.90111843;25379;ES1110010.0061;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;440.90111843
Mañón;Modificación Parque Eólico Punta Maeda;25311;22740;ES1110010.0061;UA162;0.407378124986;UA100;440.90111843;25374;ES1110010.0061;5.0;P;4030;4030;;Queirogais secos europeos;440.90111843
Mañón;Modificación Parque Eólico Punta Maeda;25395;23209;ES1110010.0086;UA532;9.74952695773;UA500;3329.72093047;25463;ES1110010.0086;2.0;V;6510;6510;;Prados de sega de baixa altitude;3329.72093047
Mañón;Modificación Parque Eólico Punta Maeda;25396;23209;ES1110010.0086;UA532;9.74952695773;UA500;3329.72093047;25464;ES1110010.0086;1.0;S;3260;3260;;Ríos dos pisos basal a montano;3329.72093047
Mañón;Modificación Parque Eólico Punta Maeda;25397;23209;ES1110010.0086;UA532;9.74952695773;UA500;3329.72093047;25465;ES1110010.0086;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3329.72093047
Mañón;Modificación Parque Eólico Punta Maeda;25398;23209;ES1110010.0086;UA532;9.74952695773;UA500;3329.72093047;25466;ES1110010.0086;1.0;S;6410;6410;;Prados con Molinia;3329.72093047
Mañón;Modificación Parque Eólico Punta Maeda;25399;23209;ES1110010.0086;UA532;9.74952695773;UA500;3329.72093047;25467;ES1110010.0086;1.0;S;4030;4030;;Queirogais secos europeos;3329.72093047
Mañón;Modificación Parque Eólico Punta Maeda;25400;23209;ES1110010.0086;UA532;9.74952695773;UA500;3329.72093047;25468;ES1110010.0086;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3329.72093047
Mañón;Modificación Parque Eólico Punta Maeda;25401;23209;ES1110010.0086;UA532;9.74952695773;UA500;3329.72093047;25469;ES1110010.0086;1.0;S;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3329.72093047
Mañón;Modificación Parque Eólico Punta Maeda;25467;23214;ES1110010.0107;UA532;30.1923457976;UA500;10197.8756442;25537;ES1110010.0107;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;10197.8756442
Mañón;Modificación Parque Eólico Punta Maeda;25468;23214;ES1110010.0107;UA532;30.1923457976;UA500;10197.8756442;25541;ES1110010.0107;1.0;S;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;10197.8756442
Mañón;Modificación Parque Eólico Punta Maeda;25469;23214;ES1110010.0107;UA532;30.1923457976;UA500;10197.8756442;25540;ES1110010.0107;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;10197.8756442
